#PM	#VM	#PM-U	#PM-S	#PM-I	#VM-P	VM-U	KW	strategy	T
144	16	3	141	0	16	0	1384.28	EvolutionaryComputationStrategyPlacement	0.5100550651550293
144	32	6	138	0	32	0	2041.76	EvolutionaryComputationStrategyPlacement	1.1776161193847656
144	48	8	136	0	48	0	2586.16	EvolutionaryComputationStrategyPlacement	1.9102470874786377
144	64	11	133	0	64	0	3247.7200000000003	EvolutionaryComputationStrategyPlacement	2.9200680255889893
144	80	14	130	0	80	0	3898.4	EvolutionaryComputationStrategyPlacement	3.8643298149108887
144	96	16	128	0	96	0	4446.879999999999	EvolutionaryComputationStrategyPlacement	5.028940916061401
144	112	19	125	0	112	0	5104.36	EvolutionaryComputationStrategyPlacement	6.391828775405884
144	128	22	122	0	128	0	5753.68	EvolutionaryComputationStrategyPlacement	8.143555879592896
144	144	26	118	0	144	0	6525.599999999999	EvolutionaryComputationStrategyPlacement	10.524227857589722
144	160	30	114	0	160	0	7286.639999999999	EvolutionaryComputationStrategyPlacement	13.206269025802612
144	176	32	112	0	176	0	7833.76	EvolutionaryComputationStrategyPlacement	14.966248035430908
144	192	36	108	0	192	0	8611.12	EvolutionaryComputationStrategyPlacement	18.086445808410645
144	208	37	107	0	208	0	9050.599999999999	EvolutionaryComputationStrategyPlacement	19.44824194908142
144	224	41	103	0	224	0	9821.16	EvolutionaryComputationStrategyPlacement	22.787368059158325
144	240	44	100	0	240	0	10479.999999999998	EvolutionaryComputationStrategyPlacement	25.910115003585815
144	256	47	97	0	256	0	11130.680000000004	EvolutionaryComputationStrategyPlacement	28.962988138198853
144	272	48	96	0	272	0	11576.960000000005	EvolutionaryComputationStrategyPlacement	30.532315969467163
144	288	51	93	0	288	0	12237.160000000003	EvolutionaryComputationStrategyPlacement	33.816840171813965
