#PM	#VM	#PM-U	#PM-S	#PM-I	#VM-P	VM-U	KW	strategy	T
70	16	15	55	0	16	0	2828.2000000000003	EvolutionaryComputationStrategyPlacement	2.486715078353882
70	32	26	44	0	32	0	5039.040000000001	EvolutionaryComputationStrategyPlacement	4.8871729373931885
70	48	40	30	0	48	0	7609.5199999999995	EvolutionaryComputationStrategyPlacement	8.535681962966919
70	64	52	18	0	64	0	10058.560000000001	EvolutionaryComputationStrategyPlacement	12.552787065505981
70	80	64	6	0	80	0	12553.839999999998	EvolutionaryComputationStrategyPlacement	16.96993088722229
70	96	70	0	0	86	10	13455.360000000002	EvolutionaryComputationStrategyPlacement	21.965235948562622
70	112	70	0	0	91	21	13753.200000000006	EvolutionaryComputationStrategyPlacement	25.54665517807007
70	128	70	0	0	92	36	13667.520000000004	EvolutionaryComputationStrategyPlacement	29.511458158493042
70	144	70	0	0	98	46	14026.560000000001	EvolutionaryComputationStrategyPlacement	33.014081954956055
70	160	70	0	0	91	69	13643.04	EvolutionaryComputationStrategyPlacement	37.613805055618286
70	176	70	0	0	97	79	13950.400000000005	EvolutionaryComputationStrategyPlacement	40.93321394920349
70	192	70	0	0	101	91	13709.680000000004	EvolutionaryComputationStrategyPlacement	43.88408017158508
70	208	70	0	0	101	107	13632.160000000002	EvolutionaryComputationStrategyPlacement	47.15496015548706
70	224	70	0	0	102	122	14057.839999999998	EvolutionaryComputationStrategyPlacement	51.726905822753906
70	240	70	0	0	106	134	14134.000000000004	EvolutionaryComputationStrategyPlacement	54.8553740978241
70	256	70	0	0	105	151	14067.359999999999	EvolutionaryComputationStrategyPlacement	59.53084897994995
70	272	70	0	0	106	166	13772.24	EvolutionaryComputationStrategyPlacement	63.36576294898987
70	288	70	0	0	106	182	13706.96	EvolutionaryComputationStrategyPlacement	67.04805183410645
