#PM	#VM	#PM-U	#PM-S	#PM-I	#VM-P	VM-U	KW	strategy	T
144	16	16	0	128	16	0	19870.400000000005	EnergyUnawareStrategyPlacement	0.0046961307525634766
144	32	32	0	112	32	0	20555.84000000002	EnergyUnawareStrategyPlacement	0.005185842514038086
144	48	48	0	96	48	0	21273.920000000035	EnergyUnawareStrategyPlacement	0.006426095962524414
144	64	64	0	80	64	0	22088.56000000005	EnergyUnawareStrategyPlacement	0.0075931549072265625
144	80	80	0	64	80	0	22949.44000000006	EnergyUnawareStrategyPlacement	0.00875401496887207
144	96	96	0	48	96	0	23632.160000000076	EnergyUnawareStrategyPlacement	0.010127067565917969
144	112	112	0	32	112	0	24286.320000000047	EnergyUnawareStrategyPlacement	0.011330127716064453
144	128	128	0	16	128	0	25232.880000000023	EnergyUnawareStrategyPlacement	0.013370037078857422
144	144	144	0	0	144	0	25967.27999999998	EnergyUnawareStrategyPlacement	0.014969110488891602
144	160	144	0	0	144	16	26095.12	EnergyUnawareStrategyPlacement	0.016031980514526367
144	176	144	0	0	144	32	26239.279999999988	EnergyUnawareStrategyPlacement	0.022490978240966797
144	192	144	0	0	144	48	26281.440000000013	EnergyUnawareStrategyPlacement	0.018436193466186523
144	208	144	0	0	144	64	25655.840000000007	EnergyUnawareStrategyPlacement	0.018630027770996094
144	224	144	0	0	144	80	26086.96000000001	EnergyUnawareStrategyPlacement	0.019927978515625
144	240	144	0	0	144	96	26018.959999999995	EnergyUnawareStrategyPlacement	0.02082204818725586
144	256	144	0	0	144	112	25843.519999999993	EnergyUnawareStrategyPlacement	0.021996021270751953
144	272	144	0	0	144	128	25643.600000000002	EnergyUnawareStrategyPlacement	0.023066043853759766
144	288	144	0	0	144	144	25653.119999999988	EnergyUnawareStrategyPlacement	0.027923107147216797
