#PM	#VM	#PM-U	#PM-S	#PM-I	#VM-P	VM-U	KW	strategy	T
144	16	14	130	0	16	0	3089.2	OpenOptStrategyPlacement	0.3119380474090576
144	32	27	117	0	32	0	5518.04	OpenOptStrategyPlacement	0.6683039665222168
144	48	38	106	0	48	0	7761.52	OpenOptStrategyPlacement	1.2146821022033691
144	64	51	93	0	64	0	10319.559999999994	OpenOptStrategyPlacement	2.072464942932129
144	80	63	81	0	80	0	12814.84	OpenOptStrategyPlacement	3.0450448989868164
144	96	76	68	0	96	0	15240.959999999997	OpenOptStrategyPlacement	4.455475091934204
144	112	90	54	0	112	0	17747.520000000004	OpenOptStrategyPlacement	5.976855039596558
144	128	102	42	0	128	0	20328.48	OpenOptStrategyPlacement	7.840368032455444
144	144	113	31	0	144	0	22588.28	OpenOptStrategyPlacement	9.471274852752686
144	160	126	18	0	160	0	25089.2	OpenOptStrategyPlacement	11.405806064605713
144	176	137	7	0	176	0	27312.279999999995	OpenOptStrategyPlacement	13.64780592918396
144	192	144	0	0	188	4	28719.91999999999	OpenOptStrategyPlacement	15.841655015945435
144	208	144	0	0	190	18	28900.800000000003	OpenOptStrategyPlacement	18.62934398651123
144	224	144	0	0	195	29	28827.359999999982	OpenOptStrategyPlacement	21.144173860549927
144	240	144	0	0	200	40	29087.119999999995	OpenOptStrategyPlacement	23.288586854934692
144	256	144	0	0	201	55	29568.559999999998	OpenOptStrategyPlacement	27.134687185287476
144	272	144	0	0	202	70	28233.039999999994	OpenOptStrategyPlacement	29.67491602897644
144	288	144	0	0	207	81	28577.12	OpenOptStrategyPlacement	32.04048490524292
