#PM	#VM	#PM-U	#PM-S	#PM-I	#VM-P	VM-U	KW	strategy	T
30	16	7	0	23	16	0	4352.960000000002	EnergyUnawareStrategyPlacement	0.0032880306243896484
30	32	12	0	18	32	0	4758.239999999999	EnergyUnawareStrategyPlacement	0.007197141647338867
30	48	23	0	7	48	0	5039.7599999999975	EnergyUnawareStrategyPlacement	0.016520977020263672
30	64	29	0	1	64	0	5314.48	EnergyUnawareStrategyPlacement	0.026262998580932617
30	80	30	0	0	74	6	5423.280000000001	EnergyUnawareStrategyPlacement	0.0337979793548584
30	96	30	0	0	77	19	5804.080000000002	EnergyUnawareStrategyPlacement	0.04257798194885254
30	112	30	0	0	70	42	5585.12	EnergyUnawareStrategyPlacement	0.05572795867919922
30	128	30	0	0	74	54	5878.88	EnergyUnawareStrategyPlacement	0.0647740364074707
30	144	30	0	0	73	71	5805.4400000000005	EnergyUnawareStrategyPlacement	0.07547998428344727
30	160	30	0	0	79	81	5793.199999999997	EnergyUnawareStrategyPlacement	0.08779191970825195
30	176	30	0	0	74	102	5878.879999999999	EnergyUnawareStrategyPlacement	0.09876585006713867
30	192	30	0	0	73	119	5596.000000000001	EnergyUnawareStrategyPlacement	0.10435199737548828
30	208	30	0	0	74	134	5853.04	EnergyUnawareStrategyPlacement	0.11693596839904785
30	224	30	0	0	79	145	6058.4000000000015	EnergyUnawareStrategyPlacement	0.12484502792358398
30	240	30	0	0	73	167	5851.679999999998	EnergyUnawareStrategyPlacement	0.13817405700683594
30	256	30	0	0	76	180	5912.88	EnergyUnawareStrategyPlacement	0.14978504180908203
30	272	30	0	0	78	194	6070.639999999999	EnergyUnawareStrategyPlacement	0.15861201286315918
30	288	30	0	0	73	215	5933.28	EnergyUnawareStrategyPlacement	0.1745469570159912
