#PM	#VM	#PM-U	#PM-S	#PM-I	#VM-P	VM-U	KW	strategy	T
144	16	16	0	128	16	0	19364.480000000003	EnergyUnawareStrategyPlacement	0.005091190338134766
144	32	32	0	112	32	0	19368.56	EnergyUnawareStrategyPlacement	0.0052721500396728516
144	48	48	0	96	48	0	19368.560000000005	EnergyUnawareStrategyPlacement	0.006484031677246094
144	64	64	0	80	64	0	19376.720000000012	EnergyUnawareStrategyPlacement	0.007597923278808594
144	80	80	0	64	80	0	19374.00000000002	EnergyUnawareStrategyPlacement	0.008949041366577148
144	96	96	0	48	96	0	19378.08000000003	EnergyUnawareStrategyPlacement	0.010120868682861328
144	112	112	0	32	112	0	19382.160000000033	EnergyUnawareStrategyPlacement	0.011616945266723633
144	128	128	0	16	128	0	19378.08000000003	EnergyUnawareStrategyPlacement	0.013406991958618164
144	144	144	0	0	144	0	19387.600000000002	EnergyUnawareStrategyPlacement	0.015022993087768555
144	160	144	0	0	144	16	19380.80000000001	EnergyUnawareStrategyPlacement	0.01593184471130371
144	176	144	0	0	144	32	19384.880000000023	EnergyUnawareStrategyPlacement	0.02259993553161621
144	192	144	0	0	144	48	19394.40000000001	EnergyUnawareStrategyPlacement	0.01816105842590332
144	208	144	0	0	144	64	19378.080000000013	EnergyUnawareStrategyPlacement	0.018522024154663086
144	224	144	0	0	144	80	19393.040000000023	EnergyUnawareStrategyPlacement	0.020601987838745117
144	240	144	0	0	144	96	19399.840000000004	EnergyUnawareStrategyPlacement	0.021101951599121094
144	256	144	0	0	144	112	19403.920000000006	EnergyUnawareStrategyPlacement	0.02223515510559082
144	272	144	0	0	144	128	19390.320000000018	EnergyUnawareStrategyPlacement	0.022424936294555664
144	288	144	0	0	144	144	19376.720000000005	EnergyUnawareStrategyPlacement	0.028562068939208984
