#PM	#VM	#PM-U	#PM-S	#PM-I	#VM-P	VM-U	KW	strategy	T
144	16	3	141	0	16	0	1384.28	OpenOptStrategyPlacement	0.1506509780883789
144	32	6	138	0	32	0	2041.76	OpenOptStrategyPlacement	0.16227006912231445
144	48	8	136	0	48	0	2586.16	OpenOptStrategyPlacement	0.3414278030395508
144	64	11	133	0	64	0	3247.72	OpenOptStrategyPlacement	0.5193538665771484
144	80	14	130	0	80	0	3898.4	OpenOptStrategyPlacement	0.8568580150604248
144	96	16	128	0	96	0	4446.879999999999	OpenOptStrategyPlacement	1.1480119228363037
144	112	19	125	0	112	0	5104.360000000001	OpenOptStrategyPlacement	1.5722589492797852
144	128	22	122	0	128	0	5753.68	OpenOptStrategyPlacement	1.9739570617675781
144	144	24	120	0	144	0	6307.6	OpenOptStrategyPlacement	2.466852903366089
144	160	27	117	0	160	0	6959.639999999999	OpenOptStrategyPlacement	3.1092429161071777
144	176	30	114	0	176	0	7615.76	OpenOptStrategyPlacement	3.6972100734710693
144	192	32	112	0	192	0	8175.120000000002	OpenOptStrategyPlacement	4.491440057754517
144	208	35	109	0	208	0	8832.599999999999	OpenOptStrategyPlacement	5.200522184371948
144	224	38	106	0	224	0	9494.16	OpenOptStrategyPlacement	5.9456140995025635
144	240	40	104	0	240	0	10044.000000000004	OpenOptStrategyPlacement	6.869796991348267
144	256	43	101	0	256	0	10694.679999999998	OpenOptStrategyPlacement	7.925312042236328
144	272	46	98	0	272	0	11358.960000000001	OpenOptStrategyPlacement	9.45984697341919
144	288	48	96	0	288	0	11910.160000000002	OpenOptStrategyPlacement	10.797058820724487
