#PM	#VM	#PM-U	#PM-S	#PM-I	#VM-P	VM-U	KW	strategy	T
70	16	16	0	54	16	0	9924.799999999987	EnergyUnawareStrategyPlacement	0.0024728775024414062
70	32	32	0	38	32	0	10610.239999999987	EnergyUnawareStrategyPlacement	0.00350189208984375
70	48	48	0	22	48	0	11328.319999999994	EnergyUnawareStrategyPlacement	0.004336118698120117
70	64	64	0	6	64	0	12142.96	EnergyUnawareStrategyPlacement	0.005836963653564453
70	80	70	0	0	70	10	12534.639999999998	EnergyUnawareStrategyPlacement	0.0064868927001953125
70	96	70	0	0	70	26	12451.68	EnergyUnawareStrategyPlacement	0.0070879459381103516
70	112	70	0	0	70	42	12595.84	EnergyUnawareStrategyPlacement	0.007970094680786133
70	128	70	0	0	70	58	12828.400000000003	EnergyUnawareStrategyPlacement	0.008311986923217773
70	144	70	0	0	70	74	12666.56	EnergyUnawareStrategyPlacement	0.009128808975219727
70	160	70	0	0	70	90	13081.36	EnergyUnawareStrategyPlacement	0.009685993194580078
70	176	70	0	0	70	106	12461.199999999993	EnergyUnawareStrategyPlacement	0.013794898986816406
70	192	70	0	0	70	122	13044.64	EnergyUnawareStrategyPlacement	0.010926961898803711
70	208	70	0	0	70	138	12888.240000000002	EnergyUnawareStrategyPlacement	0.011317968368530273
70	224	70	0	0	70	154	12788.960000000001	EnergyUnawareStrategyPlacement	0.011897802352905273
70	240	70	0	0	70	170	12405.44	EnergyUnawareStrategyPlacement	0.012148857116699219
70	256	70	0	0	70	186	12462.560000000005	EnergyUnawareStrategyPlacement	0.012900829315185547
70	272	70	0	0	70	202	13047.360000000004	EnergyUnawareStrategyPlacement	0.013146162033081055
70	288	70	0	0	70	218	12670.640000000003	EnergyUnawareStrategyPlacement	0.01417994499206543
