#PM	#VM	#PM-U	#PM-S	#PM-I	#VM-P	VM-U	KW	strategy	T
40	16	14	26	0	16	0	2569.2	EvolutionaryComputationStrategyPlacement	2.304486036300659
40	32	25	15	0	32	0	4780.040000000001	EvolutionaryComputationStrategyPlacement	4.689835786819458
40	48	39	1	0	48	0	7350.520000000001	EvolutionaryComputationStrategyPlacement	8.244538068771362
40	64	40	0	0	54	10	7915.120000000002	EvolutionaryComputationStrategyPlacement	10.216783046722412
40	80	40	0	0	56	24	7881.12	EvolutionaryComputationStrategyPlacement	12.480225086212158
40	96	40	0	0	59	37	8067.439999999999	EvolutionaryComputationStrategyPlacement	14.892363786697388
40	112	40	0	0	56	56	7505.760000000002	EvolutionaryComputationStrategyPlacement	17.35023808479309
40	128	40	0	0	57	71	8006.240000000001	EvolutionaryComputationStrategyPlacement	19.590116024017334
40	144	40	0	0	59	85	8105.52	EvolutionaryComputationStrategyPlacement	21.86387801170349
40	160	40	0	0	64	96	7939.5999999999985	EvolutionaryComputationStrategyPlacement	23.45779800415039
40	176	40	0	0	64	112	8108.240000000002	EvolutionaryComputationStrategyPlacement	25.958241939544678
40	192	40	0	0	60	132	7692.079999999998	EvolutionaryComputationStrategyPlacement	28.10797095298767
40	208	40	0	0	62	146	8338.079999999998	EvolutionaryComputationStrategyPlacement	30.153621912002563
40	224	40	0	0	64	160	8279.599999999997	EvolutionaryComputationStrategyPlacement	32.77095603942871
40	240	40	0	0	56	184	7732.879999999998	EvolutionaryComputationStrategyPlacement	35.77260208129883
40	256	40	0	0	66	190	8193.92	EvolutionaryComputationStrategyPlacement	37.07083797454834
40	272	40	0	0	68	204	7856.639999999999	EvolutionaryComputationStrategyPlacement	38.7279269695282
40	288	40	0	0	65	223	8129.999999999999	EvolutionaryComputationStrategyPlacement	41.20363116264343
