#PM	#VM	#PM-U	#PM-S	#PM-I	#VM-P	VM-U	KW	strategy	T
30	16	14	16	0	16	0	2519.2	OpenOptStrategyPlacement	0.2411799430847168
30	32	27	3	0	32	0	4948.04	OpenOptStrategyPlacement	0.6446011066436768
30	48	30	0	0	40	8	5763.280000000001	OpenOptStrategyPlacement	1.2069098949432373
30	64	30	0	0	43	21	6324.959999999998	OpenOptStrategyPlacement	1.7940001487731934
30	80	30	0	0	47	33	5722.48	OpenOptStrategyPlacement	2.2461540699005127
30	96	30	0	0	50	46	6323.5999999999985	OpenOptStrategyPlacement	2.936129093170166
30	112	30	0	0	52	60	6104.639999999999	OpenOptStrategyPlacement	3.4365930557250977
30	128	30	0	0	56	72	6304.56	OpenOptStrategyPlacement	4.1291420459747314
30	144	30	0	0	61	83	6412.000000000001	OpenOptStrategyPlacement	4.6861279010772705
30	160	30	0	0	64	96	6356.24	OpenOptStrategyPlacement	5.291647911071777
30	176	30	0	0	67	109	6671.760000000001	OpenOptStrategyPlacement	5.8558220863342285
30	192	30	0	0	67	125	6580.640000000002	OpenOptStrategyPlacement	6.623093128204346
30	208	30	0	0	67	141	6590.16	OpenOptStrategyPlacement	7.3183910846710205
30	224	30	0	0	66	158	6467.759999999999	OpenOptStrategyPlacement	7.955976963043213
30	240	30	0	0	69	171	6588.800000000001	OpenOptStrategyPlacement	8.596873044967651
30	256	30	0	0	69	187	6621.44	OpenOptStrategyPlacement	9.39358401298523
30	272	30	0	0	67	205	6308.64	OpenOptStrategyPlacement	10.3715980052948
30	288	30	0	0	69	219	6439.199999999999	OpenOptStrategyPlacement	10.651362895965576
