#PM	#VM	#PM-U	#PM-S	#PM-I	#VM-P	VM-U	KW	strategy	T
100	16	6	0	94	16	0	13781.359999999975	EnergyUnawareStrategyPlacement	0.005045890808105469
100	32	14	0	86	32	0	14125.439999999973	EnergyUnawareStrategyPlacement	0.009398937225341797
100	48	21	0	79	48	0	14488.559999999972	EnergyUnawareStrategyPlacement	0.016445159912109375
100	64	29	0	71	64	0	14722.479999999974	EnergyUnawareStrategyPlacement	0.025981903076171875
100	80	35	0	65	80	0	14995.839999999976	EnergyUnawareStrategyPlacement	0.037153005599975586
100	96	40	0	60	96	0	15481.359999999979	EnergyUnawareStrategyPlacement	0.04943704605102539
100	112	47	0	53	112	0	15923.359999999982	EnergyUnawareStrategyPlacement	0.06879091262817383
100	128	52	0	48	128	0	16419.759999999984	EnergyUnawareStrategyPlacement	0.08391499519348145
100	144	62	0	38	144	0	16882.15999999999	EnergyUnawareStrategyPlacement	0.1093299388885498
100	160	67	0	33	160	0	17374.48	EnergyUnawareStrategyPlacement	0.12454485893249512
100	176	74	0	26	176	0	17759.36000000001	EnergyUnawareStrategyPlacement	0.1529099941253662
100	192	81	0	19	192	0	18224.480000000018	EnergyUnawareStrategyPlacement	0.1782379150390625
100	208	87	0	13	208	0	18742.640000000018	EnergyUnawareStrategyPlacement	0.2078380584716797
100	224	96	0	4	224	0	19022.800000000003	EnergyUnawareStrategyPlacement	0.7536230087280273
100	240	100	0	0	236	4	19290.719999999994	EnergyUnawareStrategyPlacement	0.27994489669799805
100	256	100	0	0	235	21	19380.48	EnergyUnawareStrategyPlacement	0.3156249523162842
100	272	100	0	0	238	34	19554.560000000012	EnergyUnawareStrategyPlacement	0.3448781967163086
100	288	100	0	0	241	47	19411.759999999995	EnergyUnawareStrategyPlacement	0.38663220405578613
