#PM	#VM	#PM-U	#PM-S	#PM-I	#VM-P	VM-U	KW	strategy	T
20	16	6	14	0	16	0	1217.76	OpenOptStrategyPlacement	0.08065915107727051
20	32	11	9	0	32	0	2270.04	OpenOptStrategyPlacement	0.10848808288574219
20	48	16	4	0	48	0	3320.96	OpenOptStrategyPlacement	0.21733808517456055
20	64	20	0	0	60	4	4028.96	OpenOptStrategyPlacement	0.37491703033447266
20	80	20	0	0	69	11	4262.88	OpenOptStrategyPlacement	0.5007660388946533
20	96	20	0	0	74	22	4368.959999999999	OpenOptStrategyPlacement	0.6437990665435791
20	112	20	0	0	81	31	4613.760000000001	OpenOptStrategyPlacement	0.7826688289642334
20	128	20	0	0	85	43	4631.4400000000005	OpenOptStrategyPlacement	0.9110910892486572
20	144	20	0	0	86	58	4575.68	OpenOptStrategyPlacement	1.1101059913635254
20	160	20	0	0	93	67	4749.759999999999	OpenOptStrategyPlacement	1.2347140312194824
20	176	20	0	0	95	81	4719.839999999999	OpenOptStrategyPlacement	1.4429759979248047
20	192	20	0	0	97	95	4762.0	OpenOptStrategyPlacement	1.666003942489624
20	208	20	0	0	99	109	4753.840000000001	OpenOptStrategyPlacement	1.8704280853271484
20	224	20	0	0	103	121	4730.719999999999	OpenOptStrategyPlacement	2.0549821853637695
20	240	20	0	0	103	137	4639.599999999999	OpenOptStrategyPlacement	2.3078458309173584
20	256	20	0	0	104	152	4741.6	OpenOptStrategyPlacement	2.5274860858917236
20	272	20	0	0	106	166	4804.160000000001	OpenOptStrategyPlacement	2.670167922973633
20	288	20	0	0	108	180	4752.48	OpenOptStrategyPlacement	2.846701145172119
