#PM	#VM	#PM-U	#PM-S	#PM-I	#VM-P	VM-U	KW	strategy	T
200	16	7	0	193	16	0	27200.960000000086	EnergyUnawareStrategyPlacement	0.0037839412689208984
200	32	13	0	187	32	0	27585.84000000009	EnergyUnawareStrategyPlacement	0.00869894027709961
200	48	21	0	179	48	0	27928.560000000092	EnergyUnawareStrategyPlacement	0.016436100006103516
200	64	25	0	175	64	0	28244.0800000001	EnergyUnawareStrategyPlacement	0.0230560302734375
200	80	36	0	164	80	0	28415.440000000104	EnergyUnawareStrategyPlacement	0.035360097885131836
200	96	41	0	159	96	0	28900.960000000112	EnergyUnawareStrategyPlacement	0.046102046966552734
200	112	51	0	149	112	0	29281.76000000012	EnergyUnawareStrategyPlacement	0.06753206253051758
200	128	54	0	146	128	0	29818.960000000126	EnergyUnawareStrategyPlacement	0.08438301086425781
200	144	59	0	141	144	0	30383.36000000014	EnergyUnawareStrategyPlacement	0.09824895858764648
200	160	69	0	131	160	0	30773.68000000015	EnergyUnawareStrategyPlacement	0.12941598892211914
200	176	72	0	128	176	0	31240.160000000153	EnergyUnawareStrategyPlacement	0.14485907554626465
200	192	82	0	118	192	0	31644.080000000155	EnergyUnawareStrategyPlacement	0.1725149154663086
200	208	86	0	114	208	0	32203.040000000165	EnergyUnawareStrategyPlacement	0.19230890274047852
200	224	92	0	108	224	0	32544.400000000165	EnergyUnawareStrategyPlacement	0.23285412788391113
200	240	105	0	95	240	0	32796.00000000013	EnergyUnawareStrategyPlacement	0.2627580165863037
200	256	110	0	90	256	0	33399.84000000013	EnergyUnawareStrategyPlacement	0.2931859493255615
200	272	110	0	90	272	0	33935.680000000124	EnergyUnawareStrategyPlacement	0.34882307052612305
200	288	124	0	76	288	0	34169.600000000115	EnergyUnawareStrategyPlacement	0.3955099582672119
