#PM	#VM	#PM-U	#PM-S	#PM-I	#VM-P	VM-U	KW	strategy	T
10	16	6	4	0	16	0	1167.76	EvolutionaryComputationStrategyPlacement	0.6504778861999512
10	32	10	0	0	32	0	2111.04	EvolutionaryComputationStrategyPlacement	1.25577712059021
10	48	10	0	0	37	11	2208.9599999999996	EvolutionaryComputationStrategyPlacement	1.618398904800415
10	64	10	0	0	37	27	2004.96	EvolutionaryComputationStrategyPlacement	1.9956111907958984
10	80	10	0	0	39	41	2204.88	EvolutionaryComputationStrategyPlacement	2.3872320652008057
10	96	10	0	0	35	61	2036.2400000000002	EvolutionaryComputationStrategyPlacement	2.7237730026245117
10	112	10	0	0	29	83	1949.1999999999998	EvolutionaryComputationStrategyPlacement	3.1791529655456543
10	128	10	0	0	29	99	2017.2	EvolutionaryComputationStrategyPlacement	3.4913330078125
10	144	10	0	0	31	113	2093.3599999999997	EvolutionaryComputationStrategyPlacement	3.877202033996582
10	160	10	0	0	33	127	2242.96	EvolutionaryComputationStrategyPlacement	4.178208112716675
10	176	10	0	0	34	142	2140.96	EvolutionaryComputationStrategyPlacement	4.588242053985596
10	192	10	0	0	32	160	2072.96	EvolutionaryComputationStrategyPlacement	4.937341928482056
10	208	10	0	0	34	174	2111.04	EvolutionaryComputationStrategyPlacement	5.294445991516113
10	224	10	0	0	31	193	1954.6399999999999	EvolutionaryComputationStrategyPlacement	5.5963850021362305
10	240	10	0	0	32	208	1832.24	EvolutionaryComputationStrategyPlacement	5.9885170459747314
10	256	10	0	0	36	220	1984.5599999999997	EvolutionaryComputationStrategyPlacement	6.2877771854400635
10	272	10	0	0	30	242	1960.0800000000002	EvolutionaryComputationStrategyPlacement	6.6870949268341064
10	288	10	0	0	32	256	1973.68	EvolutionaryComputationStrategyPlacement	6.939382076263428
