strategy-95m	strategy-95h	#PM-I-95h	#PM-95m	#PM-95h	#PM-I-95m	T-95m	T-95h	strategy	KW-95m	#PM-S-95h	KW-95h	#PM-S-95m	KW	#PM-S	#PM-U	#PM-I	#VM-P-95h	T	#VM-P-95m	#VM-P	#PM	VM-U	VM-U-95h	VM-U-95m	#PM-U-95m	#VM-95h	#VM	#PM-U-95h	#VM-95m
0	0	0.0	70.0	0.0	0.0	0.688806049029	0.0118285233056	EvolutionaryComputationStrategyPlacement	1456.86	0.113936883014	12.4191202485	64.1	1456.86	64.1	5.9	0.0	0.0	0.688806049029	16.0	16.0	70.0	0.0	0.0	0.0	5.9	0.0	16.0	0.113936883014	16.0
0	0	0.0	70.0	0.0	0.0	1.3700871865	0.0161715641409	EvolutionaryComputationStrategyPlacement	2443.74	0.174041463619	18.9705195345	59.7	2443.74	59.7	10.3	0.0	0.0	1.3700871865	32.0	32.0	70.0	0.0	0.0	0.0	10.3	0.0	32.0	0.174041463619	32.0
0	0	0.0	70.0	0.0	0.0	2.45037643115	0.0341367498046	EvolutionaryComputationStrategyPlacement	3639.99333333	0.207633758186	22.6320796423	53.3666666667	3639.99333333	53.3666666667	16.6333333333	0.0	0.0	2.45037643115	48.0	48.0	70.0	0.0	0.0	0.0	16.6333333333	0.0	48.0	0.207633758186	48.0
0	0	0.0	70.0	0.0	0.0	3.66436872482	0.0435105355508	EvolutionaryComputationStrategyPlacement	4687.48	0.287572051485	31.3453536118	47.4	4687.48	47.4	22.6	0.0	0.0	3.66436872482	64.0	64.0	70.0	0.0	0.0	0.0	22.6	0.0	64.0	0.287572051485	64.0
0	0	0.0	70.0	0.0	0.0	4.84630669753	0.0444932524435	EvolutionaryComputationStrategyPlacement	5551.94	0.247106581479	26.9346173812	43.1	5551.94	43.1	26.9	0.0	0.0	4.84630669753	80.0	80.0	70.0	0.0	0.0	0.0	26.9	0.0	80.0	0.247106581479	80.0
0	0	0.0	70.0	0.0	0.0	6.53065677484	0.0685304548693	EvolutionaryComputationStrategyPlacement	6807.99333333	0.346467684522	37.7649776129	36.9666666667	6807.99333333	36.9666666667	33.0333333333	0.0	0.0	6.53065677484	96.0	96.0	70.0	0.0	0.0	0.0	33.0333333333	0.0	96.0	0.346467684522	96.0
0	0	0.0	70.0	0.0	0.0	8.53199241161	0.0732712484981	EvolutionaryComputationStrategyPlacement	8101.29333333	0.363400424797	39.6106463029	30.4666666667	8101.29333333	30.4666666667	39.5333333333	0.0	0.0	8.53199241161	112.0	112.0	70.0	0.0	0.0	0.0	39.5333333333	0.0	112.0	0.363400424797	112.0
0	0	0.0	70.0	0.0	0.0	10.6736163934	0.0962069593638	EvolutionaryComputationStrategyPlacement	9346.42666667	0.435609834487	47.4814719591	24.5333333333	9346.42666667	24.5333333333	45.4666666667	0.0	0.0	10.6736163934	128.0	128.0	70.0	0.0	0.0	0.0	45.4666666667	0.0	128.0	0.435609834487	128.0
0	0	0.0	70.0	0.0	0.0	13.0614686092	0.128589860651	EvolutionaryComputationStrategyPlacement	10684.9933333	0.432841686344	47.1797438115	18.3666666667	10684.9933333	18.3666666667	51.6333333333	0.0	0.0	13.0614686092	144.0	144.0	70.0	0.0	0.0	0.0	51.6333333333	0.0	144.0	0.432841686344	144.0
0	0	0.0	70.0	0.0	0.0	15.3698972305	0.145656089396	EvolutionaryComputationStrategyPlacement	11878.8133333	0.412945405813	45.0110492336	12.8666666667	11878.8133333	12.8666666667	57.1333333333	0.0	0.0	15.3698972305	160.0	160.0	70.0	0.0	0.0	0.0	57.1333333333	0.0	160.0	0.412945405813	160.0
0	0	0.0	70.0	0.0	0.0	17.9237932364	0.168231573716	EvolutionaryComputationStrategyPlacement	13002.36	0.551240339211	60.085196974	7.4	13002.36	7.4	62.6	0.0	0.0	17.9237932364	176.0	176.0	70.0	0.0	0.0	0.0	62.6	0.0	176.0	0.551240339211	176.0
0	0	0.0	70.0	0.0	0.0	20.9342544556	0.154970864013	EvolutionaryComputationStrategyPlacement	14324.344	0.39142699247	40.2494791977	0.733333333333	14324.344	0.733333333333	69.2666666667	0.0	0.289792718064	20.9342544556	191.533333333	191.533333333	70.0	0.466666666667	0.289792718064	0.466666666667	69.2666666667	0.0	192.0	0.39142699247	192.0
0	0	0.0	70.0	0.0	0.0	23.3737672091	0.1377908899	EvolutionaryComputationStrategyPlacement	14669.024	0.0	47.8678793288	0.0	14669.024	0.0	70.0	0.0	1.00355207438	23.3737672091	199.466666667	199.466666667	70.0	8.53333333333	1.00355207438	8.53333333333	70.0	0.0	208.0	0.0	208.0
0	0	0.0	70.0	0.0	0.0	25.4389517069	0.150168785539	EvolutionaryComputationStrategyPlacement	14720.2053333	0.0	64.7805980971	0.0	14720.2053333	0.0	70.0	0.0	1.29258721685	25.4389517069	206.5	206.5	70.0	17.5	1.29258721685	17.5	70.0	0.0	224.0	0.0	224.0
0	0	0.0	70.0	0.0	0.0	27.8634619633	0.12295166053	EvolutionaryComputationStrategyPlacement	14558.1386667	0.0	64.7251487789	0.0	14558.1386667	0.0	70.0	0.0	1.45448347161	27.8634619633	208.0	208.0	70.0	32.0	1.45448347161	32.0	70.0	0.0	240.0	0.0	240.0
0	0	0.0	70.0	0.0	0.0	30.1368670066	0.147103427696	EvolutionaryComputationStrategyPlacement	14611.3146667	0.0	74.1741592413	0.0	14611.3146667	0.0	70.0	0.0	1.35854069714	30.1368670066	207.733333333	207.733333333	70.0	48.2666666667	1.35854069714	48.2666666667	70.0	0.0	256.0	0.0	256.0
0	0	0.0	70.0	0.0	0.0	32.3092677037	0.15936102435	EvolutionaryComputationStrategyPlacement	14521.3733333	0.0	73.9041025232	0.0	14521.3733333	0.0	70.0	0.0	1.61573092133	32.3092677037	206.366666667	206.366666667	70.0	65.6333333333	1.61573092133	65.6333333333	70.0	0.0	272.0	0.0	272.0
0	0	0.0	70.0	0.0	0.0	34.4711659273	0.156252831111	EvolutionaryComputationStrategyPlacement	14500.656	0.0	59.4277733221	0.0	14500.656	0.0	70.0	0.0	1.07129397309	34.4711659273	208.1	208.1	70.0	79.9	1.07129397309	79.9	70.0	0.0	288.0	0.0	288.0
