strategy-95m	strategy-95h	#PM-I-95h	#PM-95m	#PM-95h	#PM-I-95m	T-95m	T-95h	strategy	KW-95m	#PM-S-95h	KW-95h	#PM-S-95m	KW	#PM-S	#PM-U	#PM-I	#VM-P-95h	T	#VM-P-95m	#VM-P	#PM	VM-U	VM-U-95h	VM-U-95m	#PM-U-95m	#VM-95h	#VM	#PM-U-95h	#VM-95m
0	0	0.0	100.0	0.0	0.0	0.692692327499	0.0141204399751	EvolutionaryComputationStrategyPlacement	1603.22666667	0.129103642179	14.0722969975	94.1333333333	1508.76	95.0	5.0	0.0	0.0	0.600023031235	16.0	16.0	100.0	0.0	0.0	0.0	5.86666666667	0.0	16.0	0.129103642179	16.0
0	0	0.0	100.0	0.0	0.0	1.37102019787	0.0183772119655	EvolutionaryComputationStrategyPlacement	2579.20666667	0.141539230868	15.4277761646	89.8333333333	2561.04	90.0	10.0	0.0	0.0	1.32144093513	32.0	32.0	100.0	0.0	0.0	0.0	10.1666666667	0.0	32.0	0.141539230868	32.0
0	0	0.0	100.0	0.0	0.0	2.434162124	0.0243268913357	EvolutionaryComputationStrategyPlacement	3768.19333333	0.188199281748	20.5137217106	83.5666666667	3720.96	84.0	16.0	0.0	0.0	2.33465099335	48.0	48.0	100.0	0.0	0.0	0.0	16.4333333333	0.0	48.0	0.188199281748	48.0
0	0	0.0	100.0	0.0	0.0	3.74580624104	0.0454304264095	EvolutionaryComputationStrategyPlacement	4855.64666667	0.305147552522	33.2610832249	77.2333333333	4772.08	78.0	22.0	0.0	0.0	3.59479689598	64.0	64.0	100.0	0.0	0.0	0.0	22.7666666667	0.0	64.0	0.305147552522	64.0
0	0	0.0	100.0	0.0	0.0	4.83680900733	0.0518136331811	EvolutionaryComputationStrategyPlacement	5701.94	0.330366027173	36.0098969618	73.1	5494.84	75.0	25.0	0.0	0.0	4.49999117851	80.0	80.0	100.0	0.0	0.0	0.0	26.9	0.0	80.0	0.330366027173	80.0
0	0	0.0	100.0	0.0	0.0	6.57132534186	0.0752024408158	EvolutionaryComputationStrategyPlacement	6954.36	0.339694154084	37.0266627952	67.0	6736.36	69.0	31.0	0.0	0.0	6.1633310318	96.0	96.0	100.0	0.0	0.0	0.0	33.0	0.0	96.0	0.339694154084	96.0
0	0	0.0	100.0	0.0	0.0	8.65925315221	0.0838373496858	EvolutionaryComputationStrategyPlacement	8269.46	0.36887198256	40.207046099	60.3	8084.16	62.0	38.0	0.0	0.0	8.27669596672	112.0	112.0	100.0	0.0	0.0	0.0	39.7	0.0	112.0	0.36887198256	112.0
0	0	0.0	100.0	0.0	0.0	10.696148475	0.101667760942	EvolutionaryComputationStrategyPlacement	9503.69333333	0.401133267534	43.7235261612	54.4666666667	9336.56	56.0	44.0	0.0	0.0	10.1499321461	128.0	128.0	100.0	0.0	0.0	0.0	45.5333333333	0.0	128.0	0.401133267534	128.0
0	0	0.0	100.0	0.0	0.0	13.1094676971	0.112415209525	EvolutionaryComputationStrategyPlacement	10856.7933333	0.368002000258	40.1122180281	48.1666666667	10656.96	50.0	50.0	0.0	0.0	12.3995380402	144.0	144.0	100.0	0.0	0.0	0.0	51.8333333333	0.0	144.0	0.368002000258	144.0
0	0	0.0	100.0	0.0	0.0	15.4350145976	0.14786451732	EvolutionaryComputationStrategyPlacement	11985.2133333	0.579585436129	63.174812538	43.2666666667	11687.28	46.0	54.0	0.0	0.0	14.6818912029	160.0	160.0	100.0	0.0	0.0	0.0	56.7333333333	0.0	160.0	0.579585436129	160.0
