#PM	#VM	#PM-U	#PM-S	#PM-I	#VM-P	VM-U	KW	strategy	T
10	16	6	4	0	16	0	1167.76	OpenOptStrategyPlacement	0.08879995346069336
10	32	10	0	0	31	1	2037.6	OpenOptStrategyPlacement	0.10572314262390137
10	48	10	0	0	38	10	2210.3199999999997	OpenOptStrategyPlacement	0.17737483978271484
10	64	10	0	0	40	24	2222.56	OpenOptStrategyPlacement	0.2577521800994873
10	80	10	0	0	46	34	2210.3199999999997	OpenOptStrategyPlacement	0.32183313369750977
10	96	10	0	0	47	49	2342.24	OpenOptStrategyPlacement	0.41143298149108887
10	112	10	0	0	50	62	2349.0400000000004	OpenOptStrategyPlacement	0.5259640216827393
10	128	10	0	0	52	76	2370.8	OpenOptStrategyPlacement	0.5716729164123535
10	144	10	0	0	53	91	2359.92	OpenOptStrategyPlacement	0.6819021701812744
10	160	10	0	0	57	103	2399.3599999999997	OpenOptStrategyPlacement	0.7332618236541748
10	176	10	0	0	57	119	2403.44	OpenOptStrategyPlacement	0.8680751323699951
10	192	10	0	0	58	134	2402.08	OpenOptStrategyPlacement	0.9487118721008301
10	208	10	0	0	59	149	2408.88	OpenOptStrategyPlacement	1.1228508949279785
10	224	10	0	0	61	163	2414.3199999999997	OpenOptStrategyPlacement	1.1079130172729492
10	240	10	0	0	61	179	2343.6000000000004	OpenOptStrategyPlacement	1.2896361351013184
10	256	10	0	0	62	194	2383.04	OpenOptStrategyPlacement	1.3395938873291016
10	272	10	0	0	63	209	2402.0800000000004	OpenOptStrategyPlacement	1.4275169372558594
10	288	10	0	0	64	224	2408.88	OpenOptStrategyPlacement	1.6294550895690918
