strategy-95m	strategy-95h	#PM-I-95h	#PM-95m	#PM-95h	#PM-I-95m	T-95m	T-95h	strategy	KW-95m	#PM-S-95h	KW-95h	#PM-S-95m	KW	#PM-S	#PM-U	#PM-I	#VM-P-95h	T	#VM-P-95m	#VM-P	#PM	VM-U	VM-U-95h	VM-U-95m	#PM-U-95m	#VM-95h	#VM	#PM-U-95h	#VM-95m
0	0	0.0	30.0	0.0	0.0	0.0828487793605	0.000817440110255	OpenOptStrategyPlacement	1267.76	0.0	1.72708319062e-13	24.0	1267.76	24.0	6.0	0.0	0.0	0.0798101425171	16.0	16.0	30.0	0.0	0.0	0.0	6.0	0.0	16.0	0.0	16.0
0	0	0.0	30.0	0.0	0.0	0.109657939275	0.000919717539563	OpenOptStrategyPlacement	2320.04	0.0	1.72708319062e-13	19.0	2320.04	19.0	11.0	0.0	0.0	0.106006145477	32.0	32.0	30.0	0.0	0.0	0.0	11.0	0.0	32.0	0.0	32.0
0	0	0.0	30.0	0.0	0.0	0.221479487419	0.00206686471703	OpenOptStrategyPlacement	3370.96	0.0	6.9083327625e-13	14.0	3370.96	14.0	16.0	0.0	0.0	0.211915969849	48.0	48.0	30.0	0.0	0.0	0.0	16.0	0.0	48.0	0.0	48.0
0	0	0.0	30.0	0.0	0.0	0.378342914581	0.00408639048425	OpenOptStrategyPlacement	4422.08	0.0	3.45416638125e-13	8.0	4422.08	8.0	22.0	0.0	0.0	0.356477022171	64.0	64.0	30.0	0.0	0.0	0.0	22.0	0.0	64.0	0.0	64.0
0	0	0.0	30.0	0.0	0.0	0.533777395884	0.00603536387455	OpenOptStrategyPlacement	5253.84	0.0	1.03624991437e-12	4.0	5253.84	4.0	26.0	0.0	0.0	0.508044958115	80.0	80.0	30.0	0.0	0.0	0.0	26.0	0.0	80.0	0.0	80.0
0	0	0.0	30.0	0.0	0.0	0.72691022555	0.00518866944481	OpenOptStrategyPlacement	6214.8	0.0	6.9083327625e-13	0.0	6214.8	0.0	30.0	0.0	0.0	0.710036993027	94.0	94.0	30.0	2.0	0.0	2.0	30.0	0.0	96.0	0.0	96.0
0	0	0.0	30.0	0.0	0.0	0.95221584638	0.0093781802266	OpenOptStrategyPlacement	6522.16	0.0	6.9083327625e-13	0.0	6522.16	0.0	30.0	0.0	0.0	0.907673835754	101.0	101.0	30.0	11.0	0.0	11.0	30.0	0.0	112.0	0.0	112.0
0	0	0.0	30.0	0.0	0.0	1.1435757637	0.00793665850377	OpenOptStrategyPlacement	6679.92	0.0	1.03624991437e-12	0.0	6679.92	0.0	30.0	0.0	0.0	1.10559678078	107.0	107.0	30.0	21.0	0.0	21.0	30.0	0.0	128.0	0.0	128.0
0	0	0.0	30.0	0.0	0.0	1.394648091	0.0108221055762	OpenOptStrategyPlacement	6794.16	0.0	6.9083327625e-13	0.0	6794.16	0.0	30.0	0.0	0.0	1.34776806831	112.0	112.0	30.0	32.0	0.0	32.0	30.0	0.0	144.0	0.0	144.0
0	0	0.0	30.0	0.0	0.0	1.56502367655	0.0140474425051	OpenOptStrategyPlacement	7028.08	0.0	1.3816665525e-12	0.0	7028.08	0.0	30.0	0.0	0.0	1.49523687363	122.0	122.0	30.0	38.0	0.0	38.0	30.0	0.0	160.0	0.0	160.0
0	0	0.0	30.0	0.0	0.0	1.87564996878	0.0176124336241	OpenOptStrategyPlacement	7010.4	0.0	1.3816665525e-12	0.0	7010.4	0.0	30.0	0.0	0.0	1.77224993706	125.0	125.0	30.0	51.0	0.0	51.0	30.0	0.0	176.0	0.0	176.0
0	0	0.0	30.0	0.0	0.0	2.17641059558	0.0116600765075	OpenOptStrategyPlacement	7021.28	0.0	0.0	0.0	7021.28	0.0	30.0	0.0	0.0	2.12177085876	127.0	127.0	30.0	65.0	0.0	65.0	30.0	0.0	192.0	0.0	192.0
0	0	0.0	30.0	0.0	0.0	2.50041369597	0.0113639813563	OpenOptStrategyPlacement	6968.24	0.0	1.03624991437e-12	0.0	6968.24	0.0	30.0	0.0	0.0	2.44667887688	129.0	129.0	30.0	79.0	0.0	79.0	30.0	0.0	208.0	0.0	208.0
0	0	0.0	30.0	0.0	0.0	2.75761552652	0.020356864459	OpenOptStrategyPlacement	6979.12	0.0	1.03624991437e-12	0.0	6979.12	0.0	30.0	0.0	0.0	2.68304204941	135.0	135.0	30.0	89.0	0.0	89.0	30.0	0.0	224.0	0.0	224.0
0	0	0.0	30.0	0.0	0.0	3.04814045429	0.0240083707044	OpenOptStrategyPlacement	6915.2	0.0	1.3816665525e-12	0.0	6915.2	0.0	30.0	0.0	0.0	2.93556904793	136.0	136.0	30.0	104.0	0.0	104.0	30.0	0.0	240.0	0.0	240.0
0	0	0.0	30.0	0.0	0.0	3.47106716633	0.0153613690182	OpenOptStrategyPlacement	7022.64	0.0	1.72708319062e-12	0.0	7022.64	0.0	30.0	0.0	0.0	3.39690184593	139.0	139.0	30.0	117.0	0.0	117.0	30.0	0.0	256.0	0.0	256.0
0	0	0.0	30.0	0.0	0.0	3.66369775136	0.0194938654311	OpenOptStrategyPlacement	7161.36	0.0	1.72708319062e-12	0.0	7161.36	0.0	30.0	0.0	0.0	3.55597400665	145.0	145.0	30.0	127.0	0.0	127.0	30.0	0.0	272.0	0.0	272.0
0	0	0.0	30.0	0.0	0.0	3.92404382229	0.0157719765096	OpenOptStrategyPlacement	7082.48	0.0	6.9083327625e-13	0.0	7082.48	0.0	30.0	0.0	0.0	3.83293008804	148.0	148.0	30.0	140.0	0.0	140.0	30.0	0.0	288.0	0.0	288.0
