strategy-95m	strategy-95h	#PM-I-95h	#PM-95m	#PM-95h	#PM-I-95m	T-95m	T-95h	strategy	KW-95m	#PM-S-95h	KW-95h	#PM-S-95m	KW	#PM-S	#PM-U	#PM-I	#VM-P-95h	T	#VM-P-95m	#VM-P	#PM	VM-U	VM-U-95h	VM-U-95m	#PM-U-95m	#VM-95h	#VM	#PM-U-95h	#VM-95m
0	0	0.0	50.0	0.0	0.0	0.082141939799	0.000598724944466	OpenOptStrategyPlacement	1367.76	0.0	8.63541595312e-14	44.0	1367.76	44.0	6.0	0.0	0.0	0.0857589244843	16.0	16.0	50.0	0.0	0.0	0.0	6.0	0.0	16.0	0.0	16.0
0	0	0.0	50.0	0.0	0.0	0.109215815862	0.00123300570971	OpenOptStrategyPlacement	2420.04	0.0	0.0	39.0	2420.04	39.0	11.0	0.0	0.0	0.120981931686	32.0	32.0	50.0	0.0	0.0	0.0	11.0	0.0	32.0	0.0	32.0
0	0	0.0	50.0	0.0	0.0	0.222977121671	0.00473994072387	OpenOptStrategyPlacement	3470.96	0.0	6.9083327625e-13	34.0	3470.96	34.0	16.0	0.0	0.0	0.287438869476	48.0	48.0	50.0	0.0	0.0	0.0	16.0	0.0	48.0	0.0	48.0
0	0	0.0	50.0	0.0	0.0	0.384877554576	0.00343060757922	OpenOptStrategyPlacement	4522.08	0.0	3.45416638125e-13	28.0	4522.08	28.0	22.0	0.0	0.0	0.415764093399	64.0	64.0	50.0	0.0	0.0	0.0	22.0	0.0	64.0	0.0	64.0
0	0	0.0	50.0	0.0	0.0	0.526527961095	0.00425340039539	OpenOptStrategyPlacement	5353.84	0.0	1.03624991437e-12	24.0	5353.84	24.0	26.0	0.0	0.0	0.552059173584	80.0	80.0	50.0	0.0	0.0	0.0	26.0	0.0	80.0	0.0	80.0
0	0	0.0	50.0	0.0	0.0	0.732468231519	0.00566741190542	OpenOptStrategyPlacement	6486.36	0.0	1.72708319062e-12	19.0	6486.36	19.0	31.0	0.0	0.0	0.764739990234	96.0	96.0	50.0	0.0	0.0	0.0	31.0	0.0	96.0	0.0	96.0
0	0	0.0	50.0	0.0	0.0	1.01613963445	0.00899072518458	OpenOptStrategyPlacement	7725.16	0.0	3.45416638125e-13	13.0	7725.16	13.0	37.0	0.0	0.0	1.066147089	112.0	112.0	50.0	0.0	0.0	0.0	37.0	0.0	112.0	0.0	112.0
0	0	0.0	50.0	0.0	0.0	1.25229666233	0.0111926297445	OpenOptStrategyPlacement	8977.56	0.0	0.0	7.0	8977.56	7.0	43.0	0.0	0.0	1.30606913567	128.0	128.0	50.0	0.0	0.0	0.0	43.0	0.0	128.0	0.0	128.0
0	0	0.0	50.0	0.0	0.0	1.62770284017	0.0133747861315	OpenOptStrategyPlacement	10297.96	0.0	0.0	1.0	10297.96	1.0	49.0	0.0	0.0	1.68015599251	144.0	144.0	50.0	0.0	0.0	0.0	49.0	0.0	144.0	0.0	144.0
0	0	0.0	50.0	0.0	0.0	1.87383913994	0.0148709626073	OpenOptStrategyPlacement	10949.6	0.0	0.0	0.0	10949.6	0.0	50.0	0.0	0.0	1.9504711628	159.0	159.0	50.0	1.0	0.0	1.0	50.0	0.0	160.0	0.0	160.0
0	0	0.0	50.0	0.0	0.0	2.26751514276	0.0156606973232	OpenOptStrategyPlacement	11165.84	0.0	1.3816665525e-12	0.0	11165.84	0.0	50.0	0.0	0.0	2.33464121819	168.0	168.0	50.0	8.0	0.0	8.0	50.0	0.0	176.0	0.0	176.0
0	0	0.0	50.0	0.0	0.0	2.73770364126	0.0209677375731	OpenOptStrategyPlacement	11271.92	0.0	6.9083327625e-13	0.0	11271.92	0.0	50.0	0.0	0.0	2.833974123	172.0	172.0	50.0	20.0	0.0	20.0	50.0	0.0	192.0	0.0	192.0
0	0	0.0	50.0	0.0	0.0	3.18513739109	0.0248690722599	OpenOptStrategyPlacement	11519.44	0.0	6.9083327625e-13	0.0	11519.44	0.0	50.0	0.0	0.0	3.3215098381	179.0	179.0	50.0	29.0	0.0	29.0	50.0	0.0	208.0	0.0	208.0
0	0	0.0	50.0	0.0	0.0	3.52059133848	0.0270369633414	OpenOptStrategyPlacement	11470.48	0.0	6.9083327625e-13	0.0	11470.48	0.0	50.0	0.0	0.0	3.6158080101	190.0	190.0	50.0	34.0	0.0	34.0	50.0	0.0	224.0	0.0	224.0
0	0	0.0	50.0	0.0	0.0	4.05683379968	0.0165916976871	OpenOptStrategyPlacement	11558.88	0.0	2.07249982875e-12	0.0	11558.88	0.0	50.0	0.0	0.0	4.13973283768	194.0	194.0	50.0	46.0	0.0	46.0	50.0	0.0	240.0	0.0	240.0
0	0	0.0	50.0	0.0	0.0	4.55395926634	0.01684033678	OpenOptStrategyPlacement	11703.04	0.0	1.3816665525e-12	0.0	11703.04	0.0	50.0	0.0	0.0	4.62903094292	199.0	199.0	50.0	57.0	0.0	57.0	50.0	0.0	256.0	0.0	256.0
0	0	0.0	50.0	0.0	0.0	4.9538908879	0.0151571345245	OpenOptStrategyPlacement	11874.4	0.0	6.9083327625e-13	0.0	11874.4	0.0	50.0	0.0	0.0	5.07956290245	205.0	205.0	50.0	67.0	0.0	67.0	50.0	0.0	272.0	0.0	272.0
0	0	0.0	50.0	0.0	0.0	5.30228969256	0.0178529784508	OpenOptStrategyPlacement	11692.16	0.0	1.3816665525e-12	0.0	11692.16	0.0	50.0	0.0	0.0	5.4047908783	208.0	208.0	50.0	80.0	0.0	80.0	50.0	0.0	288.0	0.0	288.0
