#PM	#VM	#PM-U	#PM-S	#PM-I	#VM-P	VM-U	KW	strategy	T
70	16	15	0	55	16	0	10097.519999999984	EnergyUnawareStrategyPlacement	0.004046916961669922
70	32	24	0	46	32	0	10629.279999999982	EnergyUnawareStrategyPlacement	0.00989985466003418
70	48	37	0	33	48	0	11403.119999999988	EnergyUnawareStrategyPlacement	0.02063894271850586
70	64	49	0	21	64	0	11900.879999999992	EnergyUnawareStrategyPlacement	0.03625011444091797
70	80	60	0	10	80	0	12085.839999999993	EnergyUnawareStrategyPlacement	0.053742170333862305
70	96	70	0	0	94	2	12510.159999999998	EnergyUnawareStrategyPlacement	0.07845401763916016
70	112	70	0	0	96	16	12258.559999999998	EnergyUnawareStrategyPlacement	0.09610795974731445
70	128	70	0	0	94	34	12024.639999999998	EnergyUnawareStrategyPlacement	0.12419605255126953
70	144	70	0	0	100	44	12321.119999999997	EnergyUnawareStrategyPlacement	0.14113116264343262
70	160	70	0	0	103	57	12493.84	EnergyUnawareStrategyPlacement	0.16654682159423828
70	176	70	0	0	99	77	11823.359999999999	EnergyUnawareStrategyPlacement	0.19143080711364746
70	192	70	0	0	98	94	12406.800000000001	EnergyUnawareStrategyPlacement	0.21569013595581055
70	208	70	0	0	94	114	12153.839999999998	EnergyUnawareStrategyPlacement	0.23659992218017578
70	224	70	0	0	104	120	12239.519999999995	EnergyUnawareStrategyPlacement	0.2536919116973877
70	240	70	0	0	98	142	11813.840000000004	EnergyUnawareStrategyPlacement	0.2897369861602783
70	256	70	0	0	103	153	12152.479999999998	EnergyUnawareStrategyPlacement	0.31070995330810547
70	272	70	0	0	95	177	12176.959999999997	EnergyUnawareStrategyPlacement	0.3347139358520508
70	288	70	0	0	97	191	11413.999999999998	EnergyUnawareStrategyPlacement	0.35652613639831543
