strategy-95m	strategy-95h	#PM-I-95h	#PM-95m	#PM-95h	#PM-I-95m	T-95m	T-95h	strategy	KW-95m	#PM-S-95h	KW-95h	#PM-S-95m	KW	#PM-S	#PM-U	#PM-I	#VM-P-95h	T	#VM-P-95m	#VM-P	#PM	VM-U	VM-U-95h	VM-U-95m	#PM-U-95m	#VM-95h	#VM	#PM-U-95h	#VM-95m
0	0	0.35265714349	80.0	0.0	66.7333333333	0.0043891509374	0.000504377996866	EnergyUnawareStrategyPlacement	11476.88	0.0	7.1942057272	0.0	11476.88	0.0	13.2666666667	66.7333333333	0.0	0.0043891509374	16.0	16.0	80.0	0.0	0.0	0.0	13.2666666667	0.0	16.0	0.35265714349	16.0
0	0	0.556016831576	80.0	0.0	55.3	0.0111033439636	0.000570994146274	EnergyUnawareStrategyPlacement	11959.0	0.0	11.3427433642	0.0	11959.0	0.0	24.7	55.3	0.0	0.0111033439636	32.0	32.0	80.0	0.0	0.0	0.0	24.7	0.0	32.0	0.556016831576	32.0
0	0	0.707696154342	80.0	0.0	43.1666666667	0.0221657117208	0.000893143197215	EnergyUnawareStrategyPlacement	12750.52	0.0	14.4370015486	0.0	12750.52	0.0	36.8333333333	43.1666666667	0.0	0.0221657117208	48.0	48.0	80.0	0.0	0.0	0.0	36.8333333333	0.0	48.0	0.707696154342	48.0
0	0	0.582894228584	80.0	0.0	32.3333333333	0.0357786178589	0.000569784492956	EnergyUnawareStrategyPlacement	13272.08	0.0	11.8910422631	0.0	13272.08	0.0	47.6666666667	32.3333333333	0.0	0.0357786178589	64.0	64.0	80.0	0.0	0.0	0.0	47.6666666667	0.0	64.0	0.582894228584	64.0
0	0	0.909030131859	80.0	0.0	21.0666666667	0.0533781687419	0.00104960183349	EnergyUnawareStrategyPlacement	13451.6	0.0	18.5442146899	0.0	13451.6	0.0	58.9333333333	21.0666666667	0.0	0.0533781687419	80.0	80.0	80.0	0.0	0.0	0.0	58.9333333333	0.0	80.0	0.909030131859	80.0
0	0	0.956537159848	80.0	0.0	9.3	0.0746851682663	0.00133142031223	EnergyUnawareStrategyPlacement	13966.36	0.0	19.5133580609	0.0	13966.36	0.0	70.7	9.3	0.0	0.0746851682663	96.0	96.0	80.0	0.0	0.0	0.0	70.7	0.0	96.0	0.956537159848	96.0
0	0	0.0	80.0	0.0	0.0	0.104385352135	0.00177338742646	EnergyUnawareStrategyPlacement	14180.4693333	0.0	59.5899633584	0.0	14180.4693333	0.0	80.0	0.0	0.979304200284	0.104385352135	105.866666667	105.866666667	80.0	6.13333333333	0.979304200284	6.13333333333	80.0	0.0	112.0	0.0	112.0
0	0	0.0	80.0	0.0	0.0	0.126531918844	0.00196805842407	EnergyUnawareStrategyPlacement	14149.3706667	0.0	104.286007853	0.0	14149.3706667	0.0	80.0	0.0	1.59612078038	0.126531918844	109.733333333	109.733333333	80.0	18.2666666667	1.59612078038	18.2666666667	80.0	0.0	128.0	0.0	128.0
0	0	0.0	80.0	0.0	0.0	0.154251623154	0.00152155464816	EnergyUnawareStrategyPlacement	13913.8186667	0.0	59.4256982513	0.0	13913.8186667	0.0	80.0	0.0	1.09789199648	0.154251623154	110.1	110.1	80.0	33.9	1.09789199648	33.9	80.0	0.0	144.0	0.0	144.0
0	0	0.0	80.0	0.0	0.0	0.180245073636	0.00191430546471	EnergyUnawareStrategyPlacement	14175.0293333	0.0	96.9590625246	0.0	14175.0293333	0.0	80.0	0.0	1.47140905936	0.180245073636	110.7	110.7	80.0	49.3	1.47140905936	49.3	80.0	0.0	160.0	0.0	160.0
0	0	0.0	80.0	0.0	0.0	0.206434472402	0.00185785520258	EnergyUnawareStrategyPlacement	14109.8853333	0.0	84.1675142079	0.0	14109.8853333	0.0	80.0	0.0	1.46742807023	0.206434472402	112.266666667	112.266666667	80.0	63.7333333333	1.46742807023	63.7333333333	80.0	0.0	176.0	0.0	176.0
0	0	0.0	80.0	0.0	0.0	0.231366801262	0.00217517651187	EnergyUnawareStrategyPlacement	14090.664	0.0	112.27379582	0.0	14090.664	0.0	80.0	0.0	1.52526499952	0.231366801262	111.933333333	111.933333333	80.0	80.0666666667	1.52526499952	80.0666666667	80.0	0.0	192.0	0.0	192.0
0	0	0.0	80.0	0.0	0.0	0.258170175552	0.00225838080644	EnergyUnawareStrategyPlacement	14147.92	0.0	109.807819859	0.0	14147.92	0.0	80.0	0.0	1.34716799035	0.258170175552	112.533333333	112.533333333	80.0	95.4666666667	1.34716799035	95.4666666667	80.0	0.0	208.0	0.0	208.0
0	0	0.0	80.0	0.0	0.0	0.286963399251	0.00271758609641	EnergyUnawareStrategyPlacement	13992.608	0.0	118.132447094	0.0	13992.608	0.0	80.0	0.0	2.09079843177	0.286963399251	112.6	112.6	80.0	111.4	2.09079843177	111.4	80.0	0.0	224.0	0.0	224.0
0	0	0.0	80.0	0.0	0.0	0.314615257581	0.0025136947124	EnergyUnawareStrategyPlacement	13820.296	0.0	133.42533054	0.0	13820.296	0.0	80.0	0.0	2.10073974075	0.314615257581	112.933333333	112.933333333	80.0	127.066666667	2.10073974075	127.066666667	80.0	0.0	240.0	0.0	240.0
0	0	0.0	80.0	0.0	0.0	0.343445817629	0.00216385966551	EnergyUnawareStrategyPlacement	13799.5786667	0.0	120.564762411	0.0	13799.5786667	0.0	80.0	0.0	2.07359562327	0.343445817629	113.7	113.7	80.0	142.3	2.07359562327	142.3	80.0	0.0	256.0	0.0	256.0
0	0	0.0	80.0	0.0	0.0	0.369900941849	0.00269143457151	EnergyUnawareStrategyPlacement	13883.0826667	0.0	94.0464706853	0.0	13883.0826667	0.0	80.0	0.0	1.94666618067	0.369900941849	113.166666667	113.166666667	80.0	158.833333333	1.94666618067	158.833333333	80.0	0.0	272.0	0.0	272.0
0	0	0.0	80.0	0.0	0.0	0.396890465418	0.00271043132034	EnergyUnawareStrategyPlacement	13859.1013333	0.0	102.057397084	0.0	13859.1013333	0.0	80.0	0.0	1.64229427901	0.396890465418	113.966666667	113.966666667	80.0	174.033333333	1.64229427901	174.033333333	80.0	0.0	288.0	0.0	288.0
