strategy-95m	strategy-95h	#PM-I-95h	#PM-95m	#PM-95h	#PM-I-95m	T-95m	T-95h	strategy	KW-95m	#PM-S-95h	KW-95h	#PM-S-95m	KW	#PM-S	#PM-U	#PM-I	#VM-P-95h	T	#VM-P-95m	#VM-P	#PM	VM-U	VM-U-95h	VM-U-95m	#PM-U-95m	#VM-95h	#VM	#PM-U-95h	#VM-95m
0	0	0.0	10.0	0.0	0.0	1.09637041092	0.00605573296408	EvolutionaryComputationStrategyPlacement	2072.824	0.0	15.5631894512	0.0	2135.52	0.0	10.0	0.0	0.160632997204	1.13980793953	15.2333333333	15.0	10.0	1.0	0.160632997204	0.766666666667	10.0	0.0	16.0	0.0	16.0
0	0	0.0	10.0	0.0	0.0	1.39222096602	0.00850926820643	EvolutionaryComputationStrategyPlacement	2099.43466667	0.0	30.7603367805	0.0	2293.28	0.0	10.0	0.0	0.324245340961	1.43762397766	22.2666666667	20.0	10.0	12.0	0.324245340961	9.73333333333	10.0	0.0	32.0	0.0	32.0
0	0	0.0	10.0	0.0	0.0	1.64459642569	0.00863359921678	EvolutionaryComputationStrategyPlacement	2172.82933333	0.0	18.365770627	0.0	2282.4	0.0	10.0	0.0	0.229625319594	1.68981814384	27.9666666667	27.0	10.0	21.0	0.229625319594	20.0333333333	10.0	0.0	48.0	0.0	48.0
0	0	0.0	10.0	0.0	0.0	1.96584628423	0.0127231182284	EvolutionaryComputationStrategyPlacement	2135.88266667	0.0	32.8620648875	0.0	2320.48	0.0	10.0	0.0	0.446510848426	2.02739906311	32.5333333333	31.0	10.0	33.0	0.446510848426	31.4666666667	10.0	0.0	64.0	0.0	64.0
0	0	0.0	10.0	0.0	0.0	2.34937113126	0.0134169009175	EvolutionaryComputationStrategyPlacement	2030.84533333	0.0	34.926290354	0.0	2218.48	0.0	10.0	0.0	0.661338175062	2.43415498734	32.9666666667	29.0	10.0	51.0	0.661338175062	47.0333333333	10.0	0.0	80.0	0.0	80.0
0	0	0.0	10.0	0.0	0.0	2.75005235672	0.0284549651519	EvolutionaryComputationStrategyPlacement	1875.12533333	0.0	37.4923451985	0.0	2108.32	0.0	10.0	0.0	1.34359427818	2.94530296326	28.5333333333	22.0	10.0	74.0	1.34359427818	67.4666666667	10.0	0.0	96.0	0.0	96.0
0	0	0.0	10.0	0.0	0.0	3.15710774263	0.0198199770602	EvolutionaryComputationStrategyPlacement	1812.20266667	0.0	48.9012413881	0.0	2058.0	0.0	10.0	0.0	0.795042377146	3.28489589691	23.5333333333	20.0	10.0	92.0	0.795042377146	88.4666666667	10.0	0.0	112.0	0.0	112.0
0	0	0.0	10.0	0.0	0.0	3.53848172029	0.0212638646234	EvolutionaryComputationStrategyPlacement	1789.4	0.0	43.6694582225	0.0	2014.48	0.0	10.0	0.0	0.717144518681	3.72403597832	23.0333333333	20.0	10.0	108.0	0.717144518681	104.966666667	10.0	0.0	128.0	0.0	128.0
0	0	0.0	10.0	0.0	0.0	3.87322291533	0.0192723414527	EvolutionaryComputationStrategyPlacement	1785.184	0.0	48.7501905212	0.0	1995.44	0.0	10.0	0.0	0.522584615179	4.0148370266	22.8	20.0	10.0	124.0	0.522584615179	121.2	10.0	0.0	144.0	0.0	144.0
0	0	0.0	10.0	0.0	0.0	4.19883948962	0.0235417576274	EvolutionaryComputationStrategyPlacement	1848.288	0.0	45.0944316489	0.0	2143.68	0.0	10.0	0.0	0.790189580778	4.34810400009	24.2666666667	21.0	10.0	139.0	0.790189580778	135.733333333	10.0	0.0	160.0	0.0	160.0
0	0	0.0	10.0	0.0	0.0	4.5107202371	0.022320926427	EvolutionaryComputationStrategyPlacement	1824.53333333	0.0	51.830193004	0.0	2087.92	0.0	10.0	0.0	0.574586522516	4.65803599358	24.6666666667	21.0	10.0	155.0	0.574586522516	151.333333333	10.0	0.0	176.0	0.0	176.0
0	0	0.0	10.0	0.0	0.0	4.86250751813	0.0261332951565	EvolutionaryComputationStrategyPlacement	1878.38933333	0.0	46.8636715001	0.0	2082.48	0.0	10.0	0.0	0.731745503823	5.07881498337	25.4333333333	22.0	10.0	170.0	0.731745503823	166.566666667	10.0	0.0	192.0	0.0	192.0
0	0	0.0	10.0	0.0	0.0	5.18790918191	0.0249708142247	EvolutionaryComputationStrategyPlacement	1901.69066667	0.0	55.8645720715	0.0	2119.2	0.0	10.0	0.0	0.525642479867	5.40510606766	25.4666666667	23.0	10.0	185.0	0.525642479867	182.533333333	10.0	0.0	208.0	0.0	208.0
0	0	0.0	10.0	0.0	0.0	5.54430071513	0.0246506021165	EvolutionaryComputationStrategyPlacement	1865.92266667	0.0	45.1272117814	0.0	2105.6	0.0	10.0	0.0	0.642531988816	5.73797798157	25.7333333333	23.0	10.0	201.0	0.642531988816	198.266666667	10.0	0.0	224.0	0.0	224.0
0	0	0.0	10.0	0.0	0.0	5.85183401108	0.0290937979419	EvolutionaryComputationStrategyPlacement	1833.872	0.0	51.5145706281	0.0	2047.12	0.0	10.0	0.0	0.648490681922	6.01943516731	26.4666666667	23.0	10.0	217.0	0.648490681922	213.533333333	10.0	0.0	240.0	0.0	240.0
0	0	0.0	10.0	0.0	0.0	6.19741000334	0.0343481693946	EvolutionaryComputationStrategyPlacement	1843.34666667	0.0	63.7201850082	0.0	2113.76	0.0	10.0	0.0	0.782034671284	6.38508892059	26.4	23.0	10.0	233.0	0.782034671284	229.6	10.0	0.0	256.0	0.0	256.0
0	0	0.0	10.0	0.0	0.0	6.50556674798	0.0327287805323	EvolutionaryComputationStrategyPlacement	1878.84266667	0.0	46.0337092309	0.0	2132.8	0.0	10.0	0.0	0.716585603064	6.78304195404	26.8	24.0	10.0	248.0	0.716585603064	245.2	10.0	0.0	272.0	0.0	272.0
0	0	0.0	10.0	0.0	0.0	6.82981961568	0.0331178797447	EvolutionaryComputationStrategyPlacement	1872.768	0.0	46.1405051707	0.0	2094.72	0.0	10.0	0.0	0.734369039591	7.04968595505	26.8333333333	23.0	10.0	265.0	0.734369039591	261.166666667	10.0	0.0	288.0	0.0	288.0
