#PM	#VM	#PM-U	#PM-S	#PM-I	#VM-P	VM-U	KW	strategy	T
20	16	11	9	0	16	0	2294.52	EvolutionaryComputationStrategyPlacement	1.2685179710388184
20	32	20	0	0	32	0	3990.88	EvolutionaryComputationStrategyPlacement	2.5441038608551025
20	48	20	0	0	39	9	4194.88	EvolutionaryComputationStrategyPlacement	3.0677759647369385
20	64	20	0	0	47	17	4262.88	EvolutionaryComputationStrategyPlacement	3.646605968475342
20	80	20	0	0	54	26	4117.36	EvolutionaryComputationStrategyPlacement	4.325986862182617
20	96	20	0	0	57	39	3985.44	EvolutionaryComputationStrategyPlacement	5.069518089294434
20	112	20	0	0	48	64	4007.2000000000003	EvolutionaryComputationStrategyPlacement	6.0906288623809814
20	128	20	0	0	47	81	3340.7999999999997	EvolutionaryComputationStrategyPlacement	6.717660188674927
20	144	20	0	0	43	101	3455.0399999999995	EvolutionaryComputationStrategyPlacement	7.513297080993652
20	160	20	0	0	46	114	3661.7599999999993	EvolutionaryComputationStrategyPlacement	8.199527978897095
20	176	20	0	0	48	128	3695.7599999999993	EvolutionaryComputationStrategyPlacement	8.74669098854065
20	192	20	0	0	45	147	3688.9599999999996	EvolutionaryComputationStrategyPlacement	9.62075400352478
20	208	20	0	0	49	159	4081.9999999999995	EvolutionaryComputationStrategyPlacement	10.212495803833008
20	224	20	0	0	51	173	3295.92	EvolutionaryComputationStrategyPlacement	10.958746910095215
20	240	20	0	0	51	189	3819.52	EvolutionaryComputationStrategyPlacement	11.608417987823486
20	256	20	0	0	49	207	3960.9599999999996	EvolutionaryComputationStrategyPlacement	12.288690090179443
20	272	20	0	0	50	222	3576.0800000000004	EvolutionaryComputationStrategyPlacement	13.023741006851196
20	288	20	0	0	53	235	3850.8	EvolutionaryComputationStrategyPlacement	13.680171966552734
