strategy-95m	strategy-95h	#PM-I-95h	#PM-95m	#PM-95h	#PM-I-95m	T-95m	T-95h	strategy	KW-95m	#PM-S-95h	KW-95h	#PM-S-95m	KW	#PM-S	#PM-U	#PM-I	#VM-P-95h	T	#VM-P-95m	#VM-P	#PM	VM-U	VM-U-95h	VM-U-95m	#PM-U-95m	#VM-95h	#VM	#PM-U-95h	#VM-95m
0	0	0.0	50.0	0.0	0.0	1.22191710472	0.0217950635587	EvolutionaryComputationStrategyPlacement	2397.28666667	0.188199281748	20.5137217106	39.4333333333	2335.52	40.0	10.0	0.0	0.0	1.12421011925	16.0	16.0	50.0	0.0	0.0	0.0	10.5666666667	0.0	16.0	0.188199281748	16.0
0	0	0.0	50.0	0.0	0.0	2.52837935289	0.0448034215652	EvolutionaryComputationStrategyPlacement	4115.44666667	0.320516830556	34.9363345307	30.2333333333	3922.88	32.0	18.0	0.0	0.0	2.27758312225	32.0	32.0	50.0	0.0	0.0	0.0	19.7666666667	0.0	32.0	0.320516830556	32.0
0	0	0.0	50.0	0.0	0.0	4.18148051898	0.0476889218627	EvolutionaryComputationStrategyPlacement	6251.75333333	0.260985446288	28.4474136454	20.1666666667	6051.92	22.0	28.0	0.0	0.0	3.89118981361	48.0	48.0	50.0	0.0	0.0	0.0	29.8333333333	0.0	48.0	0.260985446288	48.0
0	0	0.0	50.0	0.0	0.0	5.76426849365	0.0704419646997	EvolutionaryComputationStrategyPlacement	7859.04666667	0.388344033004	42.3294995974	12.2333333333	7666.48	14.0	36.0	0.0	0.0	5.43676590919	64.0	64.0	50.0	0.0	0.0	0.0	37.7666666667	0.0	64.0	0.388344033004	64.0
0	0	0.0	50.0	0.0	0.0	7.39724689325	0.0991582968682	EvolutionaryComputationStrategyPlacement	8969.64	0.409045928427	44.5860061985	5.8	8838.84	7.0	43.0	0.0	0.0	7.02328896523	80.0	80.0	50.0	0.0	0.0	0.0	44.2	0.0	80.0	0.409045928427	80.0
0	0	0.0	50.0	0.0	0.0	9.46884843508	0.0756150740842	EvolutionaryComputationStrategyPlacement	9979.784	0.0	57.9612569737	0.0	9601.84	0.0	50.0	0.0	0.56954373488	9.15619802475	91.8666666667	94.0	50.0	2.0	0.56954373488	4.13333333333	50.0	0.0	96.0	0.0	96.0
0	0	0.0	50.0	0.0	0.0	11.4381466309	0.0898935889779	EvolutionaryComputationStrategyPlacement	9805.93066667	0.0	71.3702975191	0.0	9437.28	0.0	50.0	0.0	0.67036422497	10.9051990509	95.5333333333	101.0	50.0	11.0	0.67036422497	16.4666666667	50.0	0.0	112.0	0.0	112.0
0	0	0.0	50.0	0.0	0.0	13.1818261862	0.103434938201	EvolutionaryComputationStrategyPlacement	9579.85333333	0.0	67.6425589964	0.0	9052.4	0.0	50.0	0.0	0.765464260518	12.6638948917	100.733333333	104.0	50.0	24.0	0.765464260518	27.2666666667	50.0	0.0	128.0	0.0	128.0
0	0	0.0	50.0	0.0	0.0	14.8938973586	0.0984813567822	EvolutionaryComputationStrategyPlacement	9540.14133333	0.0	77.0819709849	0.0	9124.48	0.0	50.0	0.0	1.05470947372	14.2972998619	106.233333333	110.0	50.0	34.0	1.05470947372	37.7666666667	50.0	0.0	144.0	0.0	144.0
0	0	0.0	50.0	0.0	0.0	16.6828719457	0.118736262442	EvolutionaryComputationStrategyPlacement	9557.912	0.0	80.1795412008	0.0	9102.72	0.0	50.0	0.0	0.956537159848	15.9759221077	103.7	108.0	50.0	52.0	0.956537159848	56.3	50.0	0.0	160.0	0.0	160.0
