strategy-95m	strategy-95h	#PM-I-95h	#PM-95m	#PM-95h	#PM-I-95m	T-95m	T-95h	strategy	KW-95m	#PM-S-95h	KW-95h	#PM-S-95m	KW	#PM-S	#PM-U	#PM-I	#VM-P-95h	T	#VM-P-95m	#VM-P	#PM	VM-U	VM-U-95h	VM-U-95m	#PM-U-95m	#VM-95h	#VM	#PM-U-95h	#VM-95m
0	0	0.0	90.0	0.0	0.0	1.22623018424	0.0222466138216	EvolutionaryComputationStrategyPlacement	2597.28666667	0.188199281748	20.5137217106	79.4333333333	2597.28666667	79.4333333333	10.5666666667	0.0	0.0	1.22623018424	16.0	16.0	90.0	0.0	0.0	0.0	10.5666666667	0.0	16.0	0.188199281748	16.0
0	0	0.0	90.0	0.0	0.0	2.4879030784	0.0413792306556	EvolutionaryComputationStrategyPlacement	4290.01333333	0.305934354565	33.3468446476	70.4666666667	4290.01333333	70.4666666667	19.5333333333	0.0	0.0	2.4879030784	32.0	32.0	90.0	0.0	0.0	0.0	19.5333333333	0.0	32.0	0.305934354565	32.0
0	0	0.0	90.0	0.0	0.0	4.19583310286	0.0520553772738	EvolutionaryComputationStrategyPlacement	6466.28666667	0.268253251832	29.2396044497	60.0333333333	6466.28666667	60.0333333333	29.9666666667	0.0	0.0	4.19583310286	48.0	48.0	90.0	0.0	0.0	0.0	29.9666666667	0.0	48.0	0.268253251832	48.0
0	0	0.0	90.0	0.0	0.0	5.80697156588	0.0589758354379	EvolutionaryComputationStrategyPlacement	8084.48	0.339694154084	37.0266627952	52.0	8084.48	52.0	38.0	0.0	0.0	5.80697156588	64.0	64.0	90.0	0.0	0.0	0.0	38.0	0.0	64.0	0.339694154084	64.0
0	0	0.0	90.0	0.0	0.0	7.33815327485	0.0847439959441	EvolutionaryComputationStrategyPlacement	9151.47333333	0.410024274546	44.6926459256	45.9666666667	9151.47333333	45.9666666667	44.0333333333	0.0	0.0	7.33815327485	80.0	80.0	90.0	0.0	0.0	0.0	44.0333333333	0.0	80.0	0.410024274546	80.0
0	0	0.0	90.0	0.0	0.0	9.81792795658	0.114547277826	EvolutionaryComputationStrategyPlacement	10978.1066667	0.446510848426	48.6696824784	36.1333333333	10978.1066667	36.1333333333	53.8666666667	0.0	0.0	9.81792795658	96.0	96.0	90.0	0.0	0.0	0.0	53.8666666667	0.0	96.0	0.446510848426	96.0
0	0	0.0	90.0	0.0	0.0	13.5308622917	0.189670411292	EvolutionaryComputationStrategyPlacement	13187.1133333	0.70360801655	76.693273804	22.9666666667	13187.1133333	22.9666666667	67.0333333333	0.0	0.0	13.5308622917	112.0	112.0	90.0	0.0	0.0	0.0	67.0333333333	0.0	112.0	0.70360801655	112.0
0	0	0.0	90.0	0.0	0.0	16.709466656	0.210669559027	EvolutionaryComputationStrategyPlacement	14914.5066667	0.720155167385	78.4969132449	12.9333333333	14914.5066667	12.9333333333	77.0666666667	0.0	0.0	16.709466656	128.0	128.0	90.0	0.0	0.0	0.0	77.0666666667	0.0	128.0	0.720155167385	128.0
0	0	0.0	90.0	0.0	0.0	19.8283254862	0.208738325716	EvolutionaryComputationStrategyPlacement	16393.0466667	0.768911138919	83.8113141421	5.03333333333	16393.0466667	5.03333333333	84.9666666667	0.0	0.0	19.8283254862	144.0	144.0	90.0	0.0	0.0	0.0	84.9666666667	0.0	144.0	0.768911138919	144.0
0	0	0.0	90.0	0.0	0.0	23.2716484308	0.17164734629	EvolutionaryComputationStrategyPlacement	17434.2266667	0.0	70.5188151328	0.0	17434.2266667	0.0	90.0	0.0	0.89919194969	23.2716484308	153.166666667	153.166666667	90.0	6.83333333333	0.89919194969	6.83333333333	90.0	0.0	160.0	0.0	160.0
