#PM	#VM	#PM-U	#PM-S	#PM-I	#VM-P	VM-U	KW	strategy	T
60	16	11	49	0	16	0	2494.5200000000004	OpenOptStrategyPlacement	0.1164710521697998
60	32	19	41	0	32	0	4081.8799999999997	OpenOptStrategyPlacement	0.17638802528381348
60	48	30	30	0	48	0	6319.920000000001	OpenOptStrategyPlacement	0.3672928810119629
60	64	37	23	0	64	0	7825.4800000000005	OpenOptStrategyPlacement	0.5437960624694824
60	80	41	19	0	80	0	8670.84	OpenOptStrategyPlacement	0.7111761569976807
60	96	51	9	0	96	0	10515.64	OpenOptStrategyPlacement	0.9867191314697266
60	112	60	0	0	110	2	12120.879999999997	OpenOptStrategyPlacement	1.3958640098571777
60	128	60	0	0	120	8	12305.84	OpenOptStrategyPlacement	1.7442259788513184
60	144	60	0	0	127	17	12346.639999999996	OpenOptStrategyPlacement	2.116741180419922
60	160	60	0	0	136	24	12501.679999999997	OpenOptStrategyPlacement	2.4123430252075195
60	176	60	0	0	144	32	13082.399999999994	OpenOptStrategyPlacement	2.796403169631958
60	192	60	0	0	150	42	12156.240000000002	OpenOptStrategyPlacement	3.279865026473999
60	208	60	0	0	157	51	12787.279999999992	OpenOptStrategyPlacement	3.7968409061431885
60	224	60	0	0	166	58	12478.560000000001	OpenOptStrategyPlacement	4.207596063613892
60	240	60	0	0	176	64	13109.600000000008	OpenOptStrategyPlacement	4.580812931060791
60	256	60	0	0	182	74	12924.640000000005	OpenOptStrategyPlacement	5.209600925445557
60	272	60	0	0	192	80	13430.560000000001	OpenOptStrategyPlacement	5.594425916671753
60	288	60	0	0	196	92	13372.080000000002	OpenOptStrategyPlacement	6.1419291496276855
