strategy-95m	strategy-95h	#PM-I-95h	#PM-95m	#PM-95h	#PM-I-95m	T-95m	T-95h	strategy	KW-95m	#PM-S-95h	KW-95h	#PM-S-95m	KW	#PM-S	#PM-U	#PM-I	#VM-P-95h	T	#VM-P-95m	#VM-P	#PM	VM-U	VM-U-95h	VM-U-95m	#PM-U-95m	#VM-95h	#VM	#PM-U-95h	#VM-95m
0	0	0.0	60.0	0.0	0.0	0.116790231069	0.00049196119904	OpenOptStrategyPlacement	2494.52	0.0	6.9083327625e-13	49.0	2494.52	49.0	11.0	0.0	0.0	0.11345911026	16.0	16.0	60.0	0.0	0.0	0.0	11.0	0.0	16.0	0.0	16.0
0	0	0.0	60.0	0.0	0.0	0.175216476123	0.000780251437756	OpenOptStrategyPlacement	4081.88	0.0	6.9083327625e-13	41.0	4081.88	41.0	19.0	0.0	0.0	0.171369075775	32.0	32.0	60.0	0.0	0.0	0.0	19.0	0.0	32.0	0.0	32.0
0	0	0.0	60.0	0.0	0.0	0.364406442642	0.00187651059039	OpenOptStrategyPlacement	6319.92	0.0	6.9083327625e-13	30.0	6319.92	30.0	30.0	0.0	0.0	0.355857849121	48.0	48.0	60.0	0.0	0.0	0.0	30.0	0.0	48.0	0.0	48.0
0	0	0.0	60.0	0.0	0.0	0.538521162669	0.00287767119751	OpenOptStrategyPlacement	7825.48	0.0	1.3816665525e-12	23.0	7825.48	23.0	37.0	0.0	0.0	0.524477005005	64.0	64.0	60.0	0.0	0.0	0.0	37.0	0.0	64.0	0.0	64.0
0	0	0.0	60.0	0.0	0.0	0.708847204844	0.0047999505854	OpenOptStrategyPlacement	8670.84	0.0	6.9083327625e-13	19.0	8670.84	19.0	41.0	0.0	0.0	0.687536001205	80.0	80.0	60.0	0.0	0.0	0.0	41.0	0.0	80.0	0.0	80.0
0	0	0.0	60.0	0.0	0.0	0.988628339767	0.00651608385656	OpenOptStrategyPlacement	10515.64	0.0	3.45416638125e-12	9.0	10515.64	9.0	51.0	0.0	0.0	0.967196941376	96.0	96.0	60.0	0.0	0.0	0.0	51.0	0.0	96.0	0.0	96.0
0	0	0.0	60.0	0.0	0.0	1.4070792834	0.010043770717	OpenOptStrategyPlacement	12120.88	0.0	2.07249982875e-12	0.0	12120.88	0.0	60.0	0.0	0.0	1.36824297905	110.0	110.0	60.0	2.0	0.0	2.0	60.0	0.0	112.0	0.0	112.0
0	0	0.0	60.0	0.0	0.0	1.68452933629	0.0132601305928	OpenOptStrategyPlacement	12305.84	0.0	2.07249982875e-12	0.0	12305.84	0.0	60.0	0.0	0.0	1.62706208229	120.0	120.0	60.0	8.0	0.0	8.0	60.0	0.0	128.0	0.0	128.0
0	0	0.0	60.0	0.0	0.0	2.06626361211	0.0167301459484	OpenOptStrategyPlacement	12346.64	0.0	6.9083327625e-13	0.0	12346.64	0.0	60.0	0.0	0.0	1.99587202072	127.0	127.0	60.0	17.0	0.0	17.0	60.0	0.0	144.0	0.0	144.0
0	0	0.0	60.0	0.0	0.0	2.3561237812	0.0167231846002	OpenOptStrategyPlacement	12501.68	0.0	6.9083327625e-13	0.0	12501.68	0.0	60.0	0.0	0.0	2.26130819321	136.0	136.0	60.0	24.0	0.0	24.0	60.0	0.0	160.0	0.0	160.0
0	0	0.0	60.0	0.0	0.0	2.75701680183	0.0227531097666	OpenOptStrategyPlacement	13082.4	0.0	3.45416638125e-12	0.0	13082.4	0.0	60.0	0.0	0.0	2.6308028698	144.0	144.0	60.0	32.0	0.0	32.0	60.0	0.0	176.0	0.0	176.0
0	0	0.0	60.0	0.0	0.0	3.18862927755	0.0320873336547	OpenOptStrategyPlacement	12156.24	0.0	2.07249982875e-12	0.0	12156.24	0.0	60.0	0.0	0.0	3.00811910629	150.0	150.0	60.0	42.0	0.0	42.0	60.0	0.0	192.0	0.0	192.0
0	0	0.0	60.0	0.0	0.0	3.69840757847	0.0322376347497	OpenOptStrategyPlacement	12787.28	0.0	1.3816665525e-12	0.0	12787.28	0.0	60.0	0.0	0.0	3.47124409676	157.0	157.0	60.0	51.0	0.0	51.0	60.0	0.0	208.0	0.0	208.0
0	0	0.0	60.0	0.0	0.0	4.14052425226	0.0189970908387	OpenOptStrategyPlacement	12478.56	0.0	6.9083327625e-13	0.0	12478.56	0.0	60.0	0.0	0.0	4.04562401772	166.0	166.0	60.0	58.0	0.0	58.0	60.0	0.0	224.0	0.0	224.0
0	0	0.0	60.0	0.0	0.0	4.47755227089	0.0221840925594	OpenOptStrategyPlacement	13109.6	0.0	3.45416638125e-12	0.0	13109.6	0.0	60.0	0.0	0.0	4.3669989109	176.0	176.0	60.0	64.0	0.0	64.0	60.0	0.0	240.0	0.0	240.0
0	0	0.0	60.0	0.0	0.0	5.13235009511	0.0194780442354	OpenOptStrategyPlacement	12924.64	0.0	2.07249982875e-12	0.0	12924.64	0.0	60.0	0.0	0.0	5.02767109871	182.0	182.0	60.0	74.0	0.0	74.0	60.0	0.0	256.0	0.0	256.0
0	0	0.0	60.0	0.0	0.0	5.52697930336	0.0209354465211	OpenOptStrategyPlacement	13430.56	0.0	6.9083327625e-13	0.0	13430.56	0.0	60.0	0.0	0.0	5.44705891609	192.0	192.0	60.0	80.0	0.0	80.0	60.0	0.0	272.0	0.0	272.0
0	0	0.0	60.0	0.0	0.0	6.05928266843	0.0220616491879	OpenOptStrategyPlacement	13372.08	0.0	3.45416638125e-12	0.0	13372.08	0.0	60.0	0.0	0.0	5.95173978806	196.0	196.0	60.0	92.0	0.0	92.0	60.0	0.0	288.0	0.0	288.0
