#PM	#VM	#PM-U	#PM-S	#PM-I	#VM-P	VM-U	KW	strategy	T
30	16	11	0	19	16	0	4494.400000000001	EnergyUnawareStrategyPlacement	0.003020048141479492
30	32	23	0	7	32	0	4703.839999999999	EnergyUnawareStrategyPlacement	0.011196136474609375
30	48	30	0	0	43	5	4928.24	EnergyUnawareStrategyPlacement	0.019500017166137695
30	64	30	0	0	46	18	5156.72	EnergyUnawareStrategyPlacement	0.029523849487304688
30	80	30	0	0	43	37	5066.959999999999	EnergyUnawareStrategyPlacement	0.0502779483795166
30	96	30	0	0	45	51	5095.519999999999	EnergyUnawareStrategyPlacement	0.04996609687805176
30	112	30	0	0	49	63	5266.879999999999	EnergyUnawareStrategyPlacement	0.05900382995605469
30	128	30	0	0	48	80	5303.599999999999	EnergyUnawareStrategyPlacement	0.06941604614257812
30	144	30	0	0	52	92	5600.08	EnergyUnawareStrategyPlacement	0.07917499542236328
30	160	30	0	0	47	113	5325.360000000001	EnergyUnawareStrategyPlacement	0.09210205078125
30	176	30	0	0	47	129	5668.079999999999	EnergyUnawareStrategyPlacement	0.10114312171936035
30	192	30	0	0	48	144	5771.439999999999	EnergyUnawareStrategyPlacement	0.10985994338989258
30	208	30	0	0	52	156	5829.92	EnergyUnawareStrategyPlacement	0.11902904510498047
30	224	30	0	0	50	174	5598.72	EnergyUnawareStrategyPlacement	0.13169002532958984
30	240	30	0	0	50	190	5651.76	EnergyUnawareStrategyPlacement	0.14135313034057617
30	256	30	0	0	48	208	5704.8	EnergyUnawareStrategyPlacement	0.1531691551208496
30	272	30	0	0	46	226	5495.36	EnergyUnawareStrategyPlacement	0.16911578178405762
30	288	30	0	0	49	239	5605.5199999999995	EnergyUnawareStrategyPlacement	0.17369508743286133
