strategy-95m	strategy-95h	#PM-I-95h	#PM-95m	#PM-95h	#PM-I-95m	T-95m	T-95h	strategy	KW-95m	#PM-S-95h	KW-95h	#PM-S-95m	KW	#PM-S	#PM-U	#PM-I	#VM-P-95h	T	#VM-P-95m	#VM-P	#PM	VM-U	VM-U-95h	VM-U-95m	#PM-U-95m	#VM-95h	#VM	#PM-U-95h	#VM-95m
0	0	0.317502498727	50.0	0.0	39.0333333333	0.00345342954	0.000151428002444	EnergyUnawareStrategyPlacement	7183.08	0.0	6.47705097403	0.0	7183.08	0.0	10.9666666667	39.0333333333	0.0	0.00345342954	16.0	16.0	50.0	0.0	0.0	0.0	10.9666666667	0.0	16.0	0.317502498727	16.0
0	0	0.445072806532	50.0	0.0	27.6	0.00999562740326	0.000261492781729	EnergyUnawareStrategyPlacement	7404.08	0.0	9.07948525325	0.0	7404.08	0.0	22.4	27.6	0.0	0.00999562740326	32.0	32.0	50.0	0.0	0.0	0.0	22.4	0.0	32.0	0.445072806532	32.0
0	0	0.503370499541	50.0	0.0	17.1	0.0199733257294	0.000583474651548	EnergyUnawareStrategyPlacement	7735.24	0.0	10.2687581906	0.0	7735.24	0.0	32.9	17.1	0.0	0.0199733257294	48.0	48.0	50.0	0.0	0.0	0.0	32.9	0.0	48.0	0.503370499541	48.0
0	0	0.778851690201	50.0	0.0	5.83333333333	0.0342072645823	0.00117802842592	EnergyUnawareStrategyPlacement	8199.0	0.0	15.8885744801	0.0	8199.0	0.0	44.1666666667	5.83333333333	0.0	0.0342072645823	64.0	64.0	50.0	0.0	0.0	0.0	44.1666666667	0.0	64.0	0.778851690201	64.0
0	0	0.0	50.0	0.0	0.0	0.0495160500209	0.000855945311296	EnergyUnawareStrategyPlacement	8388.448	0.0	47.3474302782	0.0	8388.448	0.0	50.0	0.0	1.15480747345	0.0495160500209	74.5666666667	74.5666666667	50.0	5.43333333333	1.15480747345	5.43333333333	50.0	0.0	80.0	0.0	80.0
0	0	0.0	50.0	0.0	0.0	0.0672049045563	0.00122745177956	EnergyUnawareStrategyPlacement	8526.80533333	0.0	41.0004300961	0.0	8526.80533333	0.0	50.0	0.0	1.08015856691	0.0672049045563	75.3333333333	75.3333333333	50.0	20.6666666667	1.08015856691	20.6666666667	50.0	0.0	96.0	0.0	96.0
0	0	0.0	50.0	0.0	0.0	0.082926774025	0.00113778098002	EnergyUnawareStrategyPlacement	8710.67733333	0.0	52.4029448465	0.0	8710.67733333	0.0	50.0	0.0	1.32539983951	0.082926774025	78.5666666667	78.5666666667	50.0	33.4333333333	1.32539983951	33.4333333333	50.0	0.0	112.0	0.0	112.0
0	0	0.0	50.0	0.0	0.0	0.0998462756475	0.00131533511223	EnergyUnawareStrategyPlacement	8852.57066667	0.0	52.3098654712	0.0	8852.57066667	0.0	50.0	0.0	0.963797983224	0.0998462756475	78.6	78.6	50.0	49.4	0.963797983224	49.4	50.0	0.0	128.0	0.0	128.0
0	0	0.0	50.0	0.0	0.0	0.116236424446	0.00112547165505	EnergyUnawareStrategyPlacement	8987.12	0.0	64.2048416862	0.0	8987.12	0.0	50.0	0.0	1.19893002599	0.116236424446	79.3666666667	79.3666666667	50.0	64.6333333333	1.19893002599	64.6333333333	50.0	0.0	144.0	0.0	144.0
0	0	0.0	50.0	0.0	0.0	0.131916046143	0.00138577666985	EnergyUnawareStrategyPlacement	9131.46133333	0.0	83.4307394221	0.0	9131.46133333	0.0	50.0	0.0	1.56432549123	0.131916046143	79.9666666667	79.9666666667	50.0	80.0333333333	1.56432549123	80.0333333333	50.0	0.0	160.0	0.0	160.0
