strategy-95m	strategy-95h	#PM-I-95h	#PM-95m	#PM-95h	#PM-I-95m	T-95m	T-95h	strategy	KW-95m	#PM-S-95h	KW-95h	#PM-S-95m	KW	#PM-S	#PM-U	#PM-I	#VM-P-95h	T	#VM-P-95m	#VM-P	#PM	VM-U	VM-U-95h	VM-U-95m	#PM-U-95m	#VM-95h	#VM	#PM-U-95h	#VM-95m
0	0	0.0	40.0	0.0	0.0	1.15315396786	0.0193825309901	EvolutionaryComputationStrategyPlacement	1969.53333333	0.167949284773	18.3064720402	30.0666666667	2085.8	29.0	11.0	0.0	0.0	1.26567983627	16.0	16.0	40.0	0.0	0.0	0.0	9.93333333333	0.0	16.0	0.167949284773	16.0
0	0	0.0	40.0	0.0	0.0	2.61525421143	0.028902901183	EvolutionaryComputationStrategyPlacement	3510.14	0.204522964213	22.2930030992	20.1	3630.04	19.0	21.0	0.0	0.0	2.7607460022	32.0	32.0	40.0	0.0	0.0	0.0	19.9	0.0	32.0	0.204522964213	32.0
0	0	0.0	40.0	0.0	0.0	4.18211565018	0.059866814369	EvolutionaryComputationStrategyPlacement	5007.43333333	0.385859930542	42.058732429	11.3666666667	5265.4	9.0	31.0	0.0	0.0	4.51141285896	48.0	48.0	40.0	0.0	0.0	0.0	28.6333333333	0.0	48.0	0.385859930542	48.0
0	0	0.0	40.0	0.0	0.0	6.18139216105	0.0686321705114	EvolutionaryComputationStrategyPlacement	6732.12933333	0.299849449208	32.0102875958	1.9	6940.0	0.0	40.0	0.0	0.0681743214044	6.64054393768	63.9666666667	63.0	40.0	1.0	0.0681743214044	0.0333333333333	38.1	0.0	64.0	0.299849449208	64.0
0	0	0.0	40.0	0.0	0.0	7.60617818038	0.0567928256442	EvolutionaryComputationStrategyPlacement	7197.22133333	0.0	26.2616475425	0.0	7314.0	0.0	40.0	0.0	0.522584615179	7.90811491013	72.8	70.0	40.0	10.0	0.522584615179	7.2	40.0	0.0	80.0	0.0	80.0
0	0	0.0	40.0	0.0	0.0	8.99435473283	0.0464459880861	EvolutionaryComputationStrategyPlacement	7641.76	0.0	24.763235681	0.0	7753.28	0.0	40.0	0.0	0.375759335359	9.22945404053	81.2333333333	80.0	40.0	16.0	0.375759335359	14.7666666667	40.0	0.0	96.0	0.0	96.0
0	0	0.0	40.0	0.0	0.0	10.3822237968	0.0622514694788	EvolutionaryComputationStrategyPlacement	7766.69866667	0.0	29.0829060206	0.0	7940.96	0.0	40.0	0.0	0.446510848426	10.818967104	83.5333333333	82.0	40.0	30.0	0.446510848426	28.4666666667	40.0	0.0	112.0	0.0	112.0
0	0	0.0	40.0	0.0	0.0	11.7777067502	0.0793207549764	EvolutionaryComputationStrategyPlacement	7933.888	0.0	35.7877149911	0.0	8142.24	0.0	40.0	0.0	0.6540276538	12.2764830589	83.9666666667	80.0	40.0	48.0	0.6540276538	44.0333333333	40.0	0.0	128.0	0.0	128.0
0	0	0.0	40.0	0.0	0.0	13.1712838491	0.0730399456049	EvolutionaryComputationStrategyPlacement	7991.28	0.0	47.2051479833	0.0	8320.4	0.0	40.0	0.0	0.550221813232	13.6679298878	83.0333333333	81.0	40.0	63.0	0.550221813232	60.9666666667	40.0	0.0	144.0	0.0	144.0
0	0	0.0	40.0	0.0	0.0	14.5903450489	0.0686044749575	EvolutionaryComputationStrategyPlacement	8071.29333333	0.0	39.4467120127	0.0	8310.88	0.0	40.0	0.0	0.399531930732	14.9722430706	82.4	80.0	40.0	80.0	0.399531930732	77.6	40.0	0.0	160.0	0.0	160.0
0	0	0.0	40.0	0.0	0.0	15.9116043488	0.0813942603579	EvolutionaryComputationStrategyPlacement	8230.776	0.0	44.7110011314	0.0	8479.52	0.0	40.0	0.0	0.497445461394	16.4554798603	82.8666666667	80.0	40.0	96.0	0.497445461394	93.1333333333	40.0	0.0	176.0	0.0	176.0
0	0	0.0	40.0	0.0	0.0	17.2333563964	0.118802874263	EvolutionaryComputationStrategyPlacement	8322.75733333	0.0	44.6410506767	0.0	8554.32	0.0	40.0	0.0	0.494213162959	17.9002358913	83.8	81.0	40.0	111.0	0.494213162959	108.2	40.0	0.0	192.0	0.0	192.0
0	0	0.0	40.0	0.0	0.0	18.5796516498	0.0894318405787	EvolutionaryComputationStrategyPlacement	8398.192	0.0	48.9763742338	0.0	8615.52	0.0	40.0	0.0	0.591627212779	19.2281739712	84.2	81.0	40.0	127.0	0.591627212779	123.8	40.0	0.0	208.0	0.0	208.0
0	0	0.0	40.0	0.0	0.0	19.9153850158	0.089082948904	EvolutionaryComputationStrategyPlacement	8439.03733333	0.0	54.942232584	0.0	8814.08	0.0	40.0	0.0	0.560609717707	20.524091959	85.5666666667	82.0	40.0	142.0	0.560609717707	138.433333333	40.0	0.0	224.0	0.0	224.0
0	0	0.0	40.0	0.0	0.0	21.2265438557	0.124357411007	EvolutionaryComputationStrategyPlacement	8426.29866667	0.0	49.8838911356	0.0	8650.88	0.0	40.0	0.0	0.860949530093	22.1498641968	85.8333333333	80.0	40.0	160.0	0.860949530093	154.166666667	40.0	0.0	240.0	0.0	240.0
0	0	0.0	40.0	0.0	0.0	22.462078023	0.11622691884	EvolutionaryComputationStrategyPlacement	8418.456	0.0	53.406360215	0.0	8671.28	0.0	40.0	0.0	0.706676337082	23.2170760632	87.0666666667	83.0	40.0	173.0	0.706676337082	168.933333333	40.0	0.0	256.0	0.0	256.0
0	0	0.0	40.0	0.0	0.0	23.8570513805	0.160581471453	EvolutionaryComputationStrategyPlacement	8366.73066667	0.0	48.5868966329	0.0	8706.64	0.0	40.0	0.0	0.805058423071	24.9160220623	86.8	83.0	40.0	189.0	0.805058423071	185.2	40.0	0.0	272.0	0.0	272.0
0	0	0.0	40.0	0.0	0.0	25.2232039611	0.122926737524	EvolutionaryComputationStrategyPlacement	8342.704	0.0	42.9849201989	0.0	8540.72	0.0	40.0	0.0	0.823266924085	25.9211699963	87.9666666667	83.0	40.0	205.0	0.823266924085	200.033333333	40.0	0.0	288.0	0.0	288.0
