#PM	#VM	#PM-U	#PM-S	#PM-I	#VM-P	VM-U	KW	strategy	T
60	16	11	49	0	16	0	2185.8	EvolutionaryComputationStrategyPlacement	1.2467350959777832
60	32	21	39	0	32	0	3730.0400000000004	EvolutionaryComputationStrategyPlacement	2.737151861190796
60	48	28	32	0	48	0	5038.400000000001	EvolutionaryComputationStrategyPlacement	4.096593856811523
60	64	37	23	0	64	0	6713.000000000001	EvolutionaryComputationStrategyPlacement	5.9354331493377686
60	80	47	13	0	80	0	8308.92	EvolutionaryComputationStrategyPlacement	8.383163928985596
60	96	54	6	0	96	0	9781.839999999998	EvolutionaryComputationStrategyPlacement	10.517940998077393
60	112	60	0	0	108	4	10934.96	EvolutionaryComputationStrategyPlacement	13.07349419593811
60	128	60	0	0	120	8	11621.76	EvolutionaryComputationStrategyPlacement	14.836216926574707
60	144	60	0	0	124	20	12146.719999999998	EvolutionaryComputationStrategyPlacement	17.0764479637146
60	160	60	0	0	127	33	12415.999999999998	EvolutionaryComputationStrategyPlacement	18.86710810661316
60	176	60	0	0	124	52	12271.840000000006	EvolutionaryComputationStrategyPlacement	21.178221940994263
60	192	60	0	0	125	67	12526.159999999998	EvolutionaryComputationStrategyPlacement	22.97664213180542
60	208	60	0	0	128	80	12628.160000000002	EvolutionaryComputationStrategyPlacement	25.159394025802612
60	224	60	0	0	125	99	12647.2	EvolutionaryComputationStrategyPlacement	27.124966144561768
60	240	60	0	0	127	113	12734.24	EvolutionaryComputationStrategyPlacement	29.069052934646606
60	256	60	0	0	124	132	12477.199999999999	EvolutionaryComputationStrategyPlacement	31.07838201522827
60	272	60	0	0	127	145	12588.719999999998	EvolutionaryComputationStrategyPlacement	33.00992202758789
60	288	60	0	0	130	158	12670.320000000002	EvolutionaryComputationStrategyPlacement	34.87609505653381
