strategy-95m	strategy-95h	#PM-I-95h	#PM-95m	#PM-95h	#PM-I-95m	T-95m	T-95h	strategy	KW-95m	#PM-S-95h	KW-95h	#PM-S-95m	KW	#PM-S	#PM-U	#PM-I	#VM-P-95h	T	#VM-P-95m	#VM-P	#PM	VM-U	VM-U-95h	VM-U-95m	#PM-U-95m	#VM-95h	#VM	#PM-U-95h	#VM-95m
0	0	0.0	80.0	0.0	0.0	1.17314008872	0.0265711035377	EvolutionaryComputationStrategyPlacement	2173.16666667	0.229625319594	25.0291598357	70.0333333333	2067.8	71.0	9.0	0.0	0.0	1.03595209122	16.0	16.0	80.0	0.0	0.0	0.0	9.96666666667	0.0	16.0	0.229625319594	16.0
0	0	0.0	80.0	0.0	0.0	2.62969899178	0.0440368667323	EvolutionaryComputationStrategyPlacement	3684.70666667	0.315222834228	34.3592889309	60.3333333333	3503.04	62.0	18.0	0.0	0.0	2.37531900406	32.0	32.0	80.0	0.0	0.0	0.0	19.6666666667	0.0	32.0	0.315222834228	32.0
0	0	0.0	80.0	0.0	0.0	4.27150877317	0.0556497246243	EvolutionaryComputationStrategyPlacement	5232.86666667	0.376398563497	41.0274434212	51.1333333333	4920.4	54.0	26.0	0.0	0.0	3.93732905388	48.0	48.0	80.0	0.0	0.0	0.0	28.8666666667	0.0	48.0	0.376398563497	48.0
0	0	0.0	80.0	0.0	0.0	6.23652667999	0.0789865352566	EvolutionaryComputationStrategyPlacement	6940.16666667	0.481233384952	52.4544389598	41.8333333333	6704.0	44.0	36.0	0.0	0.0	5.82772803307	64.0	64.0	80.0	0.0	0.0	0.0	38.1666666667	0.0	64.0	0.481233384952	64.0
0	0	0.0	80.0	0.0	0.0	8.54850116571	0.0849714279396	EvolutionaryComputationStrategyPlacement	8499.75333333	0.519662977546	56.6432645525	32.1666666667	8299.92	34.0	46.0	0.0	0.0	8.13942694664	80.0	80.0	80.0	0.0	0.0	0.0	47.8333333333	0.0	80.0	0.519662977546	80.0
0	0	0.0	80.0	0.0	0.0	10.7776886861	0.106337752436	EvolutionaryComputationStrategyPlacement	9969.04	0.558174452533	60.8410153261	25.2	9663.84	28.0	52.0	0.0	0.0	10.3201360703	96.0	96.0	80.0	0.0	0.0	0.0	54.8	0.0	96.0	0.558174452533	96.0
0	0	0.0	80.0	0.0	0.0	13.2391479333	0.0991199933586	EvolutionaryComputationStrategyPlacement	11370.2666667	0.534711161751	58.2835166309	18.5333333333	10992.4	22.0	58.0	0.0	0.0	12.6735889912	112.0	112.0	80.0	0.0	0.0	0.0	61.4666666667	0.0	112.0	0.534711161751	112.0
0	0	0.0	80.0	0.0	0.0	15.9961486022	0.102572361907	EvolutionaryComputationStrategyPlacement	12984.5866667	0.459250639187	50.0583196714	11.7333333333	12628.52	15.0	65.0	0.0	0.0	15.4903299809	128.0	128.0	80.0	0.0	0.0	0.0	68.2666666667	0.0	128.0	0.459250639187	128.0
0	0	0.0	80.0	0.0	0.0	19.3042384307	0.150371792196	EvolutionaryComputationStrategyPlacement	14754.7933333	0.514081709766	56.0349063645	2.96666666667	14424.16	6.0	74.0	0.0	0.0	18.4231920242	144.0	144.0	80.0	0.0	0.0	0.0	77.0333333333	0.0	144.0	0.514081709766	144.0
0	0	0.0	80.0	0.0	0.0	22.1850425482	0.129992431599	EvolutionaryComputationStrategyPlacement	15830.1946667	0.0	35.1104036216	0.0	15600.4	0.0	80.0	0.0	0.682213219763	21.6067039967	154.8	157.0	80.0	3.0	0.682213219763	5.2	80.0	0.0	160.0	0.0	160.0
