strategy-95m	strategy-95h	#PM-I-95h	#PM-95m	#PM-95h	#PM-I-95m	T-95m	T-95h	strategy	KW-95m	#PM-S-95h	KW-95h	#PM-S-95m	KW	#PM-S	#PM-U	#PM-I	#VM-P-95h	T	#VM-P-95m	#VM-P	#PM	VM-U	VM-U-95h	VM-U-95m	#PM-U-95m	#VM-95h	#VM	#PM-U-95h	#VM-95m
0	0	0.0	40.0	0.0	0.0	0.117455569903	0.00300369281815	OpenOptStrategyPlacement	1976.8	0.0	3.45416638125e-13	30.0	1976.8	30.0	10.0	0.0	0.0	0.151911973953	16.0	16.0	40.0	0.0	0.0	0.0	10.0	0.0	16.0	0.0	16.0
0	0	0.0	40.0	0.0	0.0	0.209047492345	0.00347811648789	OpenOptStrategyPlacement	3521.04	0.0	5.18124957187e-13	20.0	3521.04	20.0	20.0	0.0	0.0	0.249559879303	32.0	32.0	40.0	0.0	0.0	0.0	20.0	0.0	32.0	0.0	32.0
0	0	0.0	40.0	0.0	0.0	0.403584853808	0.00384905028926	OpenOptStrategyPlacement	5156.4	0.0	1.03624991437e-12	10.0	5156.4	10.0	30.0	0.0	0.0	0.442805051804	48.0	48.0	40.0	0.0	0.0	0.0	30.0	0.0	48.0	0.0	48.0
0	0	0.0	40.0	0.0	0.0	0.654454652468	0.0047434567604	OpenOptStrategyPlacement	6940.0	0.0	3.45416638125e-13	0.0	6940.0	0.0	40.0	0.0	0.0	0.690088033676	64.0	64.0	40.0	0.0	0.0	0.0	40.0	0.0	64.0	0.0	64.0
0	0	0.0	40.0	0.0	0.0	0.933327396711	0.00729033228454	OpenOptStrategyPlacement	6984.88	0.0	1.3816665525e-12	0.0	6984.88	0.0	40.0	0.0	0.0	0.974056005478	69.0	69.0	40.0	11.0	0.0	11.0	40.0	0.0	80.0	0.0	80.0
0	0	0.0	40.0	0.0	0.0	1.19107890924	0.011257179422	OpenOptStrategyPlacement	7503.04	0.0	2.07249982875e-12	0.0	7503.04	0.0	40.0	0.0	0.0	1.27340698242	79.0	79.0	40.0	17.0	0.0	17.0	40.0	0.0	96.0	0.0	96.0
0	0	0.0	40.0	0.0	0.0	1.45897454421	0.0144301316111	OpenOptStrategyPlacement	8014.4	0.0	1.03624991437e-12	0.0	8014.4	0.0	40.0	0.0	0.0	1.53765511513	92.0	92.0	40.0	20.0	0.0	20.0	40.0	0.0	112.0	0.0	112.0
0	0	0.0	40.0	0.0	0.0	1.75769270261	0.0153544986168	OpenOptStrategyPlacement	8305.44	0.0	0.0	0.0	8305.44	0.0	40.0	0.0	0.0	1.83254790306	93.0	93.0	40.0	35.0	0.0	35.0	40.0	0.0	128.0	0.0	128.0
0	0	0.0	40.0	0.0	0.0	2.0706558307	0.0206261644572	OpenOptStrategyPlacement	8641.36	0.0	2.07249982875e-12	0.0	8641.36	0.0	40.0	0.0	0.0	2.14379096031	96.0	96.0	40.0	48.0	0.0	48.0	40.0	0.0	144.0	0.0	144.0
0	0	0.0	40.0	0.0	0.0	2.44938344955	0.0190722590193	OpenOptStrategyPlacement	8588.32	0.0	2.07249982875e-12	0.0	8588.32	0.0	40.0	0.0	0.0	2.52788710594	98.0	98.0	40.0	62.0	0.0	62.0	40.0	0.0	160.0	0.0	160.0
0	0	0.0	40.0	0.0	0.0	2.81255266666	0.0242890825287	OpenOptStrategyPlacement	8895.68	0.0	2.07249982875e-12	0.0	8895.68	0.0	40.0	0.0	0.0	2.92850399017	101.0	101.0	40.0	75.0	0.0	75.0	40.0	0.0	176.0	0.0	176.0
0	0	0.0	40.0	0.0	0.0	3.15820403099	0.0301476708178	OpenOptStrategyPlacement	8796.4	0.0	2.07249982875e-12	0.0	8796.4	0.0	40.0	0.0	0.0	3.28206801414	104.0	104.0	40.0	88.0	0.0	88.0	40.0	0.0	192.0	0.0	192.0
0	0	0.0	40.0	0.0	0.0	3.54200828075	0.0328113117747	OpenOptStrategyPlacement	8926.96	0.0	1.3816665525e-12	0.0	8926.96	0.0	40.0	0.0	0.0	3.69101309776	106.0	106.0	40.0	102.0	0.0	102.0	40.0	0.0	208.0	0.0	208.0
0	0	0.0	40.0	0.0	0.0	3.94992059072	0.0181254460479	OpenOptStrategyPlacement	9005.84	0.0	6.9083327625e-13	0.0	9005.84	0.0	40.0	0.0	0.0	4.05287384987	109.0	109.0	40.0	115.0	0.0	115.0	40.0	0.0	224.0	0.0	224.0
0	0	0.0	40.0	0.0	0.0	4.53384441535	0.0168968959552	OpenOptStrategyPlacement	8944.64	0.0	2.763333105e-12	0.0	8944.64	0.0	40.0	0.0	0.0	4.64306998253	110.0	110.0	40.0	130.0	0.0	130.0	40.0	0.0	240.0	0.0	240.0
0	0	0.0	40.0	0.0	0.0	4.73650286992	0.0159227306937	OpenOptStrategyPlacement	8954.16	0.0	1.3816665525e-12	0.0	8954.16	0.0	40.0	0.0	0.0	4.8342871666	115.0	115.0	40.0	141.0	0.0	141.0	40.0	0.0	256.0	0.0	256.0
0	0	0.0	40.0	0.0	0.0	5.11181996663	0.0182574749458	OpenOptStrategyPlacement	9169.04	0.0	1.3816665525e-12	0.0	9169.04	0.0	40.0	0.0	0.0	5.20666408539	119.0	119.0	40.0	153.0	0.0	153.0	40.0	0.0	272.0	0.0	272.0
0	0	0.0	40.0	0.0	0.0	5.4499740839	0.0172671136303	OpenOptStrategyPlacement	9234.32	0.0	1.3816665525e-12	0.0	9234.32	0.0	40.0	0.0	0.0	5.53351902962	121.0	121.0	40.0	167.0	0.0	167.0	40.0	0.0	288.0	0.0	288.0
