strategy-95m	strategy-95h	#PM-I-95h	#PM-95m	#PM-95h	#PM-I-95m	T-95m	T-95h	strategy	KW-95m	#PM-S-95h	KW-95h	#PM-S-95m	KW	#PM-S	#PM-U	#PM-I	#VM-P-95h	T	#VM-P-95m	#VM-P	#PM	VM-U	VM-U-95h	VM-U-95m	#PM-U-95m	#VM-95h	#VM	#PM-U-95h	#VM-95m
0	0	0.0	70.0	0.0	0.0	0.119076251984	0.00147791531657	OpenOptStrategyPlacement	2126.8	0.0	3.45416638125e-13	60.0	2126.8	60.0	10.0	0.0	0.0	0.119076251984	16.0	16.0	70.0	0.0	0.0	0.0	10.0	0.0	16.0	0.0	16.0
0	0	0.0	70.0	0.0	0.0	0.206451487541	0.00183044053752	OpenOptStrategyPlacement	3671.04	0.0	6.9083327625e-13	50.0	3671.04	50.0	20.0	0.0	0.0	0.206451487541	32.0	32.0	70.0	0.0	0.0	0.0	20.0	0.0	32.0	0.0	32.0
0	0	0.0	70.0	0.0	0.0	0.405254753431	0.0027930254537	OpenOptStrategyPlacement	5306.4	0.0	1.03624991437e-12	40.0	5306.4	40.0	30.0	0.0	0.0	0.405254753431	48.0	48.0	70.0	0.0	0.0	0.0	30.0	0.0	48.0	0.0	48.0
0	0	0.0	70.0	0.0	0.0	0.658992354075	0.00543881552099	OpenOptStrategyPlacement	7090.0	0.0	3.45416638125e-13	30.0	7090.0	30.0	40.0	0.0	0.0	0.658992354075	64.0	64.0	70.0	0.0	0.0	0.0	40.0	0.0	64.0	0.0	64.0
0	0	0.0	70.0	0.0	0.0	1.02612328529	0.00801061871406	OpenOptStrategyPlacement	8794.92	0.0	2.07249982875e-12	19.0	8794.92	19.0	51.0	0.0	0.0	1.02612328529	80.0	80.0	70.0	0.0	0.0	0.0	51.0	0.0	80.0	0.0	80.0
0	0	0.0	70.0	0.0	0.0	1.3405226469	0.0125382233317	OpenOptStrategyPlacement	10158.84	0.0	0.0	13.0	10158.84	13.0	57.0	0.0	0.0	1.3405226469	96.0	96.0	70.0	0.0	0.0	0.0	57.0	0.0	96.0	0.0	96.0
0	0	0.0	70.0	0.0	0.0	1.60278418064	0.014259609066	OpenOptStrategyPlacement	10942.4	0.0	6.9083327625e-13	12.0	10942.4	12.0	58.0	0.0	0.0	1.60278418064	112.0	112.0	70.0	0.0	0.0	0.0	58.0	0.0	112.0	0.0	112.0
0	0	0.0	70.0	0.0	0.0	2.13546895186	0.0185171415777	OpenOptStrategyPlacement	12796.52	0.0	1.3816665525e-12	3.0	12796.52	3.0	67.0	0.0	0.0	2.13546895186	128.0	128.0	70.0	0.0	0.0	0.0	67.0	0.0	128.0	0.0	128.0
0	0	0.0	70.0	0.0	0.0	2.58855992158	0.0222337154584	OpenOptStrategyPlacement	13772.24	0.0	2.763333105e-12	0.0	13772.24	0.0	70.0	0.0	0.0	2.58855992158	140.0	140.0	70.0	4.0	0.0	4.0	70.0	0.0	144.0	0.0	144.0
0	0	0.0	70.0	0.0	0.0	3.15447260539	0.0266960938837	OpenOptStrategyPlacement	14301.28	0.0	3.45416638125e-12	0.0	14301.28	0.0	70.0	0.0	0.0	3.15447260539	147.0	147.0	70.0	13.0	0.0	13.0	70.0	0.0	160.0	0.0	160.0
0	0	0.0	70.0	0.0	0.0	3.72996126811	0.0390346283963	OpenOptStrategyPlacement	14990.8	0.0	3.45416638125e-12	0.0	14990.8	0.0	70.0	0.0	0.0	3.72996126811	155.0	155.0	70.0	21.0	0.0	21.0	70.0	0.0	176.0	0.0	176.0
0	0	0.0	70.0	0.0	0.0	4.31893424988	0.0251638233645	OpenOptStrategyPlacement	15377.04	0.0	2.763333105e-12	0.0	15377.04	0.0	70.0	0.0	0.0	4.31893424988	163.0	163.0	70.0	29.0	0.0	29.0	70.0	0.0	192.0	0.0	192.0
0	0	0.0	70.0	0.0	0.0	4.98413861593	0.0160485999572	OpenOptStrategyPlacement	15288.64	0.0	3.45416638125e-12	0.0	15288.64	0.0	70.0	0.0	0.0	4.98413861593	166.0	166.0	70.0	42.0	0.0	42.0	70.0	0.0	208.0	0.0	208.0
0	0	0.0	70.0	0.0	0.0	5.65697876612	0.0184687893965	OpenOptStrategyPlacement	15436.88	0.0	0.0	0.0	15436.88	0.0	70.0	0.0	0.0	5.65697876612	169.0	169.0	70.0	55.0	0.0	55.0	70.0	0.0	224.0	0.0	224.0
0	0	0.0	70.0	0.0	0.0	6.48154683908	0.0199073316293	OpenOptStrategyPlacement	15402.88	0.0	2.07249982875e-12	0.0	15402.88	0.0	70.0	0.0	0.0	6.48154683908	170.0	170.0	70.0	70.0	0.0	70.0	70.0	0.0	240.0	0.0	240.0
0	0	0.0	70.0	0.0	0.0	6.79465901852	0.0214496655766	OpenOptStrategyPlacement	15299.52	0.0	2.763333105e-12	0.0	15299.52	0.0	70.0	0.0	0.0	6.79465901852	175.0	175.0	70.0	81.0	0.0	81.0	70.0	0.0	256.0	0.0	256.0
0	0	0.0	70.0	0.0	0.0	7.43610964616	0.0186502476438	OpenOptStrategyPlacement	15632.72	0.0	4.1449996575e-12	0.0	15632.72	0.0	70.0	0.0	0.0	7.43610964616	179.0	179.0	70.0	93.0	0.0	93.0	70.0	0.0	272.0	0.0	272.0
0	0	0.0	70.0	0.0	0.0	8.03076468309	0.0233080474922	OpenOptStrategyPlacement	15680.32	0.0	2.07249982875e-12	0.0	15680.32	0.0	70.0	0.0	0.0	8.03076468309	181.0	181.0	70.0	107.0	0.0	107.0	70.0	0.0	288.0	0.0	288.0
