#PM	#VM	#PM-U	#PM-S	#PM-I	#VM-P	VM-U	KW	strategy	T
90	16	13	0	77	16	0	12542.07999999998	EnergyUnawareStrategyPlacement	0.003759145736694336
90	32	25	0	65	32	0	12940.559999999978	EnergyUnawareStrategyPlacement	0.011355876922607422
90	48	38	0	52	48	0	13409.75999999998	EnergyUnawareStrategyPlacement	0.022948026657104492
90	64	50	0	40	64	0	13804.159999999985	EnergyUnawareStrategyPlacement	0.03687286376953125
90	80	61	0	29	80	0	14440.639999999987	EnergyUnawareStrategyPlacement	0.05389690399169922
90	96	76	0	14	96	0	14871.759999999995	EnergyUnawareStrategyPlacement	0.08139610290527344
90	112	79	0	11	112	0	15538.159999999998	EnergyUnawareStrategyPlacement	0.09313082695007324
90	128	90	0	0	117	11	15395.360000000004	EnergyUnawareStrategyPlacement	0.13699793815612793
90	144	90	0	0	119	25	15631.999999999998	EnergyUnawareStrategyPlacement	0.16231012344360352
90	160	90	0	0	125	35	15725.840000000004	EnergyUnawareStrategyPlacement	0.19504284858703613
90	176	90	0	0	121	55	15816.960000000005	EnergyUnawareStrategyPlacement	0.22557497024536133
90	192	90	0	0	120	72	15555.840000000002	EnergyUnawareStrategyPlacement	0.2541921138763428
90	208	90	0	0	118	90	15642.880000000003	EnergyUnawareStrategyPlacement	0.2861599922180176
90	224	90	0	0	129	95	15848.239999999996	EnergyUnawareStrategyPlacement	0.3062551021575928
90	240	90	0	0	128	112	15604.800000000003	EnergyUnawareStrategyPlacement	0.3346750736236572
90	256	90	0	0	132	124	15721.760000000004	EnergyUnawareStrategyPlacement	0.36781811714172363
90	272	90	0	0	120	152	16010.080000000005	EnergyUnawareStrategyPlacement	0.40720486640930176
90	288	90	0	0	127	161	15589.839999999998	EnergyUnawareStrategyPlacement	0.43639683723449707
