#PM	#VM	#PM-U	#PM-S	#PM-I	#VM-P	VM-U	KW	strategy	T
80	16	11	69	0	16	0	2310.2799999999997	EvolutionaryComputationStrategyPlacement	1.269261121749878
80	32	17	63	0	32	0	3607.56	EvolutionaryComputationStrategyPlacement	2.1581599712371826
80	48	28	52	0	48	0	5540.96	EvolutionaryComputationStrategyPlacement	3.9100708961486816
80	64	38	42	0	64	0	7270.160000000001	EvolutionaryComputationStrategyPlacement	5.841471195220947
80	80	44	36	0	80	0	8785.039999999999	EvolutionaryComputationStrategyPlacement	7.384718894958496
80	96	55	25	0	96	0	10721.160000000003	EvolutionaryComputationStrategyPlacement	10.10472297668457
80	112	63	17	0	112	0	12320.760000000004	EvolutionaryComputationStrategyPlacement	12.994252920150757
80	128	75	5	0	128	0	14476.040000000006	EvolutionaryComputationStrategyPlacement	16.495866060256958
80	144	80	0	0	137	7	15318.880000000003	EvolutionaryComputationStrategyPlacement	19.76568603515625
80	160	80	0	0	146	14	15735.040000000005	EvolutionaryComputationStrategyPlacement	21.865193843841553
80	176	80	0	0	150	26	15211.439999999999	EvolutionaryComputationStrategyPlacement	24.499932050704956
80	192	80	0	0	154	38	15044.159999999998	EvolutionaryComputationStrategyPlacement	27.191319942474365
80	208	80	0	0	157	51	15159.760000000002	EvolutionaryComputationStrategyPlacement	29.695894956588745
80	224	80	0	0	162	62	15352.880000000005	EvolutionaryComputationStrategyPlacement	31.751594066619873
80	240	80	0	0	153	87	15282.160000000003	EvolutionaryComputationStrategyPlacement	35.09496307373047
80	256	80	0	0	172	84	15540.560000000003	EvolutionaryComputationStrategyPlacement	36.05679798126221
80	272	80	0	0	168	104	15509.280000000002	EvolutionaryComputationStrategyPlacement	39.97641587257385
80	288	80	0	0	177	111	15653.440000000004	EvolutionaryComputationStrategyPlacement	41.93190121650696
