#PM	#VM	#PM-U	#PM-S	#PM-I	#VM-P	VM-U	KW	strategy	T
100	16	11	89	0	16	0	2410.2799999999997	OpenOptStrategyPlacement	0.11671805381774902
100	32	19	81	0	32	0	3925.56	OpenOptStrategyPlacement	0.17224788665771484
100	48	27	73	0	48	0	5531.96	OpenOptStrategyPlacement	0.3323988914489746
100	64	37	63	0	64	0	7261.16	OpenOptStrategyPlacement	0.5602390766143799
100	80	43	57	0	80	0	8776.04	OpenOptStrategyPlacement	0.7805728912353516
100	96	52	48	0	96	0	10494.160000000002	OpenOptStrategyPlacement	1.0816729068756104
100	112	59	41	0	112	0	11984.760000000002	OpenOptStrategyPlacement	1.3888990879058838
100	128	66	34	0	128	0	13595.040000000003	OpenOptStrategyPlacement	1.7571239471435547
100	144	73	27	0	144	0	15223.000000000002	OpenOptStrategyPlacement	2.1099770069122314
100	160	84	16	0	160	0	17163.200000000004	OpenOptStrategyPlacement	2.6816229820251465
100	176	90	10	0	176	0	18812.72000000001	OpenOptStrategyPlacement	3.250001907348633
100	192	97	3	0	192	0	20084.36	OpenOptStrategyPlacement	3.8027679920196533
100	208	100	0	0	197	11	19995.200000000004	OpenOptStrategyPlacement	4.639862060546875
100	224	100	0	0	211	13	20843.84	OpenOptStrategyPlacement	5.109699964523315
100	240	100	0	0	219	21	21185.20000000001	OpenOptStrategyPlacement	5.6574859619140625
100	256	100	0	0	226	30	20813.92000000001	OpenOptStrategyPlacement	6.278213024139404
100	272	100	0	0	233	39	21250.480000000003	OpenOptStrategyPlacement	6.935788154602051
100	288	100	0	0	241	47	21642.159999999996	OpenOptStrategyPlacement	7.548411846160889
