#PM	#VM	#PM-U	#PM-S	#PM-I	#VM-P	VM-U	KW	strategy	T
40	16	14	0	26	16	0	6449.0399999999945	EnergyUnawareStrategyPlacement	0.003802061080932617
40	32	30	0	10	32	0	7036.559999999998	EnergyUnawareStrategyPlacement	0.01219487190246582
40	48	40	0	0	47	1	7503.040000000001	EnergyUnawareStrategyPlacement	0.023472070693969727
40	64	40	0	0	46	18	7425.52	EnergyUnawareStrategyPlacement	0.037899017333984375
40	80	40	0	0	49	31	7594.160000000002	EnergyUnawareStrategyPlacement	0.050997018814086914
40	96	40	0	0	46	50	7681.200000000001	EnergyUnawareStrategyPlacement	0.06520891189575195
40	112	40	0	0	50	62	7292.24	EnergyUnawareStrategyPlacement	0.07776093482971191
40	128	40	0	0	54	74	7362.960000000001	EnergyUnawareStrategyPlacement	0.08849596977233887
40	144	40	0	0	46	98	7074.6399999999985	EnergyUnawareStrategyPlacement	0.1040341854095459
40	160	40	0	0	48	112	7618.640000000002	EnergyUnawareStrategyPlacement	0.11841487884521484
40	176	40	0	0	51	125	7213.3600000000015	EnergyUnawareStrategyPlacement	0.13079595565795898
40	192	40	0	0	48	144	7239.200000000001	EnergyUnawareStrategyPlacement	0.145982027053833
40	208	40	0	0	53	155	7633.600000000002	EnergyUnawareStrategyPlacement	0.1560969352722168
40	224	40	0	0	49	175	6823.040000000002	EnergyUnawareStrategyPlacement	0.17007184028625488
40	240	40	0	0	48	192	8279.600000000002	EnergyUnawareStrategyPlacement	0.18447089195251465
40	256	40	0	0	51	205	6926.400000000002	EnergyUnawareStrategyPlacement	0.1999220848083496
40	272	40	0	0	44	228	7617.28	EnergyUnawareStrategyPlacement	0.21375393867492676
40	288	40	0	0	48	240	7328.960000000001	EnergyUnawareStrategyPlacement	0.2254350185394287
