#PM	#VM	#PM-U	#PM-S	#PM-I	#VM-P	VM-U	KW	strategy	T
70	16	13	57	0	16	0	3125.64	EvolutionaryComputationStrategyPlacement	1.516469955444336
70	32	25	45	0	32	0	5347.5599999999995	EvolutionaryComputationStrategyPlacement	3.283705949783325
70	48	33	37	0	48	0	7021.96	EvolutionaryComputationStrategyPlacement	4.722923040390015
70	64	44	26	0	64	0	9223.280000000002	EvolutionaryComputationStrategyPlacement	6.884298086166382
70	80	54	16	0	80	0	11141.520000000002	EvolutionaryComputationStrategyPlacement	9.165450096130371
70	96	66	4	0	96	0	13170.320000000002	EvolutionaryComputationStrategyPlacement	12.418191909790039
70	112	70	0	0	103	9	13751.840000000002	EvolutionaryComputationStrategyPlacement	15.315809965133667
70	128	70	0	0	108	20	13738.240000000002	EvolutionaryComputationStrategyPlacement	17.675069093704224
70	144	70	0	0	113	31	13829.360000000002	EvolutionaryComputationStrategyPlacement	19.8424289226532
70	160	70	0	0	118	42	14340.720000000003	EvolutionaryComputationStrategyPlacement	21.534993171691895
70	176	70	0	0	109	67	13887.84	EvolutionaryComputationStrategyPlacement	24.429497003555298
70	192	70	0	0	118	74	13951.759999999997	EvolutionaryComputationStrategyPlacement	25.976250886917114
70	208	70	0	0	119	89	14237.359999999999	EvolutionaryComputationStrategyPlacement	28.43522000312805
70	224	70	0	0	122	102	13844.320000000007	EvolutionaryComputationStrategyPlacement	30.43925905227661
70	240	70	0	0	124	116	13840.240000000003	EvolutionaryComputationStrategyPlacement	32.90021109580994
70	256	70	0	0	131	125	14261.840000000002	EvolutionaryComputationStrategyPlacement	34.49019908905029
70	272	70	0	0	130	142	14657.600000000002	EvolutionaryComputationStrategyPlacement	36.969722032547
70	288	70	0	0	131	157	14486.239999999994	EvolutionaryComputationStrategyPlacement	39.34674406051636
