#PM	#VM	#PM-U	#PM-S	#PM-I	#VM-P	VM-U	KW	strategy	T
70	16	11	0	59	16	0	9644.639999999987	EnergyUnawareStrategyPlacement	0.003217935562133789
70	32	21	0	49	32	0	9920.719999999985	EnergyUnawareStrategyPlacement	0.008774995803833008
70	48	29	0	41	48	0	10247.119999999986	EnergyUnawareStrategyPlacement	0.017721891403198242
70	64	35	0	35	64	0	10281.119999999988	EnergyUnawareStrategyPlacement	0.025871992111206055
70	80	42	0	28	80	0	10678.23999999999	EnergyUnawareStrategyPlacement	0.03904414176940918
70	96	55	0	15	96	0	11008.719999999992	EnergyUnawareStrategyPlacement	0.052603960037231445
70	112	62	0	8	112	0	11690.079999999994	EnergyUnawareStrategyPlacement	0.0686960220336914
70	128	70	0	0	127	1	11929.439999999995	EnergyUnawareStrategyPlacement	0.08668398857116699
70	144	70	0	0	123	21	11743.119999999994	EnergyUnawareStrategyPlacement	0.12527894973754883
70	160	70	0	0	122	38	11718.640000000001	EnergyUnawareStrategyPlacement	0.1492021083831787
70	176	70	0	0	134	42	12235.439999999995	EnergyUnawareStrategyPlacement	0.16327500343322754
70	192	70	0	0	129	63	10698.639999999996	EnergyUnawareStrategyPlacement	0.18567490577697754
70	208	70	0	0	138	70	11808.399999999996	EnergyUnawareStrategyPlacement	0.2032790184020996
70	224	70	0	0	146	78	11861.439999999995	EnergyUnawareStrategyPlacement	0.2204580307006836
70	240	70	0	0	145	95	12376.879999999996	EnergyUnawareStrategyPlacement	0.25144505500793457
70	256	70	0	0	134	122	12186.48	EnergyUnawareStrategyPlacement	0.2775859832763672
70	272	70	0	0	152	120	12338.800000000001	EnergyUnawareStrategyPlacement	0.29190611839294434
70	288	70	0	0	138	150	11773.039999999995	EnergyUnawareStrategyPlacement	0.33060693740844727
