strategy-95m	strategy-95h	#PM-I-95h	#PM-95m	#PM-95h	#PM-I-95m	T-95m	T-95h	strategy	KW-95m	#PM-S-95h	KW-95h	#PM-S-95m	KW	#PM-S	#PM-U	#PM-I	#VM-P-95h	T	#VM-P-95m	#VM-P	#PM	VM-U	VM-U-95h	VM-U-95m	#PM-U-95m	#VM-95h	#VM	#PM-U-95h	#VM-95m
0	0	0.0	10.0	0.0	0.0	0.87188522021	0.0227274995096	EvolutionaryComputationStrategyPlacement	1401.20666667	0.221091346403	24.098956758	1.83333333333	1492.04	1.0	9.0	0.0	0.0	0.963159799576	16.0	16.0	10.0	0.0	0.0	0.0	8.16666666667	0.0	16.0	0.221091346403	16.0
0	0	0.0	10.0	0.0	0.0	1.29201898575	0.00655286721149	EvolutionaryComputationStrategyPlacement	1785.184	0.0	45.6962713355	0.0	1962.8	0.0	10.0	0.0	0.293092172217	1.32767105103	25.2666666667	24.0	10.0	8.0	0.293092172217	6.73333333333	10.0	0.0	32.0	0.0	32.0
0	0	0.0	10.0	0.0	0.0	1.45620171229	0.00739338308125	EvolutionaryComputationStrategyPlacement	2081.48266667	0.0	36.4686917085	0.0	2223.92	0.0	10.0	0.0	0.309061533153	1.49302387238	37.7333333333	36.0	10.0	12.0	0.309061533153	10.2666666667	10.0	0.0	48.0	0.0	48.0
0	0	0.0	10.0	0.0	0.0	1.70606923103	0.0081054450475	EvolutionaryComputationStrategyPlacement	1992.312	0.0	35.4816958666	0.0	2149.12	0.0	10.0	0.0	0.29554259066	1.75133800507	44.8333333333	44.0	10.0	20.0	0.29554259066	19.1666666667	10.0	0.0	64.0	0.0	64.0
0	0	0.0	10.0	0.0	0.0	2.05980906487	0.0158697518321	EvolutionaryComputationStrategyPlacement	1950.10666667	0.0	42.8576499324	0.0	2142.32	0.0	10.0	0.0	0.381683834315	2.14604282379	49.3	47.0	10.0	33.0	0.381683834315	30.7	10.0	0.0	80.0	0.0	80.0
0	0	0.0	10.0	0.0	0.0	2.40037377675	0.0195371875087	EvolutionaryComputationStrategyPlacement	1990.45333333	0.0	38.0247611997	0.0	2161.36	0.0	10.0	0.0	0.528834208512	2.52773404121	54.1666666667	52.0	10.0	44.0	0.528834208512	41.8333333333	10.0	0.0	96.0	0.0	96.0
0	0	0.0	10.0	0.0	0.0	2.87107525667	0.0301700124256	EvolutionaryComputationStrategyPlacement	1954.368	0.0	49.8904273362	0.0	2180.4	0.0	10.0	0.0	1.24322697773	3.09198594093	49.5333333333	40.0	10.0	72.0	1.24322697773	62.4666666667	10.0	0.0	112.0	0.0	112.0
0	0	0.0	10.0	0.0	0.0	3.27716942628	0.0439701678555	EvolutionaryComputationStrategyPlacement	1872.17866667	0.0	58.2777029194	0.0	2255.2	0.0	10.0	0.0	2.28505872002	3.58942508698	46.0	37.0	10.0	91.0	2.28505872002	82.0	10.0	0.0	128.0	0.0	128.0
0	0	0.0	10.0	0.0	0.0	3.76530220509	0.0304273363741	EvolutionaryComputationStrategyPlacement	1730.784	0.0	62.885091661	0.0	2104.24	0.0	10.0	0.0	1.72510718067	3.93633794785	36.6333333333	29.0	10.0	115.0	1.72510718067	107.366666667	10.0	0.0	144.0	0.0	144.0
0	0	0.0	10.0	0.0	0.0	4.15834437211	0.029069588853	EvolutionaryComputationStrategyPlacement	1771.94666667	0.0	58.0820299383	0.0	2202.16	0.0	10.0	0.0	1.16640693085	4.45437598228	33.0333333333	28.0	10.0	132.0	1.16640693085	126.966666667	10.0	0.0	160.0	0.0	160.0
