#PM	#VM	#PM-U	#PM-S	#PM-I	#VM-P	VM-U	KW	strategy	T
20	16	8	12	0	16	0	1433.04	EvolutionaryComputationStrategyPlacement	0.8432798385620117
20	32	17	3	0	32	0	2894.1199999999994	EvolutionaryComputationStrategyPlacement	2.0306220054626465
20	48	20	0	0	47	1	3708.0	EvolutionaryComputationStrategyPlacement	2.597356081008911
20	64	20	0	0	59	5	3623.6799999999994	EvolutionaryComputationStrategyPlacement	2.9667348861694336
20	80	20	0	0	65	15	4035.7599999999998	EvolutionaryComputationStrategyPlacement	3.499034881591797
20	96	20	0	0	76	20	3902.48	EvolutionaryComputationStrategyPlacement	4.0891828536987305
20	112	20	0	0	77	35	3808.64	EvolutionaryComputationStrategyPlacement	4.964914083480835
20	128	20	0	0	83	45	4109.2	EvolutionaryComputationStrategyPlacement	5.54984188079834
20	144	20	0	0	70	74	3531.2	EvolutionaryComputationStrategyPlacement	6.811218023300171
20	160	20	0	0	60	100	3314.9599999999996	EvolutionaryComputationStrategyPlacement	7.498719930648804
20	176	20	0	0	64	112	3668.56	EvolutionaryComputationStrategyPlacement	8.175376176834106
20	192	20	0	0	63	129	3709.36	EvolutionaryComputationStrategyPlacement	8.913743019104004
20	208	20	0	0	64	144	3425.1200000000003	EvolutionaryComputationStrategyPlacement	9.522767066955566
20	224	20	0	0	69	155	3471.3599999999997	EvolutionaryComputationStrategyPlacement	10.05285096168518
20	240	20	0	0	68	172	3397.9200000000005	EvolutionaryComputationStrategyPlacement	10.71498703956604
20	256	20	0	0	67	189	3756.96	EvolutionaryComputationStrategyPlacement	11.41857099533081
20	272	20	0	0	76	196	3574.7199999999993	EvolutionaryComputationStrategyPlacement	11.904345989227295
20	288	20	0	0	70	218	3697.12	EvolutionaryComputationStrategyPlacement	12.680619955062866
