strategy-95m	strategy-95h	#PM-I-95h	#PM-95m	#PM-95h	#PM-I-95m	T-95m	T-95h	strategy	KW-95m	#PM-S-95h	KW-95h	#PM-S-95m	KW	#PM-S	#PM-U	#PM-I	#VM-P-95h	T	#VM-P-95m	#VM-P	#PM	VM-U	VM-U-95h	VM-U-95m	#PM-U-95m	#VM-95h	#VM	#PM-U-95h	#VM-95m
0	0	0.0	50.0	0.0	0.0	0.937263504664	0.0293210210992	EvolutionaryComputationStrategyPlacement	1586.67333333	0.268253251832	29.2396044497	41.9666666667	1586.67333333	41.9666666667	8.03333333333	0.0	0.0	0.937263504664	16.0	16.0	50.0	0.0	0.0	0.0	8.03333333333	0.0	16.0	0.268253251832	16.0
0	0	0.0	50.0	0.0	0.0	2.11475184759	0.0400761724705	EvolutionaryComputationStrategyPlacement	3018.68666667	0.288961968	31.4968545119	33.2333333333	3018.68666667	33.2333333333	16.7666666667	0.0	0.0	2.11475184759	32.0	32.0	50.0	0.0	0.0	0.0	16.7666666667	0.0	32.0	0.288961968	32.0
0	0	0.0	50.0	0.0	0.0	2.69443350633	0.0440161862523	EvolutionaryComputationStrategyPlacement	3878.88666667	0.29554259066	32.214142382	29.8333333333	3878.88666667	29.8333333333	20.1666666667	0.0	0.0	2.69443350633	48.0	48.0	50.0	0.0	0.0	0.0	20.1666666667	0.0	48.0	0.29554259066	48.0
0	0	0.0	50.0	0.0	0.0	3.75875248909	0.0551283244196	EvolutionaryComputationStrategyPlacement	4674.75333333	0.373191473828	40.6778706472	23.9666666667	4674.75333333	23.9666666667	26.0333333333	0.0	0.0	3.75875248909	64.0	64.0	50.0	0.0	0.0	0.0	26.0333333333	0.0	64.0	0.373191473828	64.0
0	0	0.0	50.0	0.0	0.0	5.31327849229	0.0591948631338	EvolutionaryComputationStrategyPlacement	6097.57333333	0.363400424797	39.6106463029	15.8666666667	6097.57333333	15.8666666667	34.1333333333	0.0	0.0	5.31327849229	80.0	80.0	50.0	0.0	0.0	0.0	34.1333333333	0.0	80.0	0.363400424797	80.0
0	0	0.0	50.0	0.0	0.0	6.60562477112	0.0865226170109	EvolutionaryComputationStrategyPlacement	7245.52	0.464110569651	50.588052092	10.8	7245.52	10.8	39.2	0.0	0.0	6.60562477112	96.0	96.0	50.0	0.0	0.0	0.0	39.2	0.0	96.0	0.464110569651	96.0
0	0	0.0	50.0	0.0	0.0	8.33381774426	0.100239126928	EvolutionaryComputationStrategyPlacement	8716.41333333	0.467551021261	50.9630613174	4.86666666667	8716.41333333	4.86666666667	45.1333333333	0.0	0.0	8.33381774426	112.0	112.0	50.0	0.0	0.0	0.0	45.1333333333	0.0	112.0	0.467551021261	112.0
0	0	0.0	50.0	0.0	0.0	10.1896584988	0.113520821808	EvolutionaryComputationStrategyPlacement	9537.272	0.0947361733231	47.37211333	0.0666666666667	9537.272	0.0666666666667	49.9333333333	0.0	0.660368114877	10.1896584988	125.9	125.9	50.0	2.1	0.660368114877	2.1	49.9333333333	0.0	128.0	0.0947361733231	128.0
0	0	0.0	50.0	0.0	0.0	11.9017146667	0.120564610618	EvolutionaryComputationStrategyPlacement	9650.61866667	0.0	61.5207892018	0.0	9650.61866667	0.0	50.0	0.0	0.70360801655	11.9017146667	135.033333333	135.033333333	50.0	8.96666666667	0.70360801655	8.96666666667	50.0	0.0	144.0	0.0	144.0
0	0	0.0	50.0	0.0	0.0	13.9561980565	0.142439572028	EvolutionaryComputationStrategyPlacement	9640.78133333	0.0	91.5274123068	0.0	9640.78133333	0.0	50.0	0.0	0.801067032974	13.9561980565	140.866666667	140.866666667	50.0	19.1333333333	0.801067032974	19.1333333333	50.0	0.0	160.0	0.0	160.0
0	0	0.0	50.0	0.0	0.0	16.0286806901	0.145791645659	EvolutionaryComputationStrategyPlacement	9540.27733333	0.0	74.0507416812	0.0	9540.27733333	0.0	50.0	0.0	1.30345259807	16.0286806901	142.766666667	142.766666667	50.0	33.2333333333	1.30345259807	33.2333333333	50.0	0.0	176.0	0.0	176.0
0	0	0.0	50.0	0.0	0.0	17.602194651	0.123931643423	EvolutionaryComputationStrategyPlacement	9144.2	0.0	98.531276598	0.0	9144.2	0.0	50.0	0.0	1.32419009132	17.602194651	146.1	146.1	50.0	45.9	1.32419009132	45.9	50.0	0.0	192.0	0.0	192.0
