strategy-95m	strategy-95h	#PM-I-95h	#PM-95m	#PM-95h	#PM-I-95m	T-95m	T-95h	strategy	KW-95m	#PM-S-95h	KW-95h	#PM-S-95m	KW	#PM-S	#PM-U	#PM-I	#VM-P-95h	T	#VM-P-95m	#VM-P	#PM	VM-U	VM-U-95h	VM-U-95m	#PM-U-95m	#VM-95h	#VM	#PM-U-95h	#VM-95m
0	0	0.0	70.0	0.0	0.0	0.901019438108	0.0287777242141	EvolutionaryComputationStrategyPlacement	1657.60666667	0.23377551063	25.4815306587	62.2333333333	1574.04	63.0	7.0	0.0	0.0	0.793507099152	16.0	16.0	70.0	0.0	0.0	0.0	7.76666666667	0.0	16.0	0.23377551063	16.0
0	0	0.0	70.0	0.0	0.0	2.1151192824	0.0498188120069	EvolutionaryComputationStrategyPlacement	3096.88666667	0.400533516487	43.6581532971	53.4333333333	2926.12	55.0	15.0	0.0	0.0	1.90049004555	32.0	32.0	70.0	0.0	0.0	0.0	16.5666666667	0.0	32.0	0.400533516487	32.0
0	0	0.0	70.0	0.0	0.0	2.70931379795	0.0497112405292	EvolutionaryComputationStrategyPlacement	3964.35333333	0.373191473828	40.6778706472	49.9666666667	3742.72	52.0	18.0	0.0	0.0	2.38740801811	48.0	48.0	70.0	0.0	0.0	0.0	20.0333333333	0.0	48.0	0.373191473828	48.0
0	0	0.0	70.0	0.0	0.0	3.80023392042	0.048431853688	EvolutionaryComputationStrategyPlacement	4785.65333333	0.335898569546	36.6129440805	43.8666666667	4553.12	46.0	24.0	0.0	0.0	3.46759605408	64.0	64.0	70.0	0.0	0.0	0.0	26.1333333333	0.0	64.0	0.335898569546	64.0
0	0	0.0	70.0	0.0	0.0	5.4005080541	0.0842243053665	EvolutionaryComputationStrategyPlacement	6219.37333333	0.442182692807	48.197913516	35.6666666667	5965.04	38.0	32.0	0.0	0.0	5.04406714439	80.0	80.0	70.0	0.0	0.0	0.0	34.3333333333	0.0	80.0	0.442182692807	80.0
0	0	0.0	70.0	0.0	0.0	6.61368992329	0.0902473984983	EvolutionaryComputationStrategyPlacement	7320.08666667	0.464973069131	50.6820645352	31.0333333333	6996.72	34.0	36.0	0.0	0.0	6.28522491455	96.0	96.0	70.0	0.0	0.0	0.0	38.9666666667	0.0	96.0	0.464973069131	96.0
0	0	0.0	70.0	0.0	0.0	8.43423235416	0.089224142844	EvolutionaryComputationStrategyPlacement	8841.84666667	0.432841686344	47.1797438115	24.6333333333	8583.88	27.0	43.0	0.0	0.0	7.92893695831	112.0	112.0	70.0	0.0	0.0	0.0	45.3666666667	0.0	112.0	0.432841686344	112.0
0	0	0.0	70.0	0.0	0.0	10.6500267665	0.120432340423	EvolutionaryComputationStrategyPlacement	10063.7133333	0.5378490773	58.6255494257	17.1666666667	9754.88	20.0	50.0	0.0	0.0	9.99416399002	128.0	128.0	70.0	0.0	0.0	0.0	52.8333333333	0.0	128.0	0.5378490773	128.0
0	0	0.0	70.0	0.0	0.0	13.1517920891	0.20415102958	EvolutionaryComputationStrategyPlacement	11392.9	0.701326531891	76.4445919761	10.3	11098.6	13.0	57.0	0.0	0.0	12.0480139256	144.0	144.0	70.0	0.0	0.0	0.0	59.7	0.0	144.0	0.701326531891	144.0
0	0	0.0	70.0	0.0	0.0	15.9994565407	0.24564241553	EvolutionaryComputationStrategyPlacement	13012.8026667	0.702582265272	72.4046600121	2.33333333333	12624.56	6.0	64.0	0.0	0.221091346403	14.3351268768	159.833333333	160.0	70.0	0.0	0.221091346403	0.166666666667	67.6666666667	0.0	160.0	0.702582265272	160.0
