strategy-95m	strategy-95h	#PM-I-95h	#PM-95m	#PM-95h	#PM-I-95m	T-95m	T-95h	strategy	KW-95m	#PM-S-95h	KW-95h	#PM-S-95m	KW	#PM-S	#PM-U	#PM-I	#VM-P-95h	T	#VM-P-95m	#VM-P	#PM	VM-U	VM-U-95h	VM-U-95m	#PM-U-95m	#VM-95h	#VM	#PM-U-95h	#VM-95m
0	0	0.0	30.0	0.0	0.0	0.0929227749507	0.000768848462972	OpenOptStrategyPlacement	1483.04	0.0	2.59062478594e-13	22.0	1483.04	22.0	8.0	0.0	0.0	0.102029800415	16.0	16.0	30.0	0.0	0.0	0.0	8.0	0.0	16.0	0.0	16.0
0	0	0.0	30.0	0.0	0.0	0.150457215309	0.00128560392087	OpenOptStrategyPlacement	2944.12	0.0	0.0	13.0	2944.12	13.0	17.0	0.0	0.0	0.165905952454	32.0	32.0	30.0	0.0	0.0	0.0	17.0	0.0	32.0	0.0	32.0
0	0	0.0	30.0	0.0	0.0	0.21793367068	0.00102101401828	OpenOptStrategyPlacement	3760.72	0.0	5.18124957187e-13	10.0	3760.72	10.0	20.0	0.0	0.0	0.224929094315	48.0	48.0	30.0	0.0	0.0	0.0	20.0	0.0	48.0	0.0	48.0
0	0	0.0	30.0	0.0	0.0	0.330660947164	0.00312076950356	OpenOptStrategyPlacement	4571.12	0.0	6.9083327625e-13	4.0	4571.12	4.0	26.0	0.0	0.0	0.352350950241	64.0	64.0	30.0	0.0	0.0	0.0	26.0	0.0	64.0	0.0	64.0
0	0	0.0	30.0	0.0	0.0	0.504941654205	0.00408222253725	OpenOptStrategyPlacement	5215.2	0.0	6.9083327625e-13	0.0	5215.2	0.0	30.0	0.0	0.0	0.531774044037	75.0	75.0	30.0	5.0	0.0	5.0	30.0	0.0	80.0	0.0	80.0
0	0	0.0	30.0	0.0	0.0	0.622404034932	0.00374464350708	OpenOptStrategyPlacement	5876.16	0.0	1.03624991437e-12	0.0	5876.16	0.0	30.0	0.0	0.0	0.653469085693	86.0	86.0	30.0	10.0	0.0	10.0	30.0	0.0	96.0	0.0	96.0
0	0	0.0	30.0	0.0	0.0	0.743051362038	0.00493743863854	OpenOptStrategyPlacement	6397.04	0.0	1.72708319062e-12	0.0	6397.04	0.0	30.0	0.0	0.0	0.778115034103	99.0	99.0	30.0	13.0	0.0	13.0	30.0	0.0	112.0	0.0	112.0
0	0	0.0	30.0	0.0	0.0	0.887650958697	0.0066477961521	OpenOptStrategyPlacement	6248.8	0.0	1.03624991437e-12	0.0	6248.8	0.0	30.0	0.0	0.0	0.932339906693	108.0	108.0	30.0	20.0	0.0	20.0	30.0	0.0	128.0	0.0	128.0
0	0	0.0	30.0	0.0	0.0	1.03948028882	0.00915356636193	OpenOptStrategyPlacement	6481.36	0.0	1.72708319062e-12	0.0	6481.36	0.0	30.0	0.0	0.0	1.08714580536	119.0	119.0	30.0	25.0	0.0	25.0	30.0	0.0	144.0	0.0	144.0
0	0	0.0	30.0	0.0	0.0	1.21118714015	0.0100906203572	OpenOptStrategyPlacement	6501.76	0.0	3.45416638125e-13	0.0	6501.76	0.0	30.0	0.0	0.0	1.25538492203	128.0	128.0	30.0	32.0	0.0	32.0	30.0	0.0	160.0	0.0	160.0
0	0	0.0	30.0	0.0	0.0	1.44585224787	0.0100687892208	OpenOptStrategyPlacement	6659.52	0.0	1.03624991437e-12	0.0	6659.52	0.0	30.0	0.0	0.0	1.50053811073	132.0	132.0	30.0	44.0	0.0	44.0	30.0	0.0	176.0	0.0	176.0
0	0	0.0	30.0	0.0	0.0	1.59714209239	0.0104239836876	OpenOptStrategyPlacement	6614.64	0.0	1.72708319062e-12	0.0	6614.64	0.0	30.0	0.0	0.0	1.64370298386	143.0	143.0	30.0	49.0	0.0	49.0	30.0	0.0	192.0	0.0	192.0
0	0	0.0	30.0	0.0	0.0	1.90606199106	0.0106920700608	OpenOptStrategyPlacement	6658.16	0.0	1.03624991437e-12	0.0	6658.16	0.0	30.0	0.0	0.0	1.95600199699	150.0	150.0	30.0	58.0	0.0	58.0	30.0	0.0	208.0	0.0	208.0
0	0	0.0	30.0	0.0	0.0	2.08276093006	0.0120184112888	OpenOptStrategyPlacement	6556.16	0.0	3.45416638125e-13	0.0	6556.16	0.0	30.0	0.0	0.0	2.15147399902	154.0	154.0	30.0	70.0	0.0	70.0	30.0	0.0	224.0	0.0	224.0
0	0	0.0	30.0	0.0	0.0	2.18288020293	0.0162391880851	OpenOptStrategyPlacement	6859.44	0.0	3.45416638125e-13	0.0	6859.44	0.0	30.0	0.0	0.0	2.25998687744	164.0	164.0	30.0	76.0	0.0	76.0	30.0	0.0	240.0	0.0	240.0
0	0	0.0	30.0	0.0	0.0	2.39593824546	0.0187120350142	OpenOptStrategyPlacement	6954.64	0.0	1.3816665525e-12	0.0	6954.64	0.0	30.0	0.0	0.0	2.47710490227	171.0	171.0	30.0	85.0	0.0	85.0	30.0	0.0	256.0	0.0	256.0
0	0	0.0	30.0	0.0	0.0	2.60791091124	0.014010646869	OpenOptStrategyPlacement	7072.96	0.0	1.72708319062e-12	0.0	7072.96	0.0	30.0	0.0	0.0	2.66284012794	180.0	180.0	30.0	92.0	0.0	92.0	30.0	0.0	272.0	0.0	272.0
0	0	0.0	30.0	0.0	0.0	2.85938731829	0.0102681664494	OpenOptStrategyPlacement	6682.64	0.0	1.72708319062e-12	0.0	6682.64	0.0	30.0	0.0	0.0	2.92550110817	187.0	187.0	30.0	101.0	0.0	101.0	30.0	0.0	288.0	0.0	288.0
