#PM	#VM	#PM-U	#PM-S	#PM-I	#VM-P	VM-U	KW	strategy	T
60	16	8	52	0	16	0	1633.04	OpenOptStrategyPlacement	0.1087040901184082
60	32	17	43	0	32	0	3094.12	OpenOptStrategyPlacement	0.1580348014831543
60	48	20	40	0	48	0	3910.7199999999993	OpenOptStrategyPlacement	0.20532512664794922
60	64	26	34	0	64	0	4721.12	OpenOptStrategyPlacement	0.3521430492401123
60	80	35	25	0	80	0	6242.039999999998	OpenOptStrategyPlacement	0.5224630832672119
60	96	40	20	0	96	0	7382.72	OpenOptStrategyPlacement	0.6943390369415283
60	112	43	17	0	112	0	8533.880000000001	OpenOptStrategyPlacement	0.8649640083312988
60	128	50	10	0	128	0	9704.880000000001	OpenOptStrategyPlacement	1.0848889350891113
60	144	55	5	0	144	0	10830.599999999997	OpenOptStrategyPlacement	1.327497959136963
60	160	60	0	0	159	1	12133.119999999995	OpenOptStrategyPlacement	1.6105871200561523
60	176	60	0	0	169	7	12260.959999999997	OpenOptStrategyPlacement	1.91373610496521
60	192	60	0	0	182	10	12436.399999999998	OpenOptStrategyPlacement	2.1678049564361572
60	208	60	0	0	191	17	12375.199999999992	OpenOptStrategyPlacement	2.631110906600952
60	224	60	0	0	203	21	13072.879999999996	OpenOptStrategyPlacement	2.9672160148620605
60	240	60	0	0	214	26	13172.16	OpenOptStrategyPlacement	3.175891160964966
60	256	60	0	0	226	30	13652.240000000003	OpenOptStrategyPlacement	3.500494956970215
60	272	60	0	0	239	33	13725.679999999997	OpenOptStrategyPlacement	3.881800889968872
60	288	60	0	0	247	41	13446.88	OpenOptStrategyPlacement	4.224750995635986
