strategy-95m	strategy-95h	#PM-I-95h	#PM-95m	#PM-95h	#PM-I-95m	T-95m	T-95h	strategy	KW-95m	#PM-S-95h	KW-95h	#PM-S-95m	KW	#PM-S	#PM-U	#PM-I	#VM-P-95h	T	#VM-P-95m	#VM-P	#PM	VM-U	VM-U-95h	VM-U-95m	#PM-U-95m	#VM-95h	#VM	#PM-U-95h	#VM-95m
0	0	0.0	80.0	0.0	0.0	0.0939559141795	0.000684338016339	OpenOptStrategyPlacement	1733.04	0.0	2.59062478594e-13	72.0	1733.04	72.0	8.0	0.0	0.0	0.0917711257935	16.0	16.0	80.0	0.0	0.0	0.0	8.0	0.0	16.0	0.0	16.0
0	0	0.0	80.0	0.0	0.0	0.161262146632	0.00129252297594	OpenOptStrategyPlacement	3194.12	0.0	1.72708319062e-13	63.0	3194.12	63.0	17.0	0.0	0.0	0.155833959579	32.0	32.0	80.0	0.0	0.0	0.0	17.0	0.0	32.0	0.0	32.0
0	0	0.0	80.0	0.0	0.0	0.209770886103	0.00111390276027	OpenOptStrategyPlacement	4010.72	0.0	5.18124957187e-13	60.0	4010.72	60.0	20.0	0.0	0.0	0.205507040024	48.0	48.0	80.0	0.0	0.0	0.0	20.0	0.0	48.0	0.0	48.0
0	0	0.0	80.0	0.0	0.0	0.345569133759	0.00227736123566	OpenOptStrategyPlacement	4821.12	0.0	6.9083327625e-13	54.0	4821.12	54.0	26.0	0.0	0.0	0.336872816086	64.0	64.0	80.0	0.0	0.0	0.0	26.0	0.0	64.0	0.0	64.0
0	0	0.0	80.0	0.0	0.0	0.527572965622	0.00335411250226	OpenOptStrategyPlacement	6342.04	0.0	6.9083327625e-13	45.0	6342.04	45.0	35.0	0.0	0.0	0.514399051666	80.0	80.0	80.0	0.0	0.0	0.0	35.0	0.0	80.0	0.0	80.0
0	0	0.0	80.0	0.0	0.0	0.687340108554	0.00503673776907	OpenOptStrategyPlacement	7482.72	0.0	0.0	40.0	7482.72	40.0	40.0	0.0	0.0	0.669804096222	96.0	96.0	80.0	0.0	0.0	0.0	40.0	0.0	96.0	0.0	96.0
0	0	0.0	80.0	0.0	0.0	0.845593452454	0.00625955779096	OpenOptStrategyPlacement	8633.88	0.0	6.9083327625e-13	37.0	8633.88	37.0	43.0	0.0	0.0	0.826350212097	112.0	112.0	80.0	0.0	0.0	0.0	43.0	0.0	112.0	0.0	112.0
0	0	0.0	80.0	0.0	0.0	1.07594480515	0.00777922871261	OpenOptStrategyPlacement	9804.88	0.0	6.9083327625e-13	30.0	9804.88	30.0	50.0	0.0	0.0	1.03713989258	128.0	128.0	80.0	0.0	0.0	0.0	50.0	0.0	128.0	0.0	128.0
0	0	0.0	80.0	0.0	0.0	1.30923964183	0.010728670674	OpenOptStrategyPlacement	10930.6	0.0	6.9083327625e-13	25.0	10930.6	25.0	55.0	0.0	0.0	1.2610039711	144.0	144.0	80.0	0.0	0.0	0.0	55.0	0.0	144.0	0.0	144.0
0	0	0.0	80.0	0.0	0.0	1.59229915142	0.0119177983507	OpenOptStrategyPlacement	12347.56	0.0	0.0	19.0	12347.56	19.0	61.0	0.0	0.0	1.54171204567	160.0	160.0	80.0	0.0	0.0	0.0	61.0	0.0	160.0	0.0	160.0
0	0	0.0	80.0	0.0	0.0	1.94932833513	0.0136824060533	OpenOptStrategyPlacement	13684.28	0.0	2.763333105e-12	13.0	13684.28	13.0	67.0	0.0	0.0	1.87775015831	176.0	176.0	80.0	0.0	0.0	0.0	67.0	0.0	176.0	0.0	176.0
0	0	0.0	80.0	0.0	0.0	2.20615094503	0.0164149162633	OpenOptStrategyPlacement	14109.2	0.0	3.45416638125e-12	10.0	14109.2	10.0	70.0	0.0	0.0	2.12802886963	192.0	192.0	80.0	0.0	0.0	0.0	70.0	0.0	192.0	0.0	192.0
0	0	0.0	80.0	0.0	0.0	2.71425119241	0.0269073016086	OpenOptStrategyPlacement	15477.4	0.0	3.45416638125e-12	3.0	15477.4	3.0	77.0	0.0	0.0	2.59241199493	208.0	208.0	80.0	0.0	0.0	0.0	77.0	0.0	208.0	0.0	208.0
0	0	0.0	80.0	0.0	0.0	3.09318828583	0.0345612771681	OpenOptStrategyPlacement	16708.8	0.0	0.0	0.0	16708.8	0.0	80.0	0.0	0.0	2.90972495079	223.0	223.0	80.0	1.0	0.0	1.0	80.0	0.0	224.0	0.0	224.0
0	0	0.0	80.0	0.0	0.0	3.36204688549	0.0264080245439	OpenOptStrategyPlacement	16761.84	0.0	5.52666621e-12	0.0	16761.84	0.0	80.0	0.0	0.0	3.18942189217	234.0	234.0	80.0	6.0	0.0	6.0	80.0	0.0	240.0	0.0	240.0
0	0	0.0	80.0	0.0	0.0	3.80717695554	0.0182113697834	OpenOptStrategyPlacement	17225.6	0.0	2.763333105e-12	0.0	17225.6	0.0	80.0	0.0	0.0	3.7053360939	246.0	246.0	80.0	10.0	0.0	10.0	80.0	0.0	256.0	0.0	256.0
0	0	0.0	80.0	0.0	0.0	4.17724868457	0.0192106069546	OpenOptStrategyPlacement	17409.2	0.0	4.1449996575e-12	0.0	17409.2	0.0	80.0	0.0	0.0	4.06298899651	259.0	259.0	80.0	13.0	0.0	13.0	80.0	0.0	272.0	0.0	272.0
0	0	0.0	80.0	0.0	0.0	4.60726569494	0.0143158040344	OpenOptStrategyPlacement	17099.12	0.0	1.3816665525e-12	0.0	17099.12	0.0	80.0	0.0	0.0	4.516726017	270.0	270.0	80.0	18.0	0.0	18.0	80.0	0.0	288.0	0.0	288.0
