strategy-95m	strategy-95h	#PM-I-95h	#PM-95m	#PM-95h	#PM-I-95m	T-95m	T-95h	strategy	KW-95m	#PM-S-95h	KW-95h	#PM-S-95m	KW	#PM-S	#PM-U	#PM-I	#VM-P-95h	T	#VM-P-95m	#VM-P	#PM	VM-U	VM-U-95h	VM-U-95m	#PM-U-95m	#VM-95h	#VM	#PM-U-95h	#VM-95m
0	0	0.335182112485	50.0	0.0	42.7666666667	0.00271836121877	0.000157707940036	EnergyUnawareStrategyPlacement	6818.6	0.0	6.83771509469	0.0	6818.6	0.0	7.23333333333	42.7666666667	0.0	0.00271836121877	16.0	16.0	50.0	0.0	0.0	0.0	7.23333333333	0.0	16.0	0.335182112485	16.0
0	0	0.383986307723	50.0	0.0	31.3333333333	0.0085688273112	0.000311827748775	EnergyUnawareStrategyPlacement	7239.52	0.0	7.83332067754	0.0	7239.52	0.0	18.6666666667	31.3333333333	0.0	0.0085688273112	32.0	32.0	50.0	0.0	0.0	0.0	18.6666666667	0.0	32.0	0.383986307723	32.0
0	0	0.705427891602	50.0	0.0	24.5	0.0156257549922	0.000652215404255	EnergyUnawareStrategyPlacement	7600.6	0.0	14.3907289887	0.0	7600.6	0.0	25.5	24.5	0.0	0.0156257549922	48.0	48.0	50.0	0.0	0.0	0.0	25.5	0.0	48.0	0.705427891602	48.0
0	0	0.999711937563	50.0	0.0	16.7333333333	0.0252801974614	0.000611662326489	EnergyUnawareStrategyPlacement	7865.12	0.0	20.3941235263	0.0	7865.12	0.0	33.2666666667	16.7333333333	0.0	0.0252801974614	64.0	64.0	50.0	0.0	0.0	0.0	33.2666666667	0.0	64.0	0.999711937563	64.0
0	0	0.974382218041	50.0	0.0	6.53333333333	0.0401678959529	0.000937332973334	EnergyUnawareStrategyPlacement	8062.32	0.0	19.877397248	0.0	8062.32	0.0	43.4666666667	6.53333333333	0.0	0.0401678959529	80.0	80.0	50.0	0.0	0.0	0.0	43.4666666667	0.0	80.0	0.974382218041	80.0
0	0	0.265551135639	50.0	0.0	0.333333333333	0.0546674092611	0.00122247971343	EnergyUnawareStrategyPlacement	8237.30666667	0.0	42.870720327	0.0	8237.30666667	0.0	49.6666666667	0.333333333333	1.24400020905	0.0546674092611	92.9333333333	92.9333333333	50.0	3.06666666667	1.24400020905	3.06666666667	49.6666666667	0.0	96.0	0.265551135639	96.0
0	0	0.0	50.0	0.0	0.0	0.0746080557505	0.00173154306651	EnergyUnawareStrategyPlacement	8529.79733333	0.0	80.64025359	0.0	8529.79733333	0.0	50.0	0.0	1.78447237723	0.0746080557505	93.3	93.3	50.0	18.7	1.78447237723	18.7	50.0	0.0	112.0	0.0	112.0
0	0	0.0	50.0	0.0	0.0	0.0883761405945	0.00126307226554	EnergyUnawareStrategyPlacement	8418.45866667	0.0	86.4488214221	0.0	8418.45866667	0.0	50.0	0.0	1.76333116237	0.0883761405945	97.9	97.9	50.0	30.1	1.76333116237	30.1	50.0	0.0	128.0	0.0	128.0
0	0	0.0	50.0	0.0	0.0	0.104584217072	0.00140201972183	EnergyUnawareStrategyPlacement	8552.41866667	0.0	67.4304828951	0.0	8552.41866667	0.0	50.0	0.0	1.57631752759	0.104584217072	98.8	98.8	50.0	45.2	1.57631752759	45.2	50.0	0.0	144.0	0.0	144.0
0	0	0.0	50.0	0.0	0.0	0.12087624073	0.00178844308419	EnergyUnawareStrategyPlacement	8572.22933333	0.0	68.8482742451	0.0	8572.22933333	0.0	50.0	0.0	2.06534790625	0.12087624073	100.6	100.6	50.0	59.4	2.06534790625	59.4	50.0	0.0	160.0	0.0	160.0
0	0	0.0	50.0	0.0	0.0	0.138414327304	0.00137522551074	EnergyUnawareStrategyPlacement	8697.44	0.0	125.208757737	0.0	8697.44	0.0	50.0	0.0	1.93655463268	0.138414327304	99.0	99.0	50.0	77.0	1.93655463268	77.0	50.0	0.0	176.0	0.0	176.0
0	0	0.0	50.0	0.0	0.0	0.153078103065	0.00213914240783	EnergyUnawareStrategyPlacement	8597.79733333	0.0	112.058905828	0.0	8597.79733333	0.0	50.0	0.0	2.28154918221	0.153078103065	103.333333333	103.333333333	50.0	88.6666666667	2.28154918221	88.6666666667	50.0	0.0	192.0	0.0	192.0
0	0	0.0	50.0	0.0	0.0	0.170666130384	0.00189383926334	EnergyUnawareStrategyPlacement	8649.568	0.0	108.718125064	0.0	8649.568	0.0	50.0	0.0	2.25313384838	0.170666130384	102.066666667	102.066666667	50.0	105.933333333	2.25313384838	105.933333333	50.0	0.0	208.0	0.0	208.0
0	0	0.0	50.0	0.0	0.0	0.189382910728	0.00181784137678	EnergyUnawareStrategyPlacement	8521.00266667	0.0	108.322776248	0.0	8521.00266667	0.0	50.0	0.0	2.13438156643	0.189382910728	100.5	100.5	50.0	123.5	2.13438156643	123.5	50.0	0.0	224.0	0.0	224.0
0	0	0.0	50.0	0.0	0.0	0.20551803112	0.00227406515374	EnergyUnawareStrategyPlacement	8628.57866667	0.0	93.7355735118	0.0	8628.57866667	0.0	50.0	0.0	2.23072294014	0.20551803112	102.966666667	102.966666667	50.0	137.033333333	2.23072294014	137.033333333	50.0	0.0	240.0	0.0	240.0
0	0	0.0	50.0	0.0	0.0	0.222843829791	0.00196456992847	EnergyUnawareStrategyPlacement	8606.50133333	0.0	119.545810708	0.0	8606.50133333	0.0	50.0	0.0	2.82367040841	0.222843829791	102.7	102.7	50.0	153.3	2.82367040841	153.3	50.0	0.0	256.0	0.0	256.0
0	0	0.0	50.0	0.0	0.0	0.243772379557	0.00209629956402	EnergyUnawareStrategyPlacement	8625.45066667	0.0	107.899976769	0.0	8625.45066667	0.0	50.0	0.0	2.65735147104	0.243772379557	104.1	104.1	50.0	167.9	2.65735147104	167.9	50.0	0.0	272.0	0.0	272.0
0	0	0.0	50.0	0.0	0.0	0.258938590686	0.00270304601826	EnergyUnawareStrategyPlacement	8670.376	0.0	92.906507604	0.0	8670.376	0.0	50.0	0.0	2.58532941553	0.258938590686	103.166666667	103.166666667	50.0	184.833333333	2.58532941553	184.833333333	50.0	0.0	288.0	0.0	288.0
