#PM	#VM	#PM-U	#PM-S	#PM-I	#VM-P	VM-U	KW	strategy	T
100	16	7	0	93	16	0	13543.359999999977	EnergyUnawareStrategyPlacement	0.004129886627197266
100	32	20	0	80	32	0	13932.319999999974	EnergyUnawareStrategyPlacement	0.010226964950561523
100	48	24	0	76	48	0	14351.199999999973	EnergyUnawareStrategyPlacement	0.02011394500732422
100	64	31	0	69	64	0	14631.359999999975	EnergyUnawareStrategyPlacement	0.028762102127075195
100	80	46	0	54	80	0	14730.63999999998	EnergyUnawareStrategyPlacement	0.04340004920959473
100	96	52	0	48	96	0	15001.27999999998	EnergyUnawareStrategyPlacement	0.058483123779296875
100	112	67	0	33	112	0	15685.35999999999	EnergyUnawareStrategyPlacement	0.07955503463745117
100	128	76	0	24	128	0	15795.519999999991	EnergyUnawareStrategyPlacement	0.10570502281188965
100	144	77	0	23	144	0	16385.759999999987	EnergyUnawareStrategyPlacement	0.11121201515197754
100	160	89	0	11	160	0	16663.200000000004	EnergyUnawareStrategyPlacement	0.143096923828125
100	176	96	0	4	176	0	17389.44000000001	EnergyUnawareStrategyPlacement	0.1910848617553711
100	192	100	0	0	185	7	17310.560000000005	EnergyUnawareStrategyPlacement	0.2074880599975586
100	208	100	0	0	192	16	17390.799999999992	EnergyUnawareStrategyPlacement	0.23891115188598633
100	224	100	0	0	184	40	16888.96	EnergyUnawareStrategyPlacement	0.29212498664855957
100	240	100	0	0	190	50	17019.52	EnergyUnawareStrategyPlacement	0.3182518482208252
100	256	100	0	0	196	60	17252.08000000001	EnergyUnawareStrategyPlacement	0.3426949977874756
100	272	100	0	0	196	76	16950.16	EnergyUnawareStrategyPlacement	0.3820929527282715
100	288	100	0	0	207	81	18153.760000000006	EnergyUnawareStrategyPlacement	0.4067540168762207
