#PM	#VM	#PM-U	#PM-S	#PM-I	#VM-P	VM-U	KW	strategy	T
80	16	5	75	0	16	0	1191.1599999999999	EvolutionaryComputationStrategyPlacement	0.6072311401367188
80	32	13	67	0	32	0	2717.3199999999997	EvolutionaryComputationStrategyPlacement	1.6995220184326172
80	48	17	63	0	48	0	3653.7999999999997	EvolutionaryComputationStrategyPlacement	2.401880979537964
80	64	21	59	0	64	0	4512.76	EvolutionaryComputationStrategyPlacement	3.226755142211914
80	80	29	51	0	80	0	5790.039999999999	EvolutionaryComputationStrategyPlacement	4.802945852279663
80	96	34	46	0	96	0	6728.079999999999	EvolutionaryComputationStrategyPlacement	6.339077949523926
80	112	40	40	0	112	0	8372.160000000002	EvolutionaryComputationStrategyPlacement	7.909061908721924
80	128	49	31	0	128	0	9646.920000000002	EvolutionaryComputationStrategyPlacement	10.644357919692993
80	144	53	27	0	144	0	10693.560000000003	EvolutionaryComputationStrategyPlacement	12.793165922164917
80	160	60	20	0	160	0	11978.800000000003	EvolutionaryComputationStrategyPlacement	15.469957828521729
80	176	70	10	0	176	0	13937.84	EvolutionaryComputationStrategyPlacement	18.680377960205078
80	192	78	2	0	192	0	15021.999999999998	EvolutionaryComputationStrategyPlacement	22.03547692298889
80	208	80	0	0	206	2	15724.160000000002	EvolutionaryComputationStrategyPlacement	24.19443702697754
80	224	80	0	0	214	10	15537.840000000002	EvolutionaryComputationStrategyPlacement	26.74835991859436
80	240	80	0	0	224	16	15758.159999999996	EvolutionaryComputationStrategyPlacement	28.939777135849
80	256	80	0	0	229	27	15476.639999999996	EvolutionaryComputationStrategyPlacement	31.08492684364319
80	272	80	0	0	226	46	14534.159999999998	EvolutionaryComputationStrategyPlacement	34.08855080604553
80	288	80	0	0	236	52	15287.600000000004	EvolutionaryComputationStrategyPlacement	36.21022891998291
