strategy-95m	strategy-95h	#PM-I-95h	#PM-95m	#PM-95h	#PM-I-95m	T-95m	T-95h	strategy	KW-95m	#PM-S-95h	KW-95h	#PM-S-95m	KW	#PM-S	#PM-U	#PM-I	#VM-P-95h	T	#VM-P-95m	#VM-P	#PM	VM-U	VM-U-95h	VM-U-95m	#PM-U-95m	#VM-95h	#VM	#PM-U-95h	#VM-95m
0	0	0.0	80.0	0.0	0.0	0.0783369938533	0.00083764294704	OpenOptStrategyPlacement	1191.16	0.0	8.63541595312e-14	75.0	1191.16	75.0	5.0	0.0	0.0	0.0763809680939	16.0	16.0	80.0	0.0	0.0	0.0	5.0	0.0	16.0	0.0	16.0
0	0	0.0	80.0	0.0	0.0	0.12727894783	0.000921095119177	OpenOptStrategyPlacement	2717.32	0.0	3.45416638125e-13	67.0	2717.32	67.0	13.0	0.0	0.0	0.124232053757	32.0	32.0	80.0	0.0	0.0	0.0	13.0	0.0	32.0	0.0	32.0
0	0	0.0	80.0	0.0	0.0	0.185068472226	0.00180340090493	OpenOptStrategyPlacement	3544.8	0.0	8.63541595312e-13	64.0	3544.8	64.0	16.0	0.0	0.0	0.180561065674	48.0	48.0	80.0	0.0	0.0	0.0	16.0	0.0	48.0	0.0	48.0
0	0	0.0	80.0	0.0	0.0	0.302499858538	0.00419132141072	OpenOptStrategyPlacement	4621.76	0.0	6.9083327625e-13	58.0	4621.76	58.0	22.0	0.0	0.0	0.286806106567	64.0	64.0	80.0	0.0	0.0	0.0	22.0	0.0	64.0	0.0	64.0
0	0	0.0	80.0	0.0	0.0	0.460913213094	0.00486214486435	OpenOptStrategyPlacement	5681.04	0.0	1.72708319062e-12	52.0	5681.04	52.0	28.0	0.0	0.0	0.440207958221	80.0	80.0	80.0	0.0	0.0	0.0	28.0	0.0	80.0	0.0	80.0
0	0	0.0	80.0	0.0	0.0	0.667100588481	0.00536286920733	OpenOptStrategyPlacement	6728.08	0.0	6.9083327625e-13	46.0	6728.08	46.0	34.0	0.0	0.0	0.634574890137	96.0	96.0	80.0	0.0	0.0	0.0	34.0	0.0	96.0	0.0	96.0
0	0	0.0	80.0	0.0	0.0	0.876932668686	0.00635327754246	OpenOptStrategyPlacement	8481.16	0.0	1.3816665525e-12	39.0	8481.16	39.0	41.0	0.0	0.0	0.854253053665	112.0	112.0	80.0	0.0	0.0	0.0	41.0	0.0	112.0	0.0	112.0
0	0	0.0	80.0	0.0	0.0	1.03065605164	0.00729247671457	OpenOptStrategyPlacement	8992.92	0.0	2.763333105e-12	37.0	8992.92	37.0	43.0	0.0	0.0	1.00554800034	128.0	128.0	80.0	0.0	0.0	0.0	43.0	0.0	128.0	0.0	128.0
0	0	0.0	80.0	0.0	0.0	1.53964709441	0.00965563522191	OpenOptStrategyPlacement	10148.56	0.0	0.0	32.0	10148.56	32.0	48.0	0.0	0.0	1.50532197952	144.0	144.0	80.0	0.0	0.0	0.0	48.0	0.0	144.0	0.0	144.0
0	0	0.0	80.0	0.0	0.0	1.7859471639	0.010513212503	OpenOptStrategyPlacement	10997.8	0.0	2.07249982875e-12	29.0	10997.8	29.0	51.0	0.0	0.0	1.73736095428	160.0	160.0	80.0	0.0	0.0	0.0	51.0	0.0	160.0	0.0	160.0
0	0	0.0	80.0	0.0	0.0	2.24514223735	0.0111679995866	OpenOptStrategyPlacement	12847.84	0.0	1.3816665525e-12	20.0	12847.84	20.0	60.0	0.0	0.0	2.18569302559	176.0	176.0	80.0	0.0	0.0	0.0	60.0	0.0	176.0	0.0	176.0
0	0	0.0	80.0	0.0	0.0	2.41771711508	0.0138060652265	OpenOptStrategyPlacement	13387.0	0.0	0.0	17.0	13387.0	17.0	63.0	0.0	0.0	2.33727097511	192.0	192.0	80.0	0.0	0.0	0.0	63.0	0.0	192.0	0.0	192.0
0	0	0.0	80.0	0.0	0.0	2.65542322795	0.0182287027717	OpenOptStrategyPlacement	14294.72	0.0	3.45416638125e-12	14.0	14294.72	14.0	66.0	0.0	0.0	2.55097985268	208.0	208.0	80.0	0.0	0.0	0.0	66.0	0.0	208.0	0.0	208.0
0	0	0.0	80.0	0.0	0.0	3.81805086136	0.020879528075	OpenOptStrategyPlacement	15622.32	0.0	6.9083327625e-13	6.0	15622.32	6.0	74.0	0.0	0.0	3.65727305412	224.0	224.0	80.0	0.0	0.0	0.0	74.0	0.0	224.0	0.0	224.0
0	0	0.0	80.0	0.0	0.0	3.56687905788	0.0114158539739	OpenOptStrategyPlacement	16670.12	0.0	2.763333105e-12	3.0	16670.12	3.0	77.0	0.0	0.0	3.5177731514	240.0	240.0	80.0	0.0	0.0	0.0	77.0	0.0	240.0	0.0	240.0
0	0	0.0	80.0	0.0	0.0	4.15068911711	0.0150329471239	OpenOptStrategyPlacement	16937.28	0.0	4.1449996575e-12	0.0	16937.28	0.0	80.0	0.0	0.0	4.08393287659	251.0	251.0	80.0	5.0	0.0	5.0	80.0	0.0	256.0	0.0	256.0
0	0	0.0	80.0	0.0	0.0	4.81159189542	0.0166011200575	OpenOptStrategyPlacement	17342.56	0.0	0.0	0.0	17342.56	0.0	80.0	0.0	0.0	4.7423388958	265.0	265.0	80.0	7.0	0.0	7.0	80.0	0.0	272.0	0.0	272.0
0	0	0.0	80.0	0.0	0.0	5.26764853795	0.017370670915	OpenOptStrategyPlacement	17354.8	0.0	2.763333105e-12	0.0	17354.8	0.0	80.0	0.0	0.0	5.17996311188	275.0	275.0	80.0	13.0	0.0	13.0	80.0	0.0	288.0	0.0	288.0
