#PM	#VM	#PM-U	#PM-S	#PM-I	#VM-P	VM-U	KW	strategy	T
100	16	15	0	85	16	0	14453.199999999973	EnergyUnawareStrategyPlacement	0.006376981735229492
100	32	30	0	70	32	0	15304.559999999976	EnergyUnawareStrategyPlacement	0.01305079460144043
100	48	45	0	55	48	0	16395.27999999998	EnergyUnawareStrategyPlacement	0.025457143783569336
100	64	59	0	41	64	0	17063.039999999994	EnergyUnawareStrategyPlacement	0.04516792297363281
100	80	72	0	28	80	0	18140.160000000007	EnergyUnawareStrategyPlacement	0.06712794303894043
100	96	87	0	13	96	0	18799.76000000002	EnergyUnawareStrategyPlacement	0.09144902229309082
100	112	100	0	0	109	3	19452.56	EnergyUnawareStrategyPlacement	0.12999200820922852
100	128	100	0	0	111	17	19572.239999999994	EnergyUnawareStrategyPlacement	0.1595921516418457
100	144	100	0	0	117	27	19719.120000000006	EnergyUnawareStrategyPlacement	0.1895751953125
100	160	100	0	0	110	50	19180.560000000005	EnergyUnawareStrategyPlacement	0.22948479652404785
100	176	100	0	0	107	69	19088.08	EnergyUnawareStrategyPlacement	0.2641289234161377
100	192	100	0	0	107	85	17963.359999999993	EnergyUnawareStrategyPlacement	0.298494815826416
100	208	100	0	0	109	99	19100.319999999992	EnergyUnawareStrategyPlacement	0.3284568786621094
100	224	100	0	0	105	119	18308.799999999996	EnergyUnawareStrategyPlacement	0.37062501907348633
100	240	100	0	0	108	132	18476.08	EnergyUnawareStrategyPlacement	0.3940708637237549
100	256	100	0	0	118	138	18907.199999999993	EnergyUnawareStrategyPlacement	0.43001794815063477
100	272	100	0	0	109	163	18559.04	EnergyUnawareStrategyPlacement	0.46352601051330566
100	288	100	0	0	113	175	18061.279999999995	EnergyUnawareStrategyPlacement	0.5071380138397217
