strategy-95m	strategy-95h	#PM-I-95h	#PM-95m	#PM-95h	#PM-I-95m	T-95m	T-95h	strategy	KW-95m	#PM-S-95h	KW-95h	#PM-S-95m	KW	#PM-S	#PM-U	#PM-I	#VM-P-95h	T	#VM-P-95m	#VM-P	#PM	VM-U	VM-U-95h	VM-U-95m	#PM-U-95m	#VM-95h	#VM	#PM-U-95h	#VM-95m
0	0	0.0	10.0	0.0	0.0	1.13982702096	0.00994200268936	EvolutionaryComputationStrategyPlacement	2249.53333333	0.0	28.248817801	0.0	2108.32	0.0	10.0	0.0	0.167949284773	1.09774398804	13.7333333333	14.0	10.0	2.0	0.167949284773	2.26666666667	10.0	0.0	16.0	0.0	16.0
0	0	0.0	10.0	0.0	0.0	1.45255389214	0.0124090867877	EvolutionaryComputationStrategyPlacement	2175.59466667	0.0	21.2377595549	0.0	2083.84	0.0	10.0	0.0	0.136348642809	1.40346002579	16.9333333333	18.0	10.0	14.0	0.136348642809	15.0666666667	10.0	0.0	32.0	0.0	32.0
0	0	0.0	10.0	0.0	0.0	1.7827376763	0.0128444263859	EvolutionaryComputationStrategyPlacement	2203.70133333	0.0	23.1440996269	0.0	2025.36	0.0	10.0	0.0	0.213344275769	1.71033906937	19.8666666667	21.0	10.0	27.0	0.213344275769	28.1333333333	10.0	0.0	48.0	0.0	48.0
0	0	0.0	10.0	0.0	0.0	2.13073154291	0.0145758599073	EvolutionaryComputationStrategyPlacement	2155.33066667	0.0	36.5456061981	0.0	1992.72	0.0	10.0	0.0	0.415267516373	2.03741598129	21.2666666667	23.0	10.0	41.0	0.415267516373	42.7333333333	10.0	0.0	64.0	0.0	64.0
0	0	0.0	10.0	0.0	0.0	2.52053692341	0.0134636042056	EvolutionaryComputationStrategyPlacement	2052.92266667	0.0	38.3019636373	0.0	1803.68	0.0	10.0	0.0	0.670005517609	2.44869995117	17.2333333333	20.0	10.0	60.0	0.670005517609	62.7666666667	10.0	0.0	80.0	0.0	80.0
0	0	0.0	10.0	0.0	0.0	2.88093410333	0.0194926271295	EvolutionaryComputationStrategyPlacement	2058.63466667	0.0	46.1409548833	0.0	1807.76	0.0	10.0	0.0	0.515948840767	2.78297901154	16.2333333333	18.0	10.0	78.0	0.515948840767	79.7666666667	10.0	0.0	96.0	0.0	96.0
0	0	0.0	10.0	0.0	0.0	3.23457600276	0.0203880978977	EvolutionaryComputationStrategyPlacement	2018.92266667	0.0	47.8367201045	0.0	1775.12	0.0	10.0	0.0	0.545394571235	3.10758495331	16.2666666667	18.0	10.0	94.0	0.545394571235	95.7333333333	10.0	0.0	112.0	0.0	112.0
0	0	0.0	10.0	0.0	0.0	3.61604351997	0.0138555036101	EvolutionaryComputationStrategyPlacement	2003.328	0.0	36.5270389496	0.0	1862.16	0.0	10.0	0.0	0.617734024162	3.55654501915	16.4333333333	20.0	10.0	108.0	0.617734024162	111.566666667	10.0	0.0	128.0	0.0	128.0
0	0	0.0	10.0	0.0	0.0	3.93336145878	0.0185573135201	EvolutionaryComputationStrategyPlacement	1975.04	0.0	39.7590444439	0.0	1776.48	0.0	10.0	0.0	0.473850008155	3.85161399841	16.9	20.0	10.0	124.0	0.473850008155	127.1	10.0	0.0	144.0	0.0	144.0
0	0	0.0	10.0	0.0	0.0	4.26940300465	0.0207976921002	EvolutionaryComputationStrategyPlacement	1920.368	0.0	48.4649306241	0.0	1598.32	0.0	10.0	0.0	0.515948840767	4.16293120384	16.7666666667	19.0	10.0	141.0	0.515948840767	143.233333333	10.0	0.0	160.0	0.0	160.0
0	0	0.0	10.0	0.0	0.0	4.60517779191	0.0240583875771	EvolutionaryComputationStrategyPlacement	1990.09066667	0.0	50.5671973269	0.0	1749.28	0.0	10.0	0.0	0.403523357805	4.47877311707	17.0666666667	20.0	10.0	156.0	0.403523357805	158.933333333	10.0	0.0	176.0	0.0	176.0
0	0	0.0	10.0	0.0	0.0	4.95502840678	0.0296953282108	EvolutionaryComputationStrategyPlacement	1944.75733333	0.0	49.6716886671	0.0	1727.52	0.0	10.0	0.0	0.39142699247	4.82224392891	17.2666666667	19.0	10.0	173.0	0.39142699247	174.733333333	10.0	0.0	192.0	0.0	192.0
0	0	0.0	10.0	0.0	0.0	5.27329817613	0.0276413234906	EvolutionaryComputationStrategyPlacement	1954.73066667	0.0	38.1143685029	0.0	1747.92	0.0	10.0	0.0	0.503211280654	5.13581585884	17.6666666667	20.0	10.0	188.0	0.503211280654	190.333333333	10.0	0.0	208.0	0.0	208.0
0	0	0.0	10.0	0.0	0.0	5.62265444597	0.0297679759193	EvolutionaryComputationStrategyPlacement	1962.07466667	0.0	47.1875743864	0.0	1685.36	0.0	10.0	0.0	0.61513412195	5.47036504745	17.1	20.0	10.0	204.0	0.61513412195	206.9	10.0	0.0	224.0	0.0	224.0
0	0	0.0	10.0	0.0	0.0	5.93008217812	0.0300036539049	EvolutionaryComputationStrategyPlacement	1988.68533333	0.0	32.2423506362	0.0	1830.88	0.0	10.0	0.0	0.41776857105	5.79129505157	17.7	20.0	10.0	220.0	0.41776857105	222.3	10.0	0.0	240.0	0.0	240.0
0	0	0.0	10.0	0.0	0.0	6.29185510476	0.0272351981485	EvolutionaryComputationStrategyPlacement	1944.66666667	0.0	48.5994143094	0.0	1681.28	0.0	10.0	0.0	0.510954663054	6.19648790359	17.3	20.0	10.0	236.0	0.510954663054	238.7	10.0	0.0	256.0	0.0	256.0
0	0	0.0	10.0	0.0	0.0	6.59333306154	0.0334707019163	EvolutionaryComputationStrategyPlacement	1925.944	0.0	47.5322525838	0.0	1703.04	0.0	10.0	0.0	0.551240339211	6.47984719276	17.6	21.0	10.0	251.0	0.551240339211	254.4	10.0	0.0	272.0	0.0	272.0
0	0	0.0	10.0	0.0	0.0	6.92104790211	0.0352993211731	EvolutionaryComputationStrategyPlacement	1947.93066667	0.0	40.2798991875	0.0	1707.12	0.0	10.0	0.0	0.615003838326	6.80206203461	17.3333333333	21.0	10.0	267.0	0.615003838326	270.666666667	10.0	0.0	288.0	0.0	288.0
