strategy-95m	strategy-95h	#PM-I-95h	#PM-95m	#PM-95h	#PM-I-95m	T-95m	T-95h	strategy	KW-95m	#PM-S-95h	KW-95h	#PM-S-95m	KW	#PM-S	#PM-U	#PM-I	#VM-P-95h	T	#VM-P-95m	#VM-P	#PM	VM-U	VM-U-95h	VM-U-95m	#PM-U-95m	#VM-95h	#VM	#PM-U-95h	#VM-95m
0	0	0.0	30.0	0.0	0.0	1.40047995249	0.0195162911648	EvolutionaryComputationStrategyPlacement	2791.73333333	0.129103642179	14.0722969975	17.8666666667	2886.2	17.0	13.0	0.0	0.0	1.5464758873	16.0	16.0	30.0	0.0	0.0	0.0	12.1333333333	0.0	16.0	0.129103642179	16.0
0	0	0.0	30.0	0.0	0.0	3.25702129205	0.028067062711	EvolutionaryComputationStrategyPlacement	5351.56	0.169847077042	18.5133313976	5.0	5460.56	4.0	26.0	0.0	0.0	3.42960691452	32.0	32.0	30.0	0.0	0.0	0.0	25.0	0.0	32.0	0.169847077042	32.0
0	0	0.0	30.0	0.0	0.0	4.65580766996	0.0275615385708	EvolutionaryComputationStrategyPlacement	6503.07466667	0.0	48.6871945131	0.0	6724.8	0.0	30.0	0.0	0.332300837432	4.82406401634	40.0333333333	38.0	30.0	10.0	0.332300837432	7.96666666667	30.0	0.0	48.0	0.0	48.0
0	0	0.0	30.0	0.0	0.0	5.46811974049	0.032525116802	EvolutionaryComputationStrategyPlacement	6480.09066667	0.0	54.004554385	0.0	6863.52	0.0	30.0	0.0	0.42158737597	5.63066101074	45.9666666667	43.0	30.0	21.0	0.42158737597	18.0333333333	30.0	0.0	64.0	0.0	64.0
0	0	0.0	30.0	0.0	0.0	6.63698980014	0.0452653217049	EvolutionaryComputationStrategyPlacement	6415.264	0.0	72.1682326928	0.0	6898.88	0.0	30.0	0.0	0.609901069639	6.85315608978	46.7666666667	44.0	30.0	36.0	0.609901069639	33.2333333333	30.0	0.0	80.0	0.0	80.0
0	0	0.0	30.0	0.0	0.0	7.78020539284	0.0428252477868	EvolutionaryComputationStrategyPlacement	6196.80266667	0.0	87.4440014864	0.0	6720.72	0.0	30.0	0.0	0.751518670718	8.07953095436	46.1333333333	42.0	30.0	54.0	0.751518670718	49.8666666667	30.0	0.0	96.0	0.0	96.0
0	0	0.0	30.0	0.0	0.0	8.8322110335	0.0492176723815	EvolutionaryComputationStrategyPlacement	6076.57866667	0.0	73.9095653066	0.0	6424.24	0.0	30.0	0.0	0.850084196402	9.14821100235	44.7	41.0	30.0	71.0	0.850084196402	67.3	30.0	0.0	112.0	0.0	112.0
0	0	0.0	30.0	0.0	0.0	9.82036739985	0.0487839636922	EvolutionaryComputationStrategyPlacement	6004.90666667	0.0	62.840917001	0.0	6345.36	0.0	30.0	0.0	0.769640310385	10.1465301514	45.4	42.0	30.0	86.0	0.769640310385	82.6	30.0	0.0	128.0	0.0	128.0
0	0	0.0	30.0	0.0	0.0	10.8467922131	0.0553362279208	EvolutionaryComputationStrategyPlacement	5983.23733333	0.0	90.0478823936	0.0	6679.92	0.0	30.0	0.0	0.744770771503	11.1819489002	45.4333333333	41.0	30.0	103.0	0.744770771503	98.5666666667	30.0	0.0	144.0	0.0	144.0
0	0	0.0	30.0	0.0	0.0	11.8228658597	0.0512055365457	EvolutionaryComputationStrategyPlacement	5925.936	0.0	97.015330443	0.0	6368.48	0.0	30.0	0.0	0.665083794387	12.1216049194	47.0	43.0	30.0	117.0	0.665083794387	113.0	30.0	0.0	160.0	0.0	160.0
