#PM	#VM	#PM-U	#PM-S	#PM-I	#VM-P	VM-U	KW	strategy	T
50	16	12	38	0	16	0	2877.2	EvolutionaryComputationStrategyPlacement	1.3924198150634766
50	32	26	24	0	32	0	5560.5599999999995	EvolutionaryComputationStrategyPlacement	3.4353039264678955
50	48	39	11	0	48	0	8374.28	EvolutionaryComputationStrategyPlacement	5.7614991664886475
50	64	49	1	0	64	0	10417.639999999998	EvolutionaryComputationStrategyPlacement	7.964205026626587
50	80	50	0	0	66	14	10521.199999999997	EvolutionaryComputationStrategyPlacement	9.728227853775024
50	96	50	0	0	70	26	10545.68	EvolutionaryComputationStrategyPlacement	11.453697919845581
50	112	50	0	0	70	42	10173.04	EvolutionaryComputationStrategyPlacement	13.594671964645386
50	128	50	0	0	69	59	9812.640000000001	EvolutionaryComputationStrategyPlacement	15.020890951156616
50	144	50	0	0	68	76	9842.559999999998	EvolutionaryComputationStrategyPlacement	16.915573120117188
50	160	50	0	0	75	85	9713.360000000002	EvolutionaryComputationStrategyPlacement	18.240283966064453
50	176	50	0	0	77	99	10042.479999999996	EvolutionaryComputationStrategyPlacement	19.82184600830078
50	192	50	0	0	79	113	9726.96	EvolutionaryComputationStrategyPlacement	21.298521041870117
50	208	50	0	0	80	128	9770.48	EvolutionaryComputationStrategyPlacement	23.13154697418213
50	224	50	0	0	83	141	9744.64	EvolutionaryComputationStrategyPlacement	24.670865058898926
50	240	50	0	0	83	157	9941.840000000004	EvolutionaryComputationStrategyPlacement	26.403159856796265
50	256	50	0	0	78	178	9408.720000000001	EvolutionaryComputationStrategyPlacement	28.316286087036133
50	272	50	0	0	84	188	10073.76	EvolutionaryComputationStrategyPlacement	29.49070906639099
50	288	50	0	0	84	204	9792.239999999998	EvolutionaryComputationStrategyPlacement	31.17003607749939
