strategy-95m	strategy-95h	#PM-I-95h	#PM-95m	#PM-95h	#PM-I-95m	T-95m	T-95h	strategy	KW-95m	#PM-S-95h	KW-95h	#PM-S-95m	KW	#PM-S	#PM-U	#PM-I	#VM-P-95h	T	#VM-P-95m	#VM-P	#PM	VM-U	VM-U-95h	VM-U-95m	#PM-U-95m	#VM-95h	#VM	#PM-U-95h	#VM-95m
0	0	0.0	30.0	0.0	0.0	0.133089033763	0.000951959814658	OpenOptStrategyPlacement	2886.2	0.0	6.9083327625e-13	17.0	2886.2	17.0	13.0	0.0	0.0	0.133089033763	16.0	16.0	30.0	0.0	0.0	0.0	13.0	0.0	16.0	0.0	16.0
0	0	0.0	30.0	0.0	0.0	0.260415148735	0.0011029251457	OpenOptStrategyPlacement	5351.56	0.0	1.03624991437e-12	5.0	5351.56	5.0	25.0	0.0	0.0	0.260415148735	32.0	32.0	30.0	0.0	0.0	0.0	25.0	0.0	32.0	0.0	32.0
0	0	0.0	30.0	0.0	0.0	0.473224480947	0.00203523334516	OpenOptStrategyPlacement	6518.08	0.0	6.9083327625e-13	0.0	6518.08	0.0	30.0	0.0	0.0	0.473224480947	40.0	40.0	30.0	8.0	0.0	8.0	30.0	0.0	48.0	0.0	48.0
0	0	0.0	30.0	0.0	0.0	0.652553844452	0.00420184567589	OpenOptStrategyPlacement	6285.52	0.0	3.45416638125e-13	0.0	6285.52	0.0	30.0	0.0	0.0	0.652553844452	45.0	45.0	30.0	19.0	0.0	19.0	30.0	0.0	64.0	0.0	64.0
0	0	0.0	30.0	0.0	0.0	0.911954299609	0.006558074742	OpenOptStrategyPlacement	6146.8	0.0	6.9083327625e-13	0.0	6146.8	0.0	30.0	0.0	0.0	0.911954299609	47.0	47.0	30.0	33.0	0.0	33.0	30.0	0.0	80.0	0.0	80.0
0	0	0.0	30.0	0.0	0.0	1.08849668503	0.00865023692205	OpenOptStrategyPlacement	6568.4	0.0	1.72708319062e-12	0.0	6568.4	0.0	30.0	0.0	0.0	1.08849668503	52.0	52.0	30.0	44.0	0.0	44.0	30.0	0.0	96.0	0.0	96.0
0	0	0.0	30.0	0.0	0.0	1.27902911504	0.0110628516905	OpenOptStrategyPlacement	5938.72	0.0	3.45416638125e-13	0.0	5938.72	0.0	30.0	0.0	0.0	1.27902911504	57.0	57.0	30.0	55.0	0.0	55.0	30.0	0.0	112.0	0.0	112.0
0	0	0.0	30.0	0.0	0.0	1.57543947697	0.0115204587079	OpenOptStrategyPlacement	6382.08	0.0	6.9083327625e-13	0.0	6382.08	0.0	30.0	0.0	0.0	1.57543947697	58.0	58.0	30.0	70.0	0.0	70.0	30.0	0.0	128.0	0.0	128.0
0	0	0.0	30.0	0.0	0.0	1.82483198643	0.0119500690474	OpenOptStrategyPlacement	6537.12	0.0	1.3816665525e-12	0.0	6537.12	0.0	30.0	0.0	0.0	1.82483198643	65.0	65.0	30.0	79.0	0.0	79.0	30.0	0.0	144.0	0.0	144.0
0	0	0.0	30.0	0.0	0.0	2.03624352614	0.00872170003795	OpenOptStrategyPlacement	6552.08	0.0	1.03624991437e-12	0.0	6552.08	0.0	30.0	0.0	0.0	2.03624352614	69.0	69.0	30.0	91.0	0.0	91.0	30.0	0.0	160.0	0.0	160.0
0	0	0.0	30.0	0.0	0.0	2.30226797263	0.0144281868467	OpenOptStrategyPlacement	6741.12	0.0	1.03624991437e-12	0.0	6741.12	0.0	30.0	0.0	0.0	2.30226797263	73.0	73.0	30.0	103.0	0.0	103.0	30.0	0.0	176.0	0.0	176.0
0	0	0.0	30.0	0.0	0.0	2.57612938881	0.0184792775592	OpenOptStrategyPlacement	6681.28	0.0	3.45416638125e-13	0.0	6681.28	0.0	30.0	0.0	0.0	2.57612938881	74.0	74.0	30.0	118.0	0.0	118.0	30.0	0.0	192.0	0.0	192.0
0	0	0.0	30.0	0.0	0.0	2.88568006357	0.0214851188042	OpenOptStrategyPlacement	6760.16	0.0	1.03624991437e-12	0.0	6760.16	0.0	30.0	0.0	0.0	2.88568006357	77.0	77.0	30.0	131.0	0.0	131.0	30.0	0.0	208.0	0.0	208.0
0	0	0.0	30.0	0.0	0.0	3.13589777152	0.0162589339615	OpenOptStrategyPlacement	6567.04	0.0	0.0	0.0	6567.04	0.0	30.0	0.0	0.0	3.13589777152	76.0	76.0	30.0	148.0	0.0	148.0	30.0	0.0	224.0	0.0	224.0
0	0	0.0	30.0	0.0	0.0	3.35740741889	0.0137410871688	OpenOptStrategyPlacement	6756.08	0.0	1.3816665525e-12	0.0	6756.08	0.0	30.0	0.0	0.0	3.35740741889	80.0	80.0	30.0	160.0	0.0	160.0	30.0	0.0	240.0	0.0	240.0
0	0	0.0	30.0	0.0	0.0	3.65869001547	0.0135830536816	OpenOptStrategyPlacement	6611.92	0.0	1.72708319062e-12	0.0	6611.92	0.0	30.0	0.0	0.0	3.65869001547	80.0	80.0	30.0	176.0	0.0	176.0	30.0	0.0	256.0	0.0	256.0
0	0	0.0	30.0	0.0	0.0	3.90971477826	0.0151497891608	OpenOptStrategyPlacement	6719.36	0.0	1.72708319062e-12	0.0	6719.36	0.0	30.0	0.0	0.0	3.90971477826	82.0	82.0	30.0	190.0	0.0	190.0	30.0	0.0	272.0	0.0	272.0
0	0	0.0	30.0	0.0	0.0	4.22096840541	0.0140444918513	OpenOptStrategyPlacement	6543.92	0.0	1.03624991437e-12	0.0	6543.92	0.0	30.0	0.0	0.0	4.22096840541	82.0	82.0	30.0	206.0	0.0	206.0	30.0	0.0	288.0	0.0	288.0
