#PM	#VM	#PM-U	#PM-S	#PM-I	#VM-P	VM-U	KW	strategy	T
40	16	13	27	0	16	0	2936.2000000000003	OpenOptStrategyPlacement	0.13714885711669922
40	32	25	15	0	32	0	5401.560000000001	OpenOptStrategyPlacement	0.24898505210876465
40	48	38	2	0	48	0	8215.279999999999	OpenOptStrategyPlacement	0.5124762058258057
40	64	40	0	0	55	9	8499.920000000002	OpenOptStrategyPlacement	0.7662551403045654
40	80	40	0	0	57	23	8484.96	OpenOptStrategyPlacement	1.0481300354003906
40	96	40	0	0	62	34	8457.759999999998	OpenOptStrategyPlacement	1.3175570964813232
40	112	40	0	0	67	45	8015.759999999999	OpenOptStrategyPlacement	1.5598220825195312
40	128	40	0	0	68	60	8406.079999999998	OpenOptStrategyPlacement	1.865825891494751
40	144	40	0	0	75	69	8548.88	OpenOptStrategyPlacement	2.1651580333709717
40	160	40	0	0	79	81	8347.599999999999	OpenOptStrategyPlacement	2.4277029037475586
40	176	40	0	0	83	93	8604.64	OpenOptStrategyPlacement	2.718790054321289
40	192	40	0	0	87	105	8823.599999999999	OpenOptStrategyPlacement	3.0429248809814453
40	208	40	0	0	94	114	8890.24	OpenOptStrategyPlacement	3.580787181854248
40	224	40	0	0	95	129	8777.36	OpenOptStrategyPlacement	3.9151389598846436
40	240	40	0	0	100	140	8928.32	OpenOptStrategyPlacement	4.221880912780762
40	256	40	0	0	100	156	8901.119999999997	OpenOptStrategyPlacement	4.660522937774658
40	272	40	0	0	102	170	9027.599999999997	OpenOptStrategyPlacement	4.997229099273682
40	288	40	0	0	102	186	8823.599999999999	OpenOptStrategyPlacement	5.334989070892334
