strategy-95m	strategy-95h	#PM-I-95h	#PM-95m	#PM-95h	#PM-I-95m	T-95m	T-95h	strategy	KW-95m	#PM-S-95h	KW-95h	#PM-S-95m	KW	#PM-S	#PM-U	#PM-I	#VM-P-95h	T	#VM-P-95m	#VM-P	#PM	VM-U	VM-U-95h	VM-U-95m	#PM-U-95m	#VM-95h	#VM	#PM-U-95h	#VM-95m
0	0	0.416038673056	100.0	0.0	87.0	0.00462989807129	0.00024927127104	EnergyUnawareStrategyPlacement	14151.28	0.0	8.48718893034	0.0	14192.08	0.0	16.0	89.0	0.0	0.00636386871338	16.0	16.0	100.0	0.0	0.0	0.0	13.0	0.0	16.0	0.416038673056	16.0
0	0	0.512676899067	100.0	0.0	72.3333333333	0.0130032142003	0.000795341086393	EnergyUnawareStrategyPlacement	14843.52	0.0	10.458608741	0.0	14897.92	0.0	30.0	75.0	0.0	0.0205750465393	32.0	32.0	100.0	0.0	0.0	0.0	27.6666666667	0.0	32.0	0.512676899067	32.0
0	0	0.594329955093	100.0	0.0	58.1333333333	0.0256481806437	0.000837634999177	EnergyUnawareStrategyPlacement	15678.56	0.0	12.1243310839	0.0	15757.44	0.0	44.0	62.0	0.0	0.0335199832916	48.0	48.0	100.0	0.0	0.0	0.0	41.8666666667	0.0	48.0	0.594329955093	48.0
0	0	0.648119868579	100.0	0.0	45.5666666667	0.0423049290975	0.000844510000217	EnergyUnawareStrategyPlacement	16391.88	0.0	13.221645319	0.0	16461.92	0.0	58.0	49.0	0.0	0.051167011261	64.0	64.0	100.0	0.0	0.0	0.0	54.4333333333	0.0	64.0	0.648119868579	64.0
0	0	0.718930128712	100.0	0.0	31.5	0.0634188254674	0.00101940452805	EnergyUnawareStrategyPlacement	17183.4	0.0	14.6661746257	0.0	17295.6	0.0	73.0	37.0	0.0	0.0714659690857	80.0	80.0	100.0	0.0	0.0	0.0	68.5	0.0	80.0	0.718930128712	80.0
0	0	0.829086508244	100.0	0.0	18.6333333333	0.0884420712789	0.001203551681	EnergyUnawareStrategyPlacement	17853.88	0.0	16.9133647682	0.0	17942.96	0.0	86.0	23.0	0.0	0.0953550338745	96.0	96.0	100.0	0.0	0.0	0.0	81.3666666667	0.0	96.0	0.829086508244	96.0
0	0	0.836016536908	100.0	0.0	3.43333333333	0.120566097895	0.00161548022816	EnergyUnawareStrategyPlacement	18534.832	0.0	23.4785336179	0.0	18676.0	0.0	100.0	10.0	0.150325058359	0.130332946777	111.9	110.0	100.0	2.0	0.150325058359	0.1	96.5666666667	0.0	112.0	0.836016536908	112.0
0	0	0.0	100.0	0.0	0.0	0.150246485074	0.00193108130497	EnergyUnawareStrategyPlacement	18910.5546667	0.0	65.8420111155	0.0	19304.32	0.0	100.0	0.0	0.871219668975	0.1673579216	119.933333333	116.0	100.0	12.0	0.871219668975	8.06666666667	100.0	0.0	128.0	0.0	128.0
0	0	0.0	100.0	0.0	0.0	0.184649348259	0.00173865068844	EnergyUnawareStrategyPlacement	18963.912	0.0	78.0824969163	0.0	19487.92	0.0	100.0	0.0	1.12300476095	0.192101955414	119.7	115.0	100.0	29.0	1.12300476095	24.3	100.0	0.0	144.0	0.0	144.0
0	0	0.0	100.0	0.0	0.0	0.218404269218	0.00191872211459	EnergyUnawareStrategyPlacement	18837.84	0.0	90.9704936056	0.0	19419.92	0.0	100.0	0.0	1.34722747191	0.225567102432	119.5	113.0	100.0	47.0	1.34722747191	40.5	100.0	0.0	160.0	0.0	160.0
0	0	0.0	100.0	0.0	0.0	0.251710470517	0.00207055504814	EnergyUnawareStrategyPlacement	18879.1386667	0.0	93.6389439596	0.0	19339.68	0.0	100.0	0.0	1.2836289532	0.263769865036	119.9	113.0	100.0	63.0	1.2836289532	56.1	100.0	0.0	176.0	0.0	176.0
0	0	0.0	100.0	0.0	0.0	0.284259621302	0.00222161876755	EnergyUnawareStrategyPlacement	18844.232	0.0	72.8292065783	0.0	19165.6	0.0	100.0	0.0	1.22668059259	0.295507907867	119.633333333	113.0	100.0	79.0	1.22668059259	72.3666666667	100.0	0.0	192.0	0.0	192.0
0	0	0.0	100.0	0.0	0.0	0.315304430326	0.00212172194728	EnergyUnawareStrategyPlacement	18937.392	0.0	82.8159725352	0.0	19297.52	0.0	100.0	0.0	1.04309707873	0.327269077301	121.7	116.0	100.0	92.0	1.04309707873	86.3	100.0	0.0	208.0	0.0	208.0
0	0	0.0	100.0	0.0	0.0	0.352507074674	0.00243663294325	EnergyUnawareStrategyPlacement	18799.1253333	0.0	91.085258115	0.0	19233.6	0.0	100.0	0.0	1.51074813925	0.365947008133	119.9	111.0	100.0	113.0	1.51074813925	104.1	100.0	0.0	224.0	0.0	224.0
0	0	0.0	100.0	0.0	0.0	0.384896214803	0.00226030010659	EnergyUnawareStrategyPlacement	18816.216	0.0	84.4139540569	0.0	19424.0	0.0	100.0	0.0	1.29698136384	0.393866062164	120.933333333	115.0	100.0	125.0	1.29698136384	119.066666667	100.0	0.0	240.0	0.0	240.0
0	0	0.0	100.0	0.0	0.0	0.422776611646	0.00312568545329	EnergyUnawareStrategyPlacement	18797.3573333	0.0	103.477095193	0.0	19236.32	0.0	100.0	0.0	1.44364464821	0.441211938858	120.466666667	115.0	100.0	141.0	1.44364464821	135.533333333	100.0	0.0	256.0	0.0	256.0
0	0	0.0	100.0	0.0	0.0	0.453872219721	0.00281403889538	EnergyUnawareStrategyPlacement	18677.768	0.0	91.304610275	0.0	19158.8	0.0	100.0	0.0	1.27981522604	0.471168041229	121.333333333	115.0	100.0	157.0	1.27981522604	150.666666667	100.0	0.0	272.0	0.0	272.0
0	0	0.0	100.0	0.0	0.0	0.491250141462	0.00306218866982	EnergyUnawareStrategyPlacement	18689.2826667	0.0	101.015613153	0.0	19111.2	0.0	100.0	0.0	1.31197018446	0.506997108459	122.0	114.0	100.0	174.0	1.31197018446	166.0	100.0	0.0	288.0	0.0	288.0
