#PM	#VM	#PM-U	#PM-S	#PM-I	#VM-P	VM-U	KW	strategy	T
200	16	15	0	185	16	0	27550.48000000009	EnergyUnawareStrategyPlacement	0.005357027053833008
200	32	28	0	172	32	0	28276.7200000001	EnergyUnawareStrategyPlacement	0.013313055038452148
200	48	42	0	158	48	0	29115.840000000113	EnergyUnawareStrategyPlacement	0.026293039321899414
200	64	58	0	142	64	0	29759.12000000013	EnergyUnawareStrategyPlacement	0.04505109786987305
200	80	67	0	133	80	0	30654.000000000142	EnergyUnawareStrategyPlacement	0.06101822853088379
200	96	80	0	120	96	0	31321.76000000016	EnergyUnawareStrategyPlacement	0.0882568359375
200	112	96	0	104	112	0	31993.60000000016	EnergyUnawareStrategyPlacement	0.1233210563659668
200	128	108	0	92	128	0	32721.20000000014	EnergyUnawareStrategyPlacement	0.16177606582641602
200	144	125	0	75	144	0	33507.28000000011	EnergyUnawareStrategyPlacement	0.20971393585205078
200	160	138	0	62	160	0	34145.12000000009	EnergyUnawareStrategyPlacement	0.2541158199310303
200	176	153	0	47	176	0	34904.00000000007	EnergyUnawareStrategyPlacement	0.3016810417175293
200	192	166	0	34	192	0	35543.200000000055	EnergyUnawareStrategyPlacement	0.3568150997161865
200	208	170	0	30	208	0	36417.68000000006	EnergyUnawareStrategyPlacement	0.3832249641418457
200	224	192	0	8	224	0	37001.12000000003	EnergyUnawareStrategyPlacement	0.46239304542541504
200	240	200	0	0	240	0	37798.08	EnergyUnawareStrategyPlacement	0.5128958225250244
200	256	200	0	0	234	22	37339.76000000001	EnergyUnawareStrategyPlacement	0.6109261512756348
200	272	200	0	0	238	34	37256.80000000002	EnergyUnawareStrategyPlacement	0.6752560138702393
200	288	200	0	0	240	48	36956.24	EnergyUnawareStrategyPlacement	0.7482249736785889
