#PM	#VM	#PM-U	#PM-S	#PM-I	#VM-P	VM-U	KW	strategy	T
10	16	10	0	0	15	1	2045.76	EvolutionaryComputationStrategyPlacement	1.1126108169555664
10	32	10	0	0	20	12	2274.24	EvolutionaryComputationStrategyPlacement	1.4741828441619873
10	48	10	0	0	20	28	2316.4	EvolutionaryComputationStrategyPlacement	1.8714451789855957
10	64	10	0	0	19	45	2117.84	EvolutionaryComputationStrategyPlacement	2.197524070739746
10	80	10	0	0	20	60	2266.0800000000004	EvolutionaryComputationStrategyPlacement	2.5236499309539795
10	96	10	0	0	18	78	2149.12	EvolutionaryComputationStrategyPlacement	2.8899378776550293
10	112	10	0	0	20	92	2230.7200000000003	EvolutionaryComputationStrategyPlacement	3.271275043487549
10	128	10	0	0	19	109	2169.52	EvolutionaryComputationStrategyPlacement	3.6210968494415283
10	144	10	0	0	20	124	2214.4	EvolutionaryComputationStrategyPlacement	3.947227954864502
10	160	10	0	0	19	141	2165.44	EvolutionaryComputationStrategyPlacement	4.2995970249176025
10	176	10	0	0	18	158	2143.6800000000003	EvolutionaryComputationStrategyPlacement	4.61768913269043
10	192	10	0	0	19	173	2104.24	EvolutionaryComputationStrategyPlacement	4.947099924087524
10	208	10	0	0	17	191	2009.0400000000002	EvolutionaryComputationStrategyPlacement	5.308166980743408
10	224	10	0	0	18	206	2071.6	EvolutionaryComputationStrategyPlacement	5.626928091049194
10	240	10	0	0	19	221	2237.52	EvolutionaryComputationStrategyPlacement	5.904462099075317
10	256	10	0	0	20	236	2338.1600000000003	EvolutionaryComputationStrategyPlacement	6.239760875701904
10	272	10	0	0	20	252	2259.28	EvolutionaryComputationStrategyPlacement	6.599194049835205
10	288	10	0	0	20	268	2121.92	EvolutionaryComputationStrategyPlacement	6.833421945571899
