strategy-95m	strategy-95h	#PM-I-95h	#PM-95m	#PM-95h	#PM-I-95m	T-95m	T-95h	strategy	KW-95m	#PM-S-95h	KW-95h	#PM-S-95m	KW	#PM-S	#PM-U	#PM-I	#VM-P-95h	T	#VM-P-95m	#VM-P	#PM	VM-U	VM-U-95h	VM-U-95m	#PM-U-95m	#VM-95h	#VM	#PM-U-95h	#VM-95m
0	0	0.0	70.0	0.0	0.0	0.113664015134	0.000584383014281	OpenOptStrategyPlacement	2416.48	0.0	5.18124957187e-13	60.0	2416.48	60.0	10.0	0.0	0.0	0.113664015134	16.0	16.0	70.0	0.0	0.0	0.0	10.0	0.0	16.0	0.0	16.0
0	0	0.0	70.0	0.0	0.0	0.245648256938	0.00165799337999	OpenOptStrategyPlacement	4824.92	0.0	3.45416638125e-13	47.0	4824.92	47.0	23.0	0.0	0.0	0.245648256938	32.0	32.0	70.0	0.0	0.0	0.0	23.0	0.0	32.0	0.0	32.0
0	0	0.0	70.0	0.0	0.0	0.459658344587	0.00304746191727	OpenOptStrategyPlacement	7039.64	0.0	1.3816665525e-12	37.0	7039.64	37.0	33.0	0.0	0.0	0.459658344587	48.0	48.0	70.0	0.0	0.0	0.0	33.0	0.0	48.0	0.0	48.0
0	0	0.0	70.0	0.0	0.0	0.738963079453	0.00471918077604	OpenOptStrategyPlacement	9208.32	0.0	2.07249982875e-12	26.0	9208.32	26.0	44.0	0.0	0.0	0.738963079453	64.0	64.0	70.0	0.0	0.0	0.0	44.0	0.0	64.0	0.0	64.0
0	0	0.0	70.0	0.0	0.0	1.19556600253	0.00875134355994	OpenOptStrategyPlacement	11812.8	0.0	2.07249982875e-12	12.0	11812.8	12.0	58.0	0.0	0.0	1.19556600253	80.0	80.0	70.0	0.0	0.0	0.0	58.0	0.0	80.0	0.0	80.0
0	0	0.0	70.0	0.0	0.0	1.59281026522	0.0126724523899	OpenOptStrategyPlacement	13617.76	0.0	3.45416638125e-12	4.0	13617.76	4.0	66.0	0.0	0.0	1.59281026522	96.0	96.0	70.0	0.0	0.0	0.0	66.0	0.0	96.0	0.0	96.0
0	0	0.0	70.0	0.0	0.0	2.1220337073	0.0199213484564	OpenOptStrategyPlacement	14329.84	0.0	2.763333105e-12	0.0	14329.84	0.0	70.0	0.0	0.0	2.1220337073	104.0	104.0	70.0	8.0	0.0	8.0	70.0	0.0	112.0	0.0	112.0
0	0	0.0	70.0	0.0	0.0	2.56860400836	0.016447305997	OpenOptStrategyPlacement	14635.84	0.0	3.45416638125e-12	0.0	14635.84	0.0	70.0	0.0	0.0	2.56860400836	113.0	113.0	70.0	15.0	0.0	15.0	70.0	0.0	128.0	0.0	128.0
0	0	0.0	70.0	0.0	0.0	3.12431232929	0.017200126165	OpenOptStrategyPlacement	15336.24	0.0	3.45416638125e-12	0.0	15336.24	0.0	70.0	0.0	0.0	3.12431232929	118.0	118.0	70.0	26.0	0.0	26.0	70.0	0.0	144.0	0.0	144.0
0	0	0.0	70.0	0.0	0.0	3.66352713903	0.0296137882901	OpenOptStrategyPlacement	15347.12	0.0	0.0	0.0	15347.12	0.0	70.0	0.0	0.0	3.66352713903	126.0	126.0	70.0	34.0	0.0	34.0	70.0	0.0	160.0	0.0	160.0
0	0	0.0	70.0	0.0	0.0	4.28543752829	0.0244845197721	OpenOptStrategyPlacement	15386.56	0.0	0.0	0.0	15386.56	0.0	70.0	0.0	0.0	4.28543752829	131.0	131.0	70.0	45.0	0.0	45.0	70.0	0.0	176.0	0.0	176.0
0	0	0.0	70.0	0.0	0.0	5.024467659	0.0172522659912	OpenOptStrategyPlacement	15726.56	0.0	1.3816665525e-12	0.0	15726.56	0.0	70.0	0.0	0.0	5.024467659	136.0	136.0	70.0	56.0	0.0	56.0	70.0	0.0	192.0	0.0	192.0
0	0	0.0	70.0	0.0	0.0	5.59841608206	0.0207916830301	OpenOptStrategyPlacement	16046.16	0.0	3.45416638125e-12	0.0	16046.16	0.0	70.0	0.0	0.0	5.59841608206	143.0	143.0	70.0	65.0	0.0	65.0	70.0	0.0	208.0	0.0	208.0
0	0	0.0	70.0	0.0	0.0	6.30318168799	0.0210801931545	OpenOptStrategyPlacement	15952.32	0.0	2.07249982875e-12	0.0	15952.32	0.0	70.0	0.0	0.0	6.30318168799	144.0	144.0	70.0	80.0	0.0	80.0	70.0	0.0	224.0	0.0	224.0
0	0	0.0	70.0	0.0	0.0	7.03835491339	0.0214340514034	OpenOptStrategyPlacement	15945.52	0.0	2.763333105e-12	0.0	15945.52	0.0	70.0	0.0	0.0	7.03835491339	143.0	143.0	70.0	97.0	0.0	97.0	70.0	0.0	240.0	0.0	240.0
0	0	0.0	70.0	0.0	0.0	7.5944668293	0.0280701808236	OpenOptStrategyPlacement	16039.36	0.0	2.07249982875e-12	0.0	16039.36	0.0	70.0	0.0	0.0	7.5944668293	144.0	144.0	70.0	112.0	0.0	112.0	70.0	0.0	256.0	0.0	256.0
0	0	0.0	70.0	0.0	0.0	8.22919025421	0.0294041046607	OpenOptStrategyPlacement	15782.32	0.0	1.3816665525e-12	0.0	15782.32	0.0	70.0	0.0	0.0	8.22919025421	145.0	145.0	70.0	127.0	0.0	127.0	70.0	0.0	272.0	0.0	272.0
0	0	0.0	70.0	0.0	0.0	8.87810640335	0.0298080640073	OpenOptStrategyPlacement	15692.56	0.0	0.0	0.0	15692.56	0.0	70.0	0.0	0.0	8.87810640335	145.0	145.0	70.0	143.0	0.0	143.0	70.0	0.0	288.0	0.0	288.0
