#PM	#VM	#PM-U	#PM-S	#PM-I	#VM-P	VM-U	KW	strategy	T
70	16	6	0	64	16	0	9749.359999999986	EnergyUnawareStrategyPlacement	0.0023050308227539062
70	32	13	0	57	32	0	10113.839999999986	EnergyUnawareStrategyPlacement	0.0069348812103271484
70	48	20	0	50	48	0	10476.959999999983	EnergyUnawareStrategyPlacement	0.012659072875976562
70	64	29	0	41	64	0	10690.479999999985	EnergyUnawareStrategyPlacement	0.021477937698364258
70	80	32	0	38	80	0	11025.039999999986	EnergyUnawareStrategyPlacement	0.03107905387878418
70	96	41	0	29	96	0	11428.959999999988	EnergyUnawareStrategyPlacement	0.04755592346191406
70	112	50	0	20	112	0	11830.159999999994	EnergyUnawareStrategyPlacement	0.06337881088256836
70	128	55	0	15	128	0	12326.559999999998	EnergyUnawareStrategyPlacement	0.07759404182434082
70	144	61	0	9	144	0	12870.56	EnergyUnawareStrategyPlacement	0.0941472053527832
70	160	67	0	3	160	0	13342.48	EnergyUnawareStrategyPlacement	0.12003898620605469
70	176	70	0	0	174	2	13724.639999999998	EnergyUnawareStrategyPlacement	0.1369178295135498
70	192	70	0	0	167	25	13538.320000000002	EnergyUnawareStrategyPlacement	0.16939306259155273
70	208	70	0	0	169	39	13678.400000000003	EnergyUnawareStrategyPlacement	0.1911330223083496
70	224	70	0	0	180	44	13768.160000000003	EnergyUnawareStrategyPlacement	0.2079150676727295
70	240	70	0	0	163	77	13210.560000000001	EnergyUnawareStrategyPlacement	0.2381000518798828
70	256	70	0	0	175	81	13769.519999999997	EnergyUnawareStrategyPlacement	0.2553980350494385
70	272	70	0	0	161	111	13507.040000000005	EnergyUnawareStrategyPlacement	0.28978490829467773
70	288	70	0	0	166	122	13554.64	EnergyUnawareStrategyPlacement	0.32478904724121094
