strategy-95m	strategy-95h	#PM-I-95h	#PM-95m	#PM-95h	#PM-I-95m	T-95m	T-95h	strategy	KW-95m	#PM-S-95h	KW-95h	#PM-S-95m	KW	#PM-S	#PM-U	#PM-I	#VM-P-95h	T	#VM-P-95m	#VM-P	#PM	VM-U	VM-U-95h	VM-U-95m	#PM-U-95m	#VM-95h	#VM	#PM-U-95h	#VM-95m
0	0	0.0	30.0	0.0	0.0	0.70401292642	0.00893069059272	EvolutionaryComputationStrategyPlacement	1271.39333333	0.0681743214044	7.43100103308	23.9666666667	1376.76	23.0	7.0	0.0	0.0	0.802813053131	16.0	16.0	30.0	0.0	0.0	0.0	6.03333333333	0.0	16.0	0.0681743214044	16.0
0	0	0.0	30.0	0.0	0.0	1.36314367453	0.0173295693883	EvolutionaryComputationStrategyPlacement	2225.57333333	0.129103642179	14.0722969975	19.8666666667	2320.04	19.0	11.0	0.0	0.0	1.47835302353	32.0	32.0	30.0	0.0	0.0	0.0	10.1333333333	0.0	32.0	0.129103642179	32.0
0	0	0.0	30.0	0.0	0.0	2.42648839951	0.0257909723559	EvolutionaryComputationStrategyPlacement	3414.56	0.210317962513	22.9246579139	13.6	3479.96	13.0	17.0	0.0	0.0	2.53432011604	48.0	48.0	30.0	0.0	0.0	0.0	16.4	0.0	48.0	0.210317962513	48.0
0	0	0.0	30.0	0.0	0.0	3.69892717997	0.0392854457703	EvolutionaryComputationStrategyPlacement	4498.38	0.26221073681	28.5809703123	7.3	4640.08	6.0	24.0	0.0	0.0	3.96685695648	64.0	64.0	30.0	0.0	0.0	0.0	22.7	0.0	64.0	0.26221073681	64.0
0	0	0.0	30.0	0.0	0.0	4.80382840633	0.0464008664056	EvolutionaryComputationStrategyPlacement	5326.50666667	0.315222834228	34.3592889309	3.33333333333	5471.84	2.0	28.0	0.0	0.0	5.08499598503	80.0	80.0	30.0	0.0	0.0	0.0	26.6666666667	0.0	80.0	0.315222834228	80.0
0	0	0.0	30.0	0.0	0.0	6.1999254783	0.0353267656915	EvolutionaryComputationStrategyPlacement	6161.03466667	0.0	25.8293891624	0.0	6244.72	0.0	30.0	0.0	0.464110569651	6.41138696671	92.2	90.0	30.0	6.0	0.464110569651	3.8	30.0	0.0	96.0	0.0	96.0
0	0	0.0	30.0	0.0	0.0	7.38352852662	0.0433736915911	EvolutionaryComputationStrategyPlacement	6278.312	0.0	33.6990237195	0.0	6489.52	0.0	30.0	0.0	0.658423706932	7.61221694946	95.8333333333	92.0	30.0	20.0	0.658423706932	16.1666666667	30.0	0.0	112.0	0.0	112.0
0	0	0.0	30.0	0.0	0.0	8.59543259939	0.05044490438	EvolutionaryComputationStrategyPlacement	6252.65333333	0.0	35.172302203	0.0	6444.64	0.0	30.0	0.0	0.785408831446	8.97497606277	96.3	93.0	30.0	35.0	0.785408831446	31.7	30.0	0.0	128.0	0.0	128.0
0	0	0.0	30.0	0.0	0.0	9.74402480125	0.048968396375	EvolutionaryComputationStrategyPlacement	6187.28266667	0.0	38.963245431	0.0	6399.76	0.0	30.0	0.0	1.11095223368	10.0429430008	92.1	86.0	30.0	58.0	1.11095223368	51.9	30.0	0.0	144.0	0.0	144.0
0	0	0.0	30.0	0.0	0.0	10.7281676928	0.0585831577925	EvolutionaryComputationStrategyPlacement	6152.82933333	0.0	44.662112029	0.0	6371.2	0.0	30.0	0.0	1.14749827167	11.1954479218	91.0666666667	83.0	30.0	77.0	1.14749827167	68.9333333333	30.0	0.0	160.0	0.0	160.0
0	0	0.0	30.0	0.0	0.0	11.7353809436	0.0602718921385	EvolutionaryComputationStrategyPlacement	6132.06666667	0.0	51.110186354	0.0	6454.16	0.0	30.0	0.0	1.12121943541	12.1169950962	89.8666666667	84.0	30.0	92.0	1.12121943541	86.1333333333	30.0	0.0	176.0	0.0	176.0
0	0	0.0	30.0	0.0	0.0	12.7544405381	0.0559115418285	EvolutionaryComputationStrategyPlacement	6129.30133333	0.0	42.1847206731	0.0	6398.4	0.0	30.0	0.0	0.667609209798	13.1004190445	90.1	87.0	30.0	105.0	0.667609209798	101.9	30.0	0.0	192.0	0.0	192.0
0	0	0.0	30.0	0.0	0.0	13.7932807207	0.0625380636242	EvolutionaryComputationStrategyPlacement	6167.78933333	0.0	55.9451816746	0.0	6518.08	0.0	30.0	0.0	0.675128778352	14.2339539528	90.8	87.0	30.0	121.0	0.675128778352	117.2	30.0	0.0	208.0	0.0	208.0
0	0	0.0	30.0	0.0	0.0	14.714962093	0.0589004068995	EvolutionaryComputationStrategyPlacement	6238.328	0.0	58.3624332779	0.0	6595.6	0.0	30.0	0.0	0.794235636829	15.049202919	93.4	89.0	30.0	135.0	0.794235636829	130.6	30.0	0.0	224.0	0.0	224.0
0	0	0.0	30.0	0.0	0.0	15.6903574546	0.0679045711226	EvolutionaryComputationStrategyPlacement	6213.848	0.0	43.5578017443	0.0	6519.44	0.0	30.0	0.0	0.870115227793	16.0808150768	94.8666666667	91.0	30.0	149.0	0.870115227793	145.133333333	30.0	0.0	240.0	0.0	240.0
0	0	0.0	30.0	0.0	0.0	16.7189135234	0.069458806754	EvolutionaryComputationStrategyPlacement	6190.22933333	0.0	44.4277863639	0.0	6557.52	0.0	30.0	0.0	0.675721985372	17.3165719509	95.3666666667	91.0	30.0	165.0	0.675721985372	160.633333333	30.0	0.0	256.0	0.0	256.0
0	0	0.0	30.0	0.0	0.0	17.6586946805	0.0757271256187	EvolutionaryComputationStrategyPlacement	6273.09866667	0.0	45.824170732	0.0	6490.88	0.0	30.0	0.0	0.978649366242	17.9795570374	96.4	91.0	30.0	181.0	0.978649366242	175.6	30.0	0.0	272.0	0.0	272.0
0	0	0.0	30.0	0.0	0.0	18.5988939524	0.0880571409921	EvolutionaryComputationStrategyPlacement	6250.65866667	0.0	53.0376138642	0.0	6565.68	0.0	30.0	0.0	1.12014687425	19.2383210659	97.9666666667	91.0	30.0	197.0	1.12014687425	190.033333333	30.0	0.0	288.0	0.0	288.0
