strategy-95m	strategy-95h	#PM-I-95h	#PM-95m	#PM-95h	#PM-I-95m	T-95m	T-95h	strategy	KW-95m	#PM-S-95h	KW-95h	#PM-S-95m	KW	#PM-S	#PM-U	#PM-I	#VM-P-95h	T	#VM-P-95m	#VM-P	#PM	VM-U	VM-U-95h	VM-U-95m	#PM-U-95m	#VM-95h	#VM	#PM-U-95h	#VM-95m
0	0	0.0	80.0	0.0	0.0	0.703149366379	0.0111149982746	EvolutionaryComputationStrategyPlacement	1510.49333333	0.0947361733231	10.3262428922	74.0666666667	1510.49333333	74.0666666667	5.93333333333	0.0	0.0	0.703149366379	16.0	16.0	80.0	0.0	0.0	0.0	5.93333333333	0.0	16.0	0.0947361733231	16.0
0	0	0.0	80.0	0.0	0.0	1.38436172803	0.0177155528091	EvolutionaryComputationStrategyPlacement	2482.84	0.151915844018	16.558826998	69.8	2482.84	69.8	10.2	0.0	0.0	1.38436172803	32.0	32.0	80.0	0.0	0.0	0.0	10.2	0.0	32.0	0.151915844018	32.0
0	0	0.0	80.0	0.0	0.0	2.43494884173	0.0327026886886	EvolutionaryComputationStrategyPlacement	3653.66	0.199765965366	21.7744902249	63.7	3653.66	63.7	16.3	0.0	0.0	2.43494884173	48.0	48.0	80.0	0.0	0.0	0.0	16.3	0.0	48.0	0.199765965366	48.0
0	0	0.0	80.0	0.0	0.0	3.71816125711	0.0420980510644	EvolutionaryComputationStrategyPlacement	4737.48	0.270336225718	29.4666486032	57.4	4737.48	57.4	22.6	0.0	0.0	3.71816125711	64.0	64.0	80.0	0.0	0.0	0.0	22.6	0.0	64.0	0.270336225718	64.0
0	0	0.0	80.0	0.0	0.0	4.84742228985	0.0441417486435	EvolutionaryComputationStrategyPlacement	5583.77333333	0.238861867688	26.035943578	53.2666666667	5583.77333333	53.2666666667	26.7333333333	0.0	0.0	4.84742228985	80.0	80.0	80.0	0.0	0.0	0.0	26.7333333333	0.0	80.0	0.238861867688	80.0
0	0	0.0	80.0	0.0	0.0	6.61437648932	0.0721627192055	EvolutionaryComputationStrategyPlacement	6861.62666667	0.293092172217	31.9470467717	46.9333333333	6861.62666667	46.9333333333	33.0666666667	0.0	0.0	6.61437648932	96.0	96.0	80.0	0.0	0.0	0.0	33.0666666667	0.0	96.0	0.293092172217	96.0
0	0	0.0	80.0	0.0	0.0	8.70851648649	0.104325701697	EvolutionaryComputationStrategyPlacement	8187.62666667	0.401133267534	43.7235261612	40.1333333333	8187.62666667	40.1333333333	39.8666666667	0.0	0.0	8.70851648649	112.0	112.0	80.0	0.0	0.0	0.0	39.8666666667	0.0	112.0	0.401133267534	112.0
0	0	0.0	80.0	0.0	0.0	10.7339839061	0.110009397529	EvolutionaryComputationStrategyPlacement	9352.82666667	0.426688551539	46.5090521177	34.9333333333	9352.82666667	34.9333333333	45.0666666667	0.0	0.0	10.7339839061	128.0	128.0	80.0	0.0	0.0	0.0	45.0666666667	0.0	128.0	0.426688551539	128.0
0	0	0.0	80.0	0.0	0.0	12.9830878496	0.10676671616	EvolutionaryComputationStrategyPlacement	10698.66	0.429123046243	46.7744120405	28.7	10698.66	28.7	51.3	0.0	0.0	12.9830878496	144.0	144.0	80.0	0.0	0.0	0.0	51.3	0.0	144.0	0.429123046243	144.0
0	0	0.0	80.0	0.0	0.0	15.3685732047	0.131467090892	EvolutionaryComputationStrategyPlacement	11888.8466667	0.423862144511	46.2009737517	23.2333333333	11888.8466667	23.2333333333	56.7666666667	0.0	0.0	15.3685732047	160.0	160.0	80.0	0.0	0.0	0.0	56.7666666667	0.0	160.0	0.423862144511	160.0
0	0	0.0	80.0	0.0	0.0	17.9313280185	0.184100218436	EvolutionaryComputationStrategyPlacement	13048.7266667	0.534261383602	58.2344908126	17.4333333333	13048.7266667	17.4333333333	62.5666666667	0.0	0.0	17.9313280185	176.0	176.0	80.0	0.0	0.0	0.0	62.5666666667	0.0	176.0	0.534261383602	176.0
0	0	0.0	80.0	0.0	0.0	21.1954121113	0.155875979587	EvolutionaryComputationStrategyPlacement	14426.9133333	0.475200973144	51.7969060727	10.3666666667	14426.9133333	10.3666666667	69.6333333333	0.0	0.0	21.1954121113	192.0	192.0	80.0	0.0	0.0	0.0	69.6333333333	0.0	192.0	0.475200973144	192.0
0	0	0.0	80.0	0.0	0.0	24.0854859114	0.192675381603	EvolutionaryComputationStrategyPlacement	15656.0733333	0.49502321622	53.957530568	4.96666666667	15656.0733333	4.96666666667	75.0333333333	0.0	0.0	24.0854859114	208.0	208.0	80.0	0.0	0.0	0.0	75.0333333333	0.0	208.0	0.49502321622	208.0
0	0	0.0	80.0	0.0	0.0	26.719799153	0.187024970354	EvolutionaryComputationStrategyPlacement	16572.8933333	0.383986307723	39.3329920035	0.666666666667	16572.8933333	0.666666666667	79.3333333333	0.0	0.305147552522	26.719799153	223.566666667	223.566666667	80.0	0.433333333333	0.305147552522	0.433333333333	79.3333333333	0.0	224.0	0.383986307723	224.0
0	0	0.0	80.0	0.0	0.0	29.344417882	0.135593914802	EvolutionaryComputationStrategyPlacement	16761.16	0.0	46.6286930712	0.0	16761.16	0.0	80.0	0.0	0.891944252224	29.344417882	230.466666667	230.466666667	80.0	9.53333333333	0.891944252224	9.53333333333	80.0	0.0	240.0	0.0	240.0
0	0	0.0	80.0	0.0	0.0	32.1361211061	0.221501128662	EvolutionaryComputationStrategyPlacement	16766.9173333	0.0	44.3725064445	0.0	16766.9173333	0.0	80.0	0.0	1.04555251147	32.1361211061	233.233333333	233.233333333	80.0	22.7666666667	1.04555251147	22.7666666667	80.0	0.0	256.0	0.0	256.0
0	0	0.0	80.0	0.0	0.0	34.6678915103	0.161342659426	EvolutionaryComputationStrategyPlacement	16753.272	0.0	66.3064005305	0.0	16753.272	0.0	80.0	0.0	1.32992659455	34.6678915103	236.733333333	236.733333333	80.0	35.2666666667	1.32992659455	35.2666666667	80.0	0.0	272.0	0.0	272.0
0	0	0.0	80.0	0.0	0.0	37.2564972083	0.254247882283	EvolutionaryComputationStrategyPlacement	16683.504	0.0	60.6080992977	0.0	16683.504	0.0	80.0	0.0	1.43277975916	37.2564972083	235.033333333	235.033333333	80.0	52.9666666667	1.43277975916	52.9666666667	80.0	0.0	288.0	0.0	288.0
